timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
3116000,0,0,1,0,0,0,0
3620000,0,0,1,0,0,0,0
4124000,0,0,1,0,0,0,0
4628000,0,0,1,0,0,0,0
5132000,0,0,1,0,0,0,0
5636000,0,0,1,0,0,0,0
6140000,0,0,1,0,0,0,0
6644000,0,0,1,0,0,0,0
7148000,0,0,1,0,0,0,0
7652000,0,0,1,0,0,0,0
8156000,0,0,1,0,0,0,0
8660000,0,0,1,0,0,0,0
9164000,0,0,1,0,0,0,0
9584000,0,0,1,0,0,0,0
10088000,0,0,1,0,0,0,0
10592000,0,0,1,0,0,0,0
11096000,0,0,1,0,0,0,0
11600000,0,0,1,0,0,0,0
12104000,0,0,1,0,0,0,0
12608000,0,0,1,0,0,0,0
13112000,0,0,1,0,0,0,0
13616000,0,0,1,0,0,0,0
14120000,0,0,1,0,0,0,0
14624000,0,0,1,0,0,0,0
15128000,0,0,1,0,0,0,0
15632000,0,0,1,0,0,0,0
16136000,0,0,1,0,0,0,0
16640000,0,0,1,0,0,0,0
17144000,0,0,1,0,0,0,0
17648000,0,0,1,0,0,0,0
18152000,0,0,1,0,0,0,0
18656000,0,0,1,0,0,0,0
19160000,0,0,1,0,0,0,0
19664000,0,0,1,0,0,0,0
20168000,0,0,1,0,0,0,0
20672000,0,0,1,0,0,0,0
21176000,0,0,1,0,0,0,0
21188000,1,0,1,0,0,0,0
21692000,1,0,1,0,0,0,0
22196000,1,0,1,0,0,0,0
22700000,1,0,1,0,0,0,0
23204000,1,0,1,0,0,0,0
23708000,1,0,1,0,0,0,0
24212000,1,0,1,0,0,0,0
24716000,1,0,1,0,0,0,0
25220000,1,0,1,0,0,0,0
25724000,1,0,1,0,0,0,0
26228000,1,0,1,0,0,0,0
26732000,1,0,1,0,0,0,0
27236000,1,0,1,0,0,0,0
27740000,1,0,1,0,0,0,0
28244000,1,0,1,0,0,0,0
28748000,1,0,1,0,0,0,0
28856000,1,0,1,0,0,0,0
29360000,1,0,1,0,0,0,0
29864000,1,0,1,0,0,0,0
30368000,1,0,1,0,0,0,0
30872000,1,0,1,0,0,0,0
31376000,1,0,1,0,0,0,0
31880000,1,0,1,0,0,0,0
32384000,1,0,1,0,0,0,0
32888000,1,0,1,0,0,0,0
33392000,1,0,1,0,0,0,0
33896000,1,0,1,0,0,0,0
34400000,1,0,1,0,0,0,0
34904000,1,0,1,0,0,0,0
35408000,1,0,1,0,0,0,0
35912000,1,0,1,0,0,0,0
36416000,1,0,1,0,0,0,0
36920000,1,0,1,0,0,0,0
37424000,1,0,1,0,0,0,0
37928000,1,0,1,0,0,0,0
38432000,1,0,1,0,0,0,0
38936000,1,0,1,0,0,0,0
39440000,1,0,1,0,0,0,0
39944000,1,0,1,0,0,0,0
40448000,1,0,1,0,0,0,0
40952000,1,0,1,0,0,0,0
41456000,1,0,1,0,0,0,0
41960000,1,0,1,0,0,0,0
42464000,1,0,1,0,0,0,0
42968000,1,0,1,0,0,0,0
43472000,1,0,1,0,0,0,0
43976000,1,0,1,0,0,0,0
44420000,1,0,1,0,0,0,0
44432000,1,0,1,0,0,0,0
44936000,1,0,1,0,0,0,0
45440000,1,0,1,0,0,0,0
45944000,1,0,1,0,0,0,0
46448000,1,0,1,0,0,0,0
46952000,1,0,1,0,0,0,0
47456000,1,0,1,0,0,0,0
47960000,1,0,1,0,0,0,0
48464000,1,0,1,0,0,0,0
48968000,1,0,1,0,0,0,0
49472000,1,0,1,0,0,0,0
49976000,1,0,1,0,0,0,0
50480000,1,0,1,0,0,0,0
50984000,1,0,1,0,0,0,0
51488000,1,0,1,0,0,0,0
51992000,1,0,1,0,0,0,0
52496000,1,0,1,0,0,0,0
53000000,1,0,1,0,0,0,0
53504000,1,0,1,0,0,0,0
54008000,1,0,1,0,0,0,0
54512000,1,0,1,0,0,0,0
55016000,1,0,1,0,0,0,0
55520000,1,0,1,0,0,0,0
56024000,1,0,1,0,0,0,0
56528000,1,0,1,0,0,0,0
57032000,1,0,1,0,0,0,0
57536000,1,0,1,0,0,0,0
58040000,1,0,1,0,0,0,0
58496000,0,0,1,0,0,0,0
58508000,0,0,1,0,0,0,0
59012000,0,0,1,0,0,0,0
