timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8]
3212000,3212000,0.00018364761,3.6593643e-05,0.0003521473,-0.0,0.0,0.0,0.0,0.0,0.0
3216000,3216000,0.00027553935,0.00019461417,0.0005392537,-0.0,0.0,0.0,0.0,0.0,0.0
3264000,3264000,0.0007466166,0.0011273002,-0.00019246455,-0.0,0.0,0.0,0.0,0.0,0.0
3308000,3308000,-0.00053190463,0.002103016,-5.3547637e-06,-0.0,0.0,0.0,0.0,0.0,0.0
3364000,3364000,-0.00021610026,-0.0001971123,0.0002292809,-0.0,0.0,0.0,0.0,0.0,0.0
3412000,3412000,0.00031451712,-0.00035392647,0.0002587151,-0.0,0.0,0.0,0.0,0.0,0.0
3464000,3464000,0.02194561,0.02363513,-0.00014027308,0.001,0.0,0.0,0.0,0.0,0.0
3512000,3512000,0.02117271,0.021977564,-0.0004137929,0.001,0.0,0.0,0.0,0.0,0.0
3564000,3564000,0.019529482,0.023114365,-4.1726697e-05,0.001,0.0,0.0,0.0,0.0,0.0
3612000,3612000,0.019487023,0.022470608,0.00015293573,0.001,0.0,0.0,0.0,0.0,0.0
3660000,3660000,0.018043678,0.023386126,7.180674e-05,0.001,0.0,0.0,0.0,0.0,0.0
3712000,3712000,0.019072799,0.024400357,-0.00012599063,0.001,0.0,0.0,0.0,0.0,0.0
3764000,3764000,0.019212194,0.02383289,0.00051067886,0.001,0.0,0.0,0.0,0.0,0.0
3812000,3812000,0.018965112,0.02524751,0.0008745448,0.001,0.0,0.0,0.0,0.0,0.0
3864000,3864000,0.019412713,0.024085073,0.00018633991,0.001,0.0,0.0,0.0,0.0,0.0
3912000,3912000,0.018947408,0.024855517,0.00036020967,0.001,0.0,0.0,0.0,0.0,0.0
3964000,3964000,0.019583058,0.025548706,-9.2096625e-06,0.001,0.0,0.0,0.0,0.0,0.0
4012000,4012000,0.019112866,0.024397697,0.00022097428,0.001,0.0,0.0,0.0,0.0,0.0
4064000,4064000,0.018992798,0.02483798,0.0006218333,0.001,0.0,0.0,0.0,0.0,0.0
4112000,4112000,0.019865194,0.024753217,0.00034479992,0.001,0.0,0.0,0.0,0.0,0.0
4164000,4164000,0.020430269,0.02194498,0.0005625984,0.001,0.0,0.0,0.0,0.0,0.0
4208000,4208000,0.018730072,0.023469053,8.553881e-05,0.001,0.0,0.0,0.0,0.0,0.0
4260000,4260000,0.019522388,0.022931471,0.0005162313,0.001,0.0,0.0,0.0,0.0,0.0
4312000,4312000,0.01934048,0.023576982,0.00032905635,0.001,0.0,0.0,0.0,0.0,0.0
4360000,4360000,0.020046229,0.023133598,0.0008078048,0.001,0.0,0.0,0.0,0.0,0.0
4412000,4412000,0.0190576,0.022544831,0.00025785228,0.001,0.0,0.0,0.0,0.0,0.0
4464000,4464000,0.019032229,0.021241268,0.0005713853,0.001,0.0,0.0,0.0,0.0,0.0
4508000,4508000,0.019356808,0.02181141,0.0005304318,0.001,0.0,0.0,0.0,0.0,0.0
4560000,4560000,0.0199832,0.02205585,0.00020555538,0.001,0.0,0.0,0.0,0.0,0.0
4612000,4612000,0.019311046,0.02189116,0.00051326404,0.001,0.0,0.0,0.0,0.0,0.0
4660000,4660000,0.020189807,0.02109687,3.925618e-06,0.001,0.0,0.0,0.0,0.0,0.0
4712000,4712000,0.019500382,0.020736385,0.00050969224,0.001,0.0,0.0,0.0,0.0,0.0
4764000,4764000,0.019292103,0.021462178,0.0007077392,0.001,0.0,0.0,0.0,0.0,0.0
4812000,4812000,0.019144207,0.022099117,0.0010017605,0.001,0.0,0.0,0.0,0.0,0.0
4860000,4860000,0.019296281,0.021430487,0.0010663003,0.001,0.0,0.0,0.0,0.0,0.0
4912000,4912000,0.01839474,0.021170015,0.00051132444,0.001,0.0,0.0,0.0,0.0,0.0
4964000,4964000,0.01769668,0.020729477,0.00057732384,0.001,0.0,0.0,0.0,0.0,0.0
