timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used,selected_rtcm_instance
3400000,0,1695621740566620,11468804,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,3.021863,0,nan,nan,0.0,0.0,0,3,0,1,10,0
3800000,0,1695621740962620,0,473977508,85456074,488111,488111,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.84648466,0,nan,nan,0.0,0.0,0,3,0,1,10,0
4200000,0,1695621741366620,0,473977508,85456073,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.6543976,0,nan,nan,0.0,0.0,0,3,0,1,10,0
4600000,0,1695621741762620,0,473977508,85456074,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,-0.04,0.5337217,0,nan,nan,0.0,0.0,0,3,0,1,10,0
5000000,0,1695621742162620,0,473977508,85456074,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.03,5.8252106,0,nan,nan,0.0,0.0,0,3,0,1,10,0
5400000,0,1695621742562620,0,473977508,85456074,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,0.7305948,0,nan,nan,0.0,0.0,0,3,0,1,10,0
5800000,0,1695621742966620,0,473977508,85456074,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.04,0.9724974,0,nan,nan,0.0,0.0,0,3,0,1,10,0
6200000,0,1695621743366620,0,473977508,85456074,488096,488096,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,2.1197023,0,nan,nan,0.0,0.0,0,3,0,1,10,0
6600000,0,1695621743762620,0,473977508,85456074,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,-0.01,3.7323864,0,nan,nan,0.0,0.0,0,3,0,1,10,0
7000000,0,1695621744162620,0,473977508,85456074,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.362404,0,nan,nan,0.0,0.0,0,3,0,1,10,0
7400000,0,1695621744562620,0,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,5.28922,0,nan,nan,0.0,0.0,0,3,0,1,10,0
7800000,0,1695621744966620,0,473977508,85456074,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,0.03,4.1149626,0,nan,nan,0.0,0.0,0,3,0,1,10,0
8200000,0,1695621745366620,0,473977508,85456074,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,0.26529005,0,nan,nan,0.0,0.0,0,3,0,1,10,0
8600000,0,1695621745766620,0,473977508,85456074,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.776846,0,nan,nan,0.0,0.0,0,3,0,1,10,0
9000000,0,1695621746162620,0,473977508,85456074,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.5731115,0,nan,nan,0.0,0.0,0,3,0,1,10,0
9400000,0,1695621746566620,0,473977508,85456074,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.03,3.1393237,0,nan,nan,0.0,0.0,0,3,0,1,10,0
9800000,0,1695621746962620,0,473977508,85456074,488092,488092,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.01,-0.03,2.5197318,0,nan,nan,0.0,0.0,0,3,0,1,10,0
10200000,0,1695621747366620,0,473977508,85456075,488091,488091,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,0.0,0.49514988,0,nan,nan,0.0,0.0,0,3,0,1,10,0
10600000,0,1695621747766620,0,473977508,85456074,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.47054073,0,nan,nan,0.0,0.0,0,3,0,1,10,0
11000000,0,1695621748162620,0,473977508,85456074,488097,488097,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.5792748,0,nan,nan,0.0,0.0,0,3,0,1,10,0
11400000,0,1695621748566620,0,473977508,85456074,488114,488114,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,-0.01,3.4430108,0,nan,nan,0.0,0.0,0,3,0,1,10,0
11800000,0,1695621748962620,0,473977507,85456074,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.5560346,0,nan,nan,0.0,0.0,0,3,0,1,10,0
12200000,0,1695621749366620,0,473977508,85456074,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.87249005,0,nan,nan,0.0,0.0,0,3,0,1,10,0
12600000,0,1695621749766620,0,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.01,0.03,5.923822,0,nan,nan,0.0,0.0,0,3,0,1,10,0
13000000,0,1695621750162620,0,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.0,4.8649306,0,nan,nan,0.0,0.0,0,3,0,1,10,0
13400000,0,1695621750566620,0,473977508,85456074,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,0.09721483,0,nan,nan,0.0,0.0,0,3,0,1,10,0
13800000,0,1695621750962620,0,473977508,85456075,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,2.7277749,0,nan,nan,0.0,0.0,0,3,0,1,10,0
14200000,0,1695621751366620,0,473977508,85456073,488112,488112,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.14468779,0,nan,nan,0.0,0.0,0,3,0,1,10,0
14600000,0,1695621751766620,0,473977508,85456074,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.0,1.7037903,0,nan,nan,0.0,0.0,0,3,0,1,10,0
15000000,0,1695621752162620,0,473977508,85456074,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,-0.03,3.7936475,0,nan,nan,0.0,0.0,0,3,0,1,10,0
15400000,0,1695621752566620,0,473977508,85456074,488116,488116,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.8149407,0,nan,nan,0.0,0.0,0,3,0,1,10,0
15800000,0,1695621752962620,0,473977508,85456073,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.9063495,0,nan,nan,0.0,0.0,0,3,0,1,10,0
16200000,0,1695621753366620,0,473977508,85456073,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.01,1.0936233,0,nan,nan,0.0,0.0,0,3,0,1,10,0
16600000,0,1695621753766620,0,473977508,85456074,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,5.1708865,0,nan,nan,0.0,0.0,0,3,0,1,10,0
