timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
3124000,0,1,1,1,0,0,1,1,0,0,1,1
4124000,0,1,1,1,0,0,1,0,0,0,1,1
5124000,0,1,1,1,0,0,1,0,0,0,1,1
6124000,0,1,1,1,0,0,1,0,0,0,1,1
7124000,0,1,1,1,0,0,1,0,0,0,1,1
8124000,0,1,1,1,0,0,1,0,0,0,1,1
8636000,0,1,1,1,1,1,1,0,0,0,1,1
9636000,0,1,1,1,1,1,1,0,0,0,1,1
10636000,0,1,1,1,1,1,1,0,0,0,1,1
11636000,0,1,1,1,1,1,1,0,0,0,1,1
12636000,0,1,1,1,1,1,1,0,0,0,1,1
13636000,0,1,1,1,1,1,1,0,0,0,1,1
14636000,0,1,1,1,1,1,1,0,0,0,1,1
15636000,0,1,1,1,1,1,1,0,0,0,1,1
16636000,0,1,1,1,1,1,1,0,0,0,1,1
17636000,0,1,1,1,1,1,1,0,0,0,1,1
18636000,0,1,1,1,1,1,1,0,0,0,1,1
19636000,0,1,1,1,1,1,1,0,0,0,1,1
20636000,0,1,1,1,1,1,1,0,0,0,1,1
21636000,0,1,1,1,1,1,1,0,0,0,1,1
22636000,0,1,1,1,1,1,1,0,0,0,1,1
22956000,0,1,0,0,1,1,1,0,0,0,1,0
23116000,0,0,0,0,1,0,1,0,0,0,1,0
24116000,0,0,0,0,1,0,0,0,0,0,1,0
25116000,0,0,0,0,1,0,0,0,0,0,1,0
25204000,0,0,0,0,0,0,0,0,0,0,1,0
26204000,0,0,0,0,0,0,0,0,0,0,1,0
27204000,0,0,0,0,0,0,0,1,0,0,1,0
28204000,0,0,0,0,0,0,0,1,0,0,1,0
29204000,0,0,0,0,0,0,0,1,0,0,1,0
30204000,0,0,0,0,0,0,0,0,0,0,1,0
31204000,0,0,0,0,0,0,0,0,0,0,1,0
32204000,0,0,0,0,0,0,0,0,0,0,1,0
33204000,0,0,0,0,0,0,0,0,0,0,1,0
34204000,0,0,0,0,0,0,0,0,0,0,1,0
35204000,0,0,0,0,0,0,0,0,0,0,1,0
36204000,0,0,0,0,0,0,0,0,0,0,1,0
37204000,0,0,0,0,0,0,0,0,0,0,1,0
38204000,0,0,0,0,0,0,0,0,0,0,1,0
39204000,0,0,0,0,0,0,0,0,0,0,1,0
40204000,0,0,0,0,0,0,0,0,0,0,1,0
41204000,0,0,0,0,0,0,0,0,0,0,1,0
42204000,0,0,0,0,0,0,0,0,0,0,1,0
43204000,0,0,0,0,0,0,0,0,0,0,1,0
44204000,0,0,0,0,0,0,0,0,0,0,1,0
44820000,0,0,0,0,1,1,0,1,0,0,1,0
45820000,0,0,0,0,1,1,0,1,0,0,1,0
46820000,0,0,0,0,1,1,0,1,0,0,1,0
47820000,0,0,0,0,1,1,0,1,0,0,1,0
48820000,0,0,0,0,1,1,0,1,0,0,1,0
49820000,0,0,0,0,1,1,0,1,0,0,1,0
50820000,0,0,0,0,1,1,0,1,0,0,1,0
51820000,0,0,0,0,1,1,1,1,0,0,1,0
52820000,0,0,0,0,1,1,1,1,0,0,1,0
53820000,0,0,0,0,1,1,1,1,0,0,1,0
54820000,0,0,0,0,1,1,1,1,0,0,1,0
55812000,0,1,0,0,1,1,1,0,0,0,1,0
56148000,0,1,1,0,1,1,1,0,0,0,1,0
56484000,0,1,1,1,1,1,1,0,0,0,1,1
57484000,0,1,1,1,1,1,1,0,0,0,1,1
58484000,0,1,1,1,1,1,1,0,0,0,1,1
59484000,0,1,1,1,1,1,1,0,0,0,1,1
