timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3412000,3289192,0,0,0.0,0.0,1.0,1.0,-1.6516433e-06,-1.172562e-05,1.0000992,1.0000992,1.091062e-13,5.4990613e-12,0,1,0,0
3812000,3689511,0,0,0.0,0.0,1.0,1.0,5.3732547e-06,0.00010190731,1.000127,1.000127,1.1547281e-12,4.1535125e-10,0,1,0,0
4204000,4089701,0,0,0.0,0.0,1.0,1.0,2.6829732e-05,8.395512e-05,1.0000969,1.0000969,2.8790591e-11,2.819112e-10,0,1,0,0
4612000,4489821,0,0,0.0,0.0075268387,1.0,1.0,0.0001818285,-0.0072108093,1.0006601,1.0006601,1.3215916e-09,2.078459e-06,0,1,0,0
5004000,4889891,0,0,0.0,0.0075268387,1.0,1.0,0.000452691,-0.007640354,1.0003471,1.0003471,8.194321e-09,2.33419e-06,0,1,0,0
5404000,5289934,0,0,0.0,0.0075268387,1.0,1.0,-0.00018853482,-0.0074567017,1.0002337,1.0002337,1.4214829e-09,2.2235765e-06,0,1,0,0
5804000,5689960,0,0,0.0,0.0075268387,1.0,1.0,-0.00046567852,-0.0075030522,1.0001781,1.0001781,8.672715e-09,2.251431e-06,0,1,0,0
6212000,6089977,0,0,0.0,0.0075268387,1.0,1.0,-0.000116447285,-0.007491618,1.0001525,1.0001525,5.4231614e-10,2.2446313e-06,0,1,0,0
6604000,6489986,0,0,0.0,0.0075268387,1.0,1.0,-8.8811474e-05,-0.008078102,1.0001247,1.0001247,3.154598e-10,2.609904e-06,0,1,0,0
7012000,6889992,0,0,0.0,0.0075268387,1.0,1.0,-0.00055296125,-0.007992624,1.000114,1.000114,1.2229252e-08,2.5549905e-06,0,1,0,0
7412000,7289995,0,0,0.0,0.0075268387,1.0,1.0,-0.0010747481,-0.007585549,1.0001016,1.0001016,4.619865e-08,2.3013883e-06,0,1,0,0
7812000,7689997,0,0,0.0,0.0075268387,1.0,1.0,-0.0006168941,-0.00741876,1.0000916,1.0000916,1.522094e-08,2.2013185e-06,0,1,0,0
8204000,8089999,0,0,0.0,0.0075268387,1.0,1.0,-0.00021197498,-0.0076281014,1.0000802,1.0000802,1.7971915e-09,2.3273305e-06,0,1,0,0
8612000,8489999,8532000,0,0.0,0.0075268387,1.0,1.0,-0.00010148266,-0.007699034,1.0000762,1.0000762,4.1191786e-10,2.3708246e-06,0,1,0,0
9004000,8890000,8924000,0,0.0,0.0075268387,1.0,1.0,-0.0083291475,0.00033484912,2.0138636,2.0138636,1.3779425e-06,2.2270412e-09,0,1,0,1
9412000,9290000,9332000,0,0.0,0.0075268387,1.0,1.0,-0.004841695,0.0008631204,1.5182142,1.5182142,6.176206e-07,1.9627715e-08,0,1,0,1
