timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
4104000,4000000.0,1.0,13554.781,0.0,297,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4364000,4000000.0,1.0,13554.781,0.0,380,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5620000,4000000.0,1.0,15134.463,0.0,796,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6876000,4000000.0,1.0,15170.319,0.0,1204,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8128000,4000000.0,1.0,14926.295,0.0,1623,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9128000,4000000.0,1.0,16398.406,0.0,1985,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9384000,4000000.0,1.0,16398.406,0.0,2079,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10636000,4000000.0,1.0,16919.322,0.0,2549,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11892000,4000000.0,1.0,17397.41,0.0,3025,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13152000,4000000.0,1.0,17267.93,0.0,3513,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14152000,4000000.0,1.0,16991.037,0.0,3891,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14404000,4000000.0,1.0,16991.037,0.0,3983,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660000,4000000.0,1.0,17266.934,0.0,4459,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16912000,4000000.0,1.0,17084.662,0.0,4929,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18164000,4000000.0,1.0,17057.77,0.0,5411,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19164000,4000000.0,1.0,17207.172,0.0,5791,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19424000,4000000.0,1.0,17207.172,0.0,5887,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20680000,4000000.0,1.0,17005.977,0.0,6359,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21932000,4000000.0,1.0,17336.654,0.0,6832,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22932000,4000000.0,1.0,17027.889,0.0,7209,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
