timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
3500000,3385115,0,0,-488.10403,1.0,488.10394,101.0,94.35464,0,0,1,0
3900000,3781465,0,0,-488.11102,1.0,488.11008,34.333332,277.57452,0,0,1,0
4300000,4181676,0,0,-0.04751587,1.0,-0.00013160706,3.2314146,2.1440044e-10,0,0,0,0
4700000,4581804,0,0,-0.04852295,1.0,0.015751801,1.9813619,5.0090644e-06,0,0,0,0
5100000,4981882,0,0,-0.04852295,1.0,0.013426889,1.6641798,4.3332175e-06,0,0,0,0
5500000,5381929,0,0,-0.043518066,1.0,0.010066345,1.4833783,2.7324468e-06,0,0,0,0
5900000,5781957,0,0,-0.04953003,1.0,0.016733162,1.3809732,8.110185e-06,0,0,0,0
6300000,6181974,0,0,-0.044525146,1.0,0.011801228,1.3235683,4.2088936e-06,0,0,0,0
6700000,6581985,0,0,-0.055511475,1.0,0.022622619,1.2756431,1.604784e-05,0,0,0,0
7100000,6981991,0,0,-0.056518555,1.0,0.026106453,1.2407284,2.1972475e-05,0,0,0,0
7500000,7381995,0,0,-0.05053711,1.0,0.022517223,1.215553,1.6684598e-05,0,0,0,0
7900000,7781997,0,0,-0.04852295,1.0,0.01985471,1.1979864,1.3162403e-05,0,0,0,0
8300000,8181998,0,0,-0.04953003,1.0,0.020336686,1.1808453,1.4009653e-05,0,0,0,0
8700000,8581999,8620000,0,-0.04953003,1.0,0.01748497,1.1668572,1.048026e-05,0,0,0,0
9100000,8982000,9020000,0,-0.052520752,1.0,0.009616006,1.682507,2.1983285e-06,0,1,0,1
9500000,9382000,9420000,0,-0.04751587,1.0,0.005330611,1.3452042,8.449398e-07,0,1,0,1
9900000,9782000,9820000,0,-0.038513184,1.0,-0.0054449067,1.2415527,9.551591e-07,0,1,0,1
10300000,10182000,10220000,0,-0.03753662,1.0,-0.0020412356,1.1967291,1.392677e-07,0,1,0,1
10700000,10582000,10620000,0,-0.042510986,1.0,0.0068407133,1.1695385,1.6004726e-06,0,1,0,1
11100000,10982000,11020000,0,-0.043518066,1.0,0.011053249,1.1530209,4.2384077e-06,0,1,0,1
11500000,11382000,11420000,0,-0.059539795,1.0,0.032015488,1.1438918,3.5842248e-05,0,1,0,1
11900000,11782000,11820000,0,-0.056518555,1.0,0.030652896,1.1362703,3.3076638e-05,0,1,0,1
12300000,12182000,12220000,0,-0.04751587,1.0,0.022073107,1.1307082,1.7235996e-05,0,1,0,1
12700000,12582000,12620000,0,-0.04953003,1.0,0.019156106,1.1264468,1.3030581e-05,0,1,0,1
13100000,12982000,13020000,0,-0.051513672,1.0,0.023693446,1.1243055,1.9972485e-05,0,1,0,1
13500000,13382000,13420000,0,-0.055511475,1.0,0.028229022,1.1214739,2.8422515e-05,0,1,0,1
13900000,13782000,13820000,0,-0.056518555,1.0,0.02824146,1.1191521,2.8506582e-05,0,1,0,1
14300000,14182000,14220000,0,-0.058532715,1.0,0.032611985,1.1172413,3.8077415e-05,0,1,0,1
14700000,14582000,14620000,0,-0.053527832,1.0,0.031425722,1.1167418,3.5373476e-05,0,1,0,1
15100000,14982000,15020000,0,-0.054534912,1.0,0.030815864,1.1153862,3.4055196e-05,0,1,0,1
15500000,15382000,15420000,0,-0.06253052,1.0,0.039009057,1.1142648,5.4626387e-05,0,1,0,1
15900000,15782000,15820000,0,-0.045532227,1.0,0.02122167,1.114413,1.6164895e-05,0,1,0,1
16300000,16182000,16220000,0,-0.05053711,1.0,0.02636443,1.1136794,2.496529e-05,0,1,0,1
16700000,16582000,16620000,0,-0.044525146,1.0,0.020828946,1.1131314,1.5590073e-05,0,1,0,1
17100000,16982000,17020000,0,-0.04751587,1.0,0.028581435,1.1137587,2.9338435e-05,0,1,0,1
17500000,17382000,17420000,0,-0.052520752,1.0,0.033246636,1.1134509,3.970858e-05,0,1,0,1
17900000,17782000,17820000,0,-0.052520752,1.0,0.039121084,1.1132451,5.4990913e-05,0,1,0,1
18300000,18182000,18220000,0,-0.0675354,1.0,0.039958633,1.1130828,5.7379108e-05,0,1,0,1
18700000,18582000,18620000,0,-0.16751099,1.0,0.036898717,1.112971,4.893265e-05,0,1,0,1
19100000,18982000,19020000,0,-0.40252686,1.0,0.04159844,1.1139228,6.213824e-05,0,1,0,1
19500000,19382000,19420000,0,-0.65753174,1.0,0.05197084,1.1138167,9.699866e-05,0,1,0,1
19900000,19782000,19820000,0,-0.9265137,1.0,0.04868388,1.1136898,8.512677e-05,0,1,0,1
20300000,20182000,20220000,0,-1.2165222,1.0,0.062835336,1.1145971,0.0001416935,0,1,0,1
20700000,20582000,20620000,0,-1.4755249,1.0,0.04921782,1.1144125,8.694783e-05,0,1,0,1
21100000,20982000,21020000,0,-1.7405396,1.0,0.06867397,1.1142321,0.00016930456,0,1,0,1
21500000,21382000,21420000,0,-1.9745178,1.0,0.07136667,1.1140418,0.00018287289,0,1,0,1
21900000,21782000,21820000,0,-2.075531,1.0,0.070329666,1.1148959,0.00017746094,0,1,0,1
22300000,22182000,22220000,0,-2.1445312,1.0,0.062216282,1.1146526,0.00013890842,0,1,0,1
22700000,22582000,22620000,0,-2.2235107,1.0,0.056930304,1.1143752,0.00011633638,0,1,0,1
23100000,22982000,23020000,0,-2.3055115,1.0,0.07260656,1.1151448,0.00018909518,0,1,0,1
23500000,23382000,23420000,0,-2.3615112,1.0,0.07545853,1.1148266,0.00020430045,0,1,0,1
23900000,23782000,23820000,0,-2.4105225,1.0,0.08418012,1.11451,0.0002543285,0,1,0,1
24300000,24182000,24220000,0,-2.4575195,1.0,0.09128547,1.1142436,0.00029914596,0,1,0,1
24700000,24582000,24620000,0,-2.496521,1.0,0.090854645,1.1150229,0.00029612187,0,1,0,1
25100000,24982000,25020000,0,-2.5255127,1.0,0.08407593,1.114721,0.00025365135,0,1,0,1
25500000,25382000,25420000,0,-2.5655212,1.0,0.09393263,1.1144073,0.0003167007,0,1,0,1
25900000,25782000,25820000,0,-2.5905151,1.0,0.09140301,1.1141261,0.00029994847,0,1,0,1
26300000,26182000,26220000,0,-2.5975342,1.0,0.08419371,1.1149337,0.00025431396,0,1,0,1
26700000,26582000,26620000,0,-2.616516,1.0,0.09242821,1.1146652,0.00030656645,0,1,0,1
27100000,26982000,27020000,0,-2.6305237,1.0,0.091269016,1.114378,0.00029900207,0,1,0,1
27500000,27382000,27420000,0,-2.6315308,1.0,0.08791494,1.1151458,0.00027723864,0,1,0,1
27900000,27782000,27820000,0,-2.6345215,1.0,0.0867579,1.1148396,0.00027006335,0,1,0,1
28300000,28182000,28220000,0,-2.6655273,1.0,0.110625744,1.1145645,0.00043920492,0,1,0,1
28700000,28582000,28620000,0,-2.668518,1.0,0.1032536,1.1142719,0.00038271834,0,1,0,1
29100000,28982000,29020000,0,-2.6875305,1.0,0.11019182,1.1150368,0.00043558155,0,1,0,1
