timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
3500000,3385276,0,0,0.0,0.0,0.02,0.09,0.09,0.20250002,0.0035165441,-0.0030811913,-0.040122684,0.115676776,0.11568013,0.20415929,4.2760817e-06,3.2827556e-06,0.00031540662,3,1,0,0
3900000,3781562,0,0,0.0,0.0,-0.02,0.09,0.09,0.20250002,0.0020455243,0.0001684656,0.012112986,0.10217263,0.10217514,0.20364979,1.6380784e-06,1.11105924e-08,2.8818973e-05,3,1,0,0
4300000,4181735,0,0,0.0,0.0,-0.04,0.09,0.09,0.20250002,0.0030482411,-0.0002228001,0.026270814,0.097005755,0.097005896,0.20633025,3.831432e-06,2.0468812e-08,0.0001337963,3,1,0,0
4700000,4581840,0,0,0.02,0.01,-0.04,0.09,0.09,0.20250002,-0.01687269,-0.012285851,0.024690017,0.09403686,0.09403681,0.20905477,0.000121096185,6.420555e-05,0.00011663871,3,1,0,0
5100000,4981903,0,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,0.001112209,-0.0027616275,-0.00419282,0.092738345,0.0927383,0.21056181,5.33548e-07,3.2895089e-06,3.339587e-06,3,1,0,0
5500000,5381942,0,0,-0.01,0.01,0.03,0.09,0.09,0.20250002,0.01128411,-0.008477662,-0.042433627,0.09187836,0.09187834,0.21088274,5.5434655e-05,3.128953e-05,0.00034153817,3,1,0,0
5900000,5781965,0,0,0.0,0.01,-0.02,0.09,0.09,0.20250002,0.0008137427,-0.009394975,0.008191537,0.09140527,0.09140528,0.21057716,2.8977635e-07,3.8626025e-05,1.2746165e-05,3,1,0,0
6300000,6181979,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.00053569826,-0.00034448202,-0.01036156,0.091135755,0.09113579,0.210053,1.2595392e-07,5.208398e-08,2.044473e-05,3,1,0,0
6700000,6581987,0,0,-0.01,-0.01,-0.01,0.09,0.09,0.20250002,0.0073356032,0.010291556,0.0022520144,0.09096563,0.09096566,0.20949464,2.3662156e-05,4.657411e-05,9.683434e-07,3,1,0,0
7100000,6981993,0,0,-0.01,-0.01,-0.01,0.09,0.09,0.20250002,0.008906871,0.013850311,0.0045302454,0.09084796,0.09084794,0.20897646,3.4929722e-05,8.44625e-05,3.928313e-06,3,1,0,0
