timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
3628000,3548000,0.115676776,0.11568013,0.20415929,101.000084,101.000084,101.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.24998,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1160461,1.1160743,1.0001078,0.0,0.0,0.0,0.0,0.0,0.0
4124000,4044000,0.10217263,0.10217514,0.20364979,1.0002747,1.0002747,34.333324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.471516,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225745,1.225791,1.0002235,0.0,0.0,0.0,0.0,0.0,0.0
4620000,4540000,0.097005755,0.097005896,0.20633025,1.0003304,1.0003304,3.2314079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.541278,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842559,1.0842639,1.0000858,0.0,0.0,0.0,0.0,0.0,0.0
5124000,5044000,0.092738345,0.0927383,0.21056181,1.0001674,1.0001674,1.6641083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.914226,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0745218,1.074529,1.0000743,0.0,0.0,0.0,0.0,0.0,0.0
5628000,5548000,0.09187836,0.09187834,0.21088274,1.0001332,1.0001332,1.4832948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.715911,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0647538,1.0647615,1.0000631,0.0,0.0,0.0,0.0,0.0,0.0
6124000,6044000,0.09140527,0.09140528,0.21057716,1.0001103,1.0001103,1.3808919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.599995,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0631937,1.0631998,1.0000608,0.0,0.0,0.0,0.0,0.0,0.0
6620000,6540000,0.091135755,0.09113579,0.210053,1.0000948,1.0000948,1.323491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.538385,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0623294,1.0623358,1.000059,0.0,0.0,0.0,0.0,0.0,0.0
7124000,7044000,0.09084796,0.09084794,0.20897646,1.0000749,1.0000749,1.2406714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.496552,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061066,1.0610739,1.000057,0.0,0.0,0.0,0.0,0.0,0.0
7620000,7540000,0.09077559,0.090775564,0.20959537,1.0000685,1.0000685,1.2154914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.462054,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0608796,1.060887,1.0000564,0.0,0.0,0.0,0.0,0.0,0.0
8124000,8044000,0.09127071,0.09127068,0.2090909,1.000168,1.000168,1.1979331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.440251,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0603826,1.0603889,1.0000556,0.0,0.0,0.0,0.0,0.0,0.0
