timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
3780000,3780000,0,nan,nan,0.0011264299,0.00023643581,-0.0066595003,-4.5966356e-08,1.891097e-08,0.0,0.003931637,0.0025602633,-0.022376435,-0.01768028,-7.6610595e-06,3.1518284e-06,0.0017121732,-0.0011444207,0.013873547,-0.015177763,1.6254702,-0.0011434555,nan,0.106666915,0.012944687,5.7735023,0.10270958,0.025007926,inf,inf,inf,inf,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
4284000,4284000,0,nan,nan,0.00043029798,0.002330236,-0.039915625,-4.5966356e-08,1.891097e-08,0.0,-0.0002217899,0.008776102,-0.01711202,-0.03935787,-7.6610595e-06,3.1518284e-06,0.0017121732,-0.022753403,0.054007027,-0.032489184,1.62562,-0.0011434555,nan,0.1,0.027206734,1.6517828,0.1634337,0.062269665,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
4780000,4780000,4296000,47.3977508,8.5456073,0.00032340866,0.0021346074,-0.043606322,-4.5966356e-08,1.891097e-08,0.0,0.003586292,0.0037998217,-0.018674849,-0.028576516,-7.6610595e-06,3.1518284e-06,0.0017121732,0.03021532,0.017176686,-0.023101455,1.6230568,-0.0011434555,488.0535,0.11317253,0.01366399,0.9533709,0.0821907,0.08809884,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
5284000,5284000,4296000,47.3977508,8.5456073,0.0009166804,-0.00025791622,-0.039892484,-4.5966356e-08,1.891097e-08,0.0,0.0016155072,-0.0007069674,-0.016451795,-0.012708914,-7.6610595e-06,3.1518284e-06,0.0017121732,-0.027509622,0.014547927,0.014216638,1.6210729,-0.0011434555,488.0535,0.1091454,0.01777858,0.7564501,0.07543908,0.09151291,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
5780000,5780000,4296000,47.3977508,8.5456073,-0.0013677828,-0.0008931741,-0.03740186,-4.5966356e-08,1.891097e-08,0.0,-0.0042307046,-0.0013746358,-0.013525298,-0.0039008781,-7.6610595e-06,3.1518284e-06,0.0017121732,-0.0027180065,0.025993474,-0.00012665986,1.618897,-0.0011434555,488.0535,0.10739334,0.021099979,0.6369061,0.0721105,0.09530435,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
6284000,6284000,4296000,47.3977508,8.5456073,-0.0011265373,-0.0007608199,-0.03588513,-4.5966356e-08,1.891097e-08,0.0,-0.0009641186,-0.0016955929,-0.010817941,0.00043930675,-7.6610595e-06,3.1518284e-06,0.0017121732,0.017821541,-0.0103090275,-0.03048498,1.620276,-0.0011434555,488.0535,0.10332273,0.013673994,0.5686591,0.048967198,0.086741045,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
6780000,6780000,4296000,47.3977508,8.5456073,-0.0005895924,-0.002119898,-0.033462226,-4.5966356e-08,1.891097e-08,0.0,-0.0024936653,-0.005815655,-0.0072072363,0.0042528138,-7.6610595e-06,3.1518284e-06,0.0017121732,-0.0059218723,0.023399988,0.004984438,1.6181105,-0.0011434555,488.0535,0.10189064,0.016478252,0.5202253,0.052122444,0.08643112,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
7284000,7284000,4296000,47.3977508,8.5456073,-0.0023520682,-0.0017912479,-0.030267287,-4.5966356e-08,1.891097e-08,0.0,-0.008705492,-0.002322483,-0.002033308,0.008612079,-7.6610595e-06,3.1518284e-06,0.0017121732,-0.031641625,0.020227743,-0.00897888,1.6183501,-0.0011434555,488.0535,0.10146968,0.011839313,0.4793911,0.040656555,0.08580261,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
7780000,7780000,4296000,47.3977508,8.5456073,-0.0029877117,-0.00010511503,-0.026302684,-4.5966356e-08,1.891097e-08,0.0,-0.0055915643,0.00044245264,0.0010141375,0.010350067,-7.6610595e-06,3.1518284e-06,0.0017121732,0.010344811,-0.017907774,0.023575498,1.6208051,-0.0011434555,488.0535,0.1,0.014154378,0.45022783,0.04414335,0.078432925,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
8284000,8284000,4296000,47.3977508,8.5456073,-0.0010869444,-0.00013405508,-0.026730403,-4.5966356e-08,1.891097e-08,0.0,-0.0021761574,-0.0025724578,-0.0016681189,0.003530069,-7.6610595e-06,3.1518284e-06,0.0017121732,-0.0299355,-0.028405933,-0.022674909,1.6195914,-0.0011434555,488.0535,0.1,0.017224237,0.42496333,0.048367478,0.07848529,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
8780000,8780000,4296000,47.3977508,8.5456073,-0.0015800982,0.007490998,-0.041827235,0.00013347103,0.0078912,-0.01748497,-0.020396117,0.00034433533,0.051981684,0.053593703,-0.019126194,0.00087165437,0.05095613,0.015416138,-0.0037046701,0.029188579,1.6189309,-0.0011434555,488.0535,0.100813046,1.4146211,0.9621316,0.42447376,0.45008174,inf,inf,inf,inf,1,1,1,1,2,2,2,2,1,0,1,1,0,0,0
