timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
3344000,3344000,-0.21439071,0.20012856,-9.933155
3348000,3348000,-0.22367549,0.20381978,-9.935479
3396000,3396000,-0.21809861,0.19090983,-9.92647
3444000,3444000,-0.20392528,0.2121379,-9.934558
3496000,3496000,-0.22325791,0.19261481,-9.917853
3544000,3544000,-0.20244615,0.18994911,-9.927263
3596000,3596000,-0.22349837,0.1964697,-9.857104
3644000,3644000,-0.20590417,0.20644478,-9.857891
3696000,3696000,-0.21929626,0.21786341,-9.827111
3744000,3744000,-0.19364299,0.1973544,-9.809322
3796000,3796000,-0.20507498,0.18951766,-9.8221035
3844000,3844000,-0.2179702,0.20535687,-9.810762
3892000,3892000,-0.20654678,0.19568567,-9.803529
3944000,3944000,-0.17830119,0.20151925,-9.820635
3996000,3996000,-0.2033419,0.17799246,-9.8435
4044000,4044000,-0.21936601,0.18130304,-9.815711
4096000,4096000,-0.20737496,0.20862445,-9.82725
4144000,4144000,-0.22055268,0.2052924,-9.820037
4196000,4196000,-0.20993277,0.17535593,-9.830145
4244000,4244000,-0.20074333,0.19085649,-9.808652
4292000,4292000,-0.19404304,0.20425078,-9.817826
4344000,4344000,-0.21682301,0.17347457,-9.81986
4396000,4396000,-0.21527842,0.18165949,-9.81951
4444000,4444000,-0.21281166,0.17855355,-9.812689
4496000,4496000,-0.18762444,0.19139539,-9.827511
4544000,4544000,-0.2068945,0.17325144,-9.837604
4596000,4596000,-0.22022031,0.19997784,-9.820608
4644000,4644000,-0.21348672,0.16906872,-9.813879
4696000,4696000,-0.21039332,0.17140873,-9.82863
4740000,4740000,-0.23522164,0.1809203,-9.843142
4796000,4796000,-0.19239488,0.18665601,-9.802986
4844000,4844000,-0.2204574,0.17942074,-9.819769
4896000,4896000,-0.19549608,0.17449862,-9.8132515
4940000,4940000,-0.19307782,0.18613243,-9.801103
4996000,4996000,-0.220875,0.19673193,-9.81879
5044000,5044000,-0.20786446,0.19950244,-9.794543
5096000,5096000,-0.19783542,0.19680144,-9.809691
5144000,5144000,-0.18494369,0.17240772,-9.852701
5196000,5196000,-0.2113593,0.19015929,-9.784651
5244000,5244000,-0.2036,0.20032793,-9.828966
5296000,5296000,-0.21995345,0.19209981,-9.7769575
5340000,5340000,-0.21315612,0.18692957,-9.809148
5396000,5396000,-0.2083137,0.18375677,-9.824965
5440000,5440000,-0.23108517,0.1909258,-9.807553
5496000,5496000,-0.22426453,0.19080913,-9.824474
5544000,5544000,-0.18663754,0.16015229,-9.811113
5596000,5596000,-0.20104067,0.18554677,-9.819109
5640000,5640000,-0.21360675,0.17459628,-9.799934
5696000,5696000,-0.19308504,0.1867573,-9.823686
5740000,5740000,-0.22108191,0.1930658,-9.829781
5796000,5796000,-0.22339417,0.17738715,-9.818325
5844000,5844000,-0.2001289,0.1663038,-9.80896
5896000,5896000,-0.19906029,0.19201922,-9.800214
5940000,5940000,-0.21137571,0.17738532,-9.802286
5996000,5996000,-0.2206704,0.1815935,-9.827168
6044000,6044000,-0.1827464,0.19235808,-9.7910385
6096000,6096000,-0.21327153,0.1895406,-9.820869
6144000,6144000,-0.2017448,0.1773466,-9.816206
6196000,6196000,-0.20886019,0.1727246,-9.802364
6244000,6244000,-0.21318956,0.17936826,-9.799397
6296000,6296000,-0.21943419,0.18974173,-9.822575
6344000,6344000,-0.25306836,0.18197095,-9.812391
6396000,6396000,-0.21605627,0.1762943,-9.801073
