timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3568000,3568000,0.68658775,0.0007634515,-0.015598359,0.72687924,1.0,0.0,0.0,0.0,0
3572000,3572000,0.6865885,0.0007807109,-0.01558581,0.7268787,1.0,0.0,0.0,0.0,0
3576000,3576000,0.68659014,0.0007957798,-0.015572698,0.72687745,1.0,0.0,0.0,0.0,0
3580000,3580000,0.6865895,0.00081051915,-0.01556299,0.72687835,1.0,0.0,0.0,0.0,0
3584000,3584000,0.6870175,0.000816451,-0.015552755,0.726474,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3592000,3592000,0.6870502,0.0008412205,-0.015523698,0.72644365,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3596000,3596000,0.6870663,0.00085761264,-0.015510056,0.7264286,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3600000,3600000,0.6870794,0.00087277597,-0.01549316,0.7264166,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3604000,3604000,0.68709105,0.00088336813,-0.015475639,0.726406,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3608000,3608000,0.6871026,0.00089532405,-0.015464576,0.72639525,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3612000,3612000,0.68711334,0.0009110488,-0.015454162,0.7263853,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3616000,3616000,0.6871273,0.0009278854,-0.015438897,0.7263725,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3624000,3624000,0.68716395,0.00096031115,-0.015409214,0.7263383,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3628000,3628000,0.68718106,0.0009755474,-0.015386526,0.7263226,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3632000,3632000,0.687197,0.0009908656,-0.015366155,0.72630787,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3636000,3636000,0.68721294,0.001004458,-0.015351483,0.7262931,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3640000,3640000,0.6872262,0.001017301,-0.015337637,0.72628087,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3644000,3644000,0.68723714,0.0010289343,-0.015322696,0.72627085,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3652000,3652000,0.6872645,0.001050091,-0.015289541,0.72624564,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3660000,3660000,0.6872844,0.0010807476,-0.015263317,0.7262272,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3664000,3664000,0.6872964,0.001094103,-0.015250276,0.7262162,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3672000,3672000,0.6873167,0.0011193795,-0.015233288,0.72619736,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3676000,3676000,0.6873277,0.0011400052,-0.015228719,0.72618693,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3680000,3680000,0.6873395,0.0011613132,-0.015224891,0.7261758,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3684000,3684000,0.68735176,0.0011799424,-0.015219253,0.7261643,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3688000,3688000,0.6873629,0.0011958127,-0.015214066,0.72615385,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3692000,3692000,0.68737334,0.001207923,-0.015209736,0.7261441,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3700000,3700000,0.6873907,0.0012239704,-0.015202424,0.7261277,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3708000,3708000,0.68740666,0.0012430284,-0.015190868,0.72611284,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3712000,3712000,0.6874163,0.0012544094,-0.015186906,0.7261037,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3716000,3716000,0.6874244,0.0012713739,-0.015181664,0.72609615,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3720000,3720000,0.68743217,0.0012874985,-0.015177937,0.7260889,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3724000,3724000,0.6874399,0.0012995336,-0.015176206,0.72608155,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3728000,3728000,0.6874472,0.0013143679,-0.015173631,0.7260747,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3732000,3732000,0.6874536,0.0013306917,-0.015171017,0.7260686,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3736000,3736000,0.6874597,0.0013429776,-0.0151755605,0.7260628,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3740000,3740000,0.6874665,0.0013571928,-0.01518118,0.72605616,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3748000,3748000,0.68747526,0.001382852,-0.015183186,0.7260478,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3752000,3752000,0.68747896,0.0013978615,-0.015183558,0.7260442,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3756000,3756000,0.68748426,0.0014150593,-0.015180103,0.72603923,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3760000,3760000,0.68748945,0.0014319769,-0.015181301,0.72603434,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
3764000,3764000,0.6874945,0.0014478576,-0.015185918,0.72602934,0.9999999,0.0,-8.731149e-10,-0.00057172775,1
