timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3344000,0,0.70711,7.022235e-05,7.0647366e-05,0.70711,0.0,0.0,0.0,0.0,0
3348000,0,0.70711,7.032993e-05,7.075495e-05,0.70711,0.0,0.0,0.0,0.0,0
3356000,0,0.70711,7.054509e-05,7.0970105e-05,0.70711,0.0,0.0,0.0,0.0,0
3364000,0,0.70711,7.0760245e-05,7.118526e-05,0.70711,0.0,0.0,0.0,0.0,0
3376000,0,0.70711,7.1082985e-05,7.1508e-05,0.70711,0.0,0.0,0.0,0.0,0
3384000,0,0.70711,7.129814e-05,7.172316e-05,0.70711,0.0,0.0,0.0,0.0,0
3396000,0,0.70711,7.1620874e-05,7.204589e-05,0.70711,0.0,0.0,0.0,0.0,0
3404000,0,0.70711,7.183604e-05,7.226106e-05,0.70711,0.0,0.0,0.0,0.0,0
3416000,0,0.70711,7.215877e-05,7.258379e-05,0.70711,0.0,0.0,0.0,0.0,0
3424000,0,0.70711,7.237393e-05,7.279895e-05,0.70711,0.0,0.0,0.0,0.0,0
3436000,0,0.70711,7.269667e-05,7.3121686e-05,0.70711,0.0,0.0,0.0,0.0,0
3444000,0,0.70711,7.2911826e-05,7.333684e-05,0.70711,0.0,0.0,0.0,0.0,0
3456000,0,0.70711,7.3234565e-05,7.365958e-05,0.70711,0.0,0.0,0.0,0.0,0
3464000,0,0.70711,7.344972e-05,7.387474e-05,0.70711,0.0,0.0,0.0,0.0,0
3476000,0,0.70711,7.377246e-05,7.419748e-05,0.70711,0.0,0.0,0.0,0.0,0
3484000,0,0.70711,7.398763e-05,7.441264e-05,0.70711,0.0,0.0,0.0,0.0,0
3496000,0,0.70711,7.431036e-05,7.473538e-05,0.70711,0.0,0.0,0.0,0.0,0
3504000,0,0.70711,7.4525524e-05,7.4950534e-05,0.70711,0.0,0.0,0.0,0.0,0
3516000,0,0.70711,7.4848256e-05,7.5273274e-05,0.70711,0.0,0.0,0.0,0.0,0
3524000,0,0.70711,7.506342e-05,7.548844e-05,0.70711,0.0,0.0,0.0,0.0,0
3536000,0,0.70711,7.538616e-05,7.581117e-05,0.70711,0.0,0.0,0.0,0.0,0
3544000,0,0.70711,7.560132e-05,7.6026336e-05,0.70711,0.0,0.0,0.0,0.0,0
3556000,0,0.70711,7.592406e-05,7.6349075e-05,0.70711,0.0,0.0,0.0,0.0,0
3564000,0,0.70711,7.6139215e-05,7.656423e-05,0.70711,0.0,0.0,0.0,0.0,0
3576000,0,0.70711,7.6461954e-05,7.688697e-05,0.70711,0.0,0.0,0.0,0.0,0
3584000,0,0.70711,7.667711e-05,7.710213e-05,0.70711,0.0,0.0,0.0,0.0,0
3596000,0,0.70711,7.699985e-05,7.742487e-05,0.70711,0.0,0.0,0.0,0.0,0
3604000,0,0.70711,7.7215016e-05,7.764003e-05,0.70711,0.0,0.0,0.0,0.0,0
3616000,0,0.70711,7.753775e-05,7.7962766e-05,0.70711,0.0,0.0,0.0,0.0,0
3624000,0,0.70711,7.775291e-05,7.817792e-05,0.70711,0.0,0.0,0.0,0.0,0
3636000,0,0.70711,7.807565e-05,7.850066e-05,0.70711,0.0,0.0,0.0,0.0,0
3644000,0,0.70711,7.829081e-05,7.871583e-05,0.70711,0.0,0.0,0.0,0.0,0
3656000,0,0.70711,7.861355e-05,7.903857e-05,0.70711,0.0,0.0,0.0,0.0,0
3664000,0,0.70711,7.882871e-05,7.9253725e-05,0.70711,0.0,0.0,0.0,0.0,0
3676000,0,0.70711,7.9151454e-05,7.9576464e-05,0.70711,0.0,0.0,0.0,0.0,0
3684000,0,0.70711,7.936661e-05,7.979162e-05,0.70711,0.0,0.0,0.0,0.0,0
3696000,0,0.70711,7.968935e-05,8.011437e-05,0.70711,0.0,0.0,0.0,0.0,0
3704000,0,0.70711,7.990451e-05,8.0329526e-05,0.70711,0.0,0.0,0.0,0.0,0
3716000,0,0.70711,8.022725e-05,8.0652266e-05,0.70711,0.0,0.0,0.0,0.0,0
3724000,0,0.70711,8.044241e-05,8.086742e-05,0.70711,0.0,0.0,0.0,0.0,0
3736000,0,0.70711,8.076515e-05,8.119016e-05,0.70711,0.0,0.0,0.0,0.0,0
3744000,0,0.70711,8.098031e-05,8.140533e-05,0.70711,0.0,0.0,0.0,0.0,0
3756000,0,0.70711,8.130305e-05,8.172807e-05,0.70711,0.0,0.0,0.0,0.0,0
3764000,0,0.70711,8.1518214e-05,8.1943224e-05,0.70711,0.0,0.0,0.0,0.0,0
3776000,0,0.70711,8.184095e-05,8.2265964e-05,0.70711,0.0,0.0,0.0,0.0,0
3784000,0,0.70711,8.205611e-05,8.248113e-05,0.70711,0.0,0.0,0.0,0.0,0
3796000,0,0.70711,8.237886e-05,8.280387e-05,0.70711,0.0,0.0,0.0,0.0,0
3804000,0,0.70711,8.2594015e-05,8.3019026e-05,0.70711,0.0,0.0,0.0,0.0,0
3816000,0,0.70711,8.2916755e-05,8.334177e-05,0.70711,0.0,0.0,0.0,0.0,0
3824000,0,0.70711,8.313192e-05,8.355693e-05,0.70711,0.0,0.0,0.0,0.0,0
3836000,0,0.70711,8.345466e-05,8.387967e-05,0.70711,0.0,0.0,0.0,0.0,0
3844000,0,0.70711,8.366982e-05,8.4094834e-05,0.70711,0.0,0.0,0.0,0.0,0
3856000,0,0.70711,8.399256e-05,8.4417574e-05,0.70711,0.0,0.0,0.0,0.0,0
3864000,0,0.70711,8.420772e-05,8.463273e-05,0.70711,0.0,0.0,0.0,0.0,0
3876000,0,0.70711,8.453046e-05,8.495548e-05,0.70711,0.0,0.0,0.0,0.0,0
3884000,0,0.70711,8.4745625e-05,8.5170635e-05,0.70711,0.0,0.0,0.0,0.0,0
3896000,0,0.70711,8.5068365e-05,8.5493375e-05,0.70711,0.0,0.0,0.0,0.0,0
3904000,0,0.70711,8.528353e-05,8.570854e-05,0.70711,0.0,0.0,0.0,0.0,0
3916000,0,0.70711,8.560627e-05,8.603128e-05,0.70711,0.0,0.0,0.0,0.0,0
3924000,0,0.70711,8.5821426e-05,8.6246444e-05,0.70711,0.0,0.0,0.0,0.0,0
3936000,0,0.70711,8.614417e-05,8.656918e-05,0.70711,0.0,0.0,0.0,0.0,0
3944000,0,0.70711,8.635933e-05,8.678434e-05,0.70711,0.0,0.0,0.0,0.0,0
3956000,0,0.70711,8.668207e-05,8.710709e-05,0.70711,0.0,0.0,0.0,0.0,0
3964000,0,0.70711,8.6897235e-05,8.7322245e-05,0.70711,0.0,0.0,0.0,0.0,0
3976000,0,0.70711,8.7219974e-05,8.764499e-05,0.70711,0.0,0.0,0.0,0.0,0
3984000,0,0.70711,8.743514e-05,8.786015e-05,0.70711,0.0,0.0,0.0,0.0,0
3996000,0,0.70711,8.775788e-05,8.818289e-05,0.70711,0.0,0.0,0.0,0.0,0
4004000,0,0.70711,8.797304e-05,8.8398054e-05,0.70711,0.0,0.0,0.0,0.0,0
4016000,0,0.70711,8.829578e-05,8.872079e-05,0.70711,0.0,0.0,0.0,0.0,0
4024000,0,0.70711,8.851095e-05,8.893596e-05,0.70711,0.0,0.0,0.0,0.0,0
4036000,0,0.70711,8.883369e-05,8.92587e-05,0.70711,0.0,0.0,0.0,0.0,0
4044000,0,0.70711,8.904885e-05,8.947386e-05,0.70711,0.0,0.0,0.0,0.0,0
4056000,0,0.70711,8.937159e-05,8.97966e-05,0.70711,0.0,0.0,0.0,0.0,0
4064000,0,0.70711,8.9586756e-05,9.001177e-05,0.70711,0.0,0.0,0.0,0.0,0
4076000,0,0.70711,8.9909496e-05,9.0334506e-05,0.70711,0.0,0.0,0.0,0.0,0
4084000,0,0.70711,9.012466e-05,9.054967e-05,0.70711,0.0,0.0,0.0,0.0,0
4096000,0,0.70711,9.044741e-05,9.087242e-05,0.70711,0.0,0.0,0.0,0.0,0
4104000,0,0.70711,9.0662565e-05,9.1087575e-05,0.70711,0.0,0.0,0.0,0.0,0
4116000,0,0.70711,9.098531e-05,9.141032e-05,0.70711,0.0,0.0,0.0,0.0,0
4124000,0,0.70711,9.120047e-05,9.162548e-05,0.70711,0.0,0.0,0.0,0.0,0
4136000,0,0.70711,9.1523216e-05,9.1948226e-05,0.70711,0.0,0.0,0.0,0.0,0
4144000,0,0.70711,9.173838e-05,9.2163384e-05,0.70711,0.0,0.0,0.0,0.0,0
4156000,0,0.70711,9.206112e-05,9.248613e-05,0.70711,0.0,0.0,0.0,0.0,0
4164000,0,0.70711,9.2276285e-05,9.2701295e-05,0.70711,0.0,0.0,0.0,0.0,0
4176000,0,0.70711,9.2599024e-05,9.3024035e-05,0.70711,0.0,0.0,0.0,0.0,0
4184000,0,0.70711,9.281419e-05,9.32392e-05,0.70711,0.0,0.0,0.0,0.0,0
4196000,0,0.70711,9.3136936e-05,9.356194e-05,0.70711,0.0,0.0,0.0,0.0,0
4204000,0,0.70711,9.335209e-05,9.3777104e-05,0.70711,0.0,0.0,0.0,0.0,0
4216000,0,0.70711,9.367484e-05,9.409985e-05,0.70711,0.0,0.0,0.0,0.0,0
4224000,0,0.70711,9.3890005e-05,9.431501e-05,0.70711,0.0,0.0,0.0,0.0,0
4236000,0,0.70711,9.4212744e-05,9.4637755e-05,0.70711,0.0,0.0,0.0,0.0,0
4244000,0,0.70711,9.442791e-05,9.485292e-05,0.70711,0.0,0.0,0.0,0.0,0
4256000,0,0.70711,9.4750656e-05,9.517566e-05,0.70711,0.0,0.0,0.0,0.0,0
4264000,0,0.70711,9.496582e-05,9.5390824e-05,0.70711,0.0,0.0,0.0,0.0,0
4276000,0,0.70711,9.528856e-05,9.571357e-05,0.70711,0.0,0.0,0.0,0.0,0
4284000,0,0.70711,9.5503725e-05,9.5928735e-05,0.70711,0.0,0.0,0.0,0.0,0
4296000,0,0.70711,9.582647e-05,9.6251475e-05,0.70711,0.0,0.0,0.0,0.0,0
4304000,0,0.70711,9.604163e-05,9.646664e-05,0.70711,0.0,0.0,0.0,0.0,0
4316000,0,0.70711,9.6364376e-05,9.678939e-05,0.70711,0.0,0.0,0.0,0.0,0
4324000,0,0.70711,9.657954e-05,9.700455e-05,0.70711,0.0,0.0,0.0,0.0,0
4336000,0,0.70711,9.690229e-05,9.732729e-05,0.70711,0.0,0.0,0.0,0.0,0
4344000,0,0.70711,9.7117445e-05,9.7542455e-05,0.70711,0.0,0.0,0.0,0.0,0
4356000,0,0.70711,9.744019e-05,9.78652e-05,0.70711,0.0,0.0,0.0,0.0,0
4364000,0,0.70711,9.765536e-05,9.808037e-05,0.70711,0.0,0.0,0.0,0.0,0
4376000,0,0.70711,9.79781e-05,9.840311e-05,0.70711,0.0,0.0,0.0,0.0,0
4384000,0,0.70711,9.819327e-05,9.861827e-05,0.70711,0.0,0.0,0.0,0.0,0
4396000,0,0.70711,9.851601e-05,9.894102e-05,0.70711,0.0,0.0,0.0,0.0,0
4404000,0,0.70711,9.873117e-05,9.915618e-05,0.70711,0.0,0.0,0.0,0.0,0
4416000,0,0.70711,9.905392e-05,9.947893e-05,0.70711,0.0,0.0,0.0,0.0,0
4424000,0,0.70711,9.9269084e-05,9.969409e-05,0.70711,0.0,0.0,0.0,0.0,0
4436000,0,0.70711,9.959183e-05,0.000100016834,0.70711,0.0,0.0,0.0,0.0,0
4444000,0,0.70711,9.9806995e-05,0.000100232,0.70711,0.0,0.0,0.0,0.0,0
4456000,0,0.70711,0.00010012974,0.000100554746,0.70711,0.0,0.0,0.0,0.0,0
4464000,0,0.70711,0.0001003449,0.00010076991,0.70711,0.0,0.0,0.0,0.0,0
4476000,0,0.70711,0.00010066765,0.00010109266,0.70711,0.0,0.0,0.0,0.0,0
4484000,0,0.70711,0.00010088281,0.00010130782,0.70711,0.0,0.0,0.0,0.0,0
4496000,0,0.70711,0.00010120556,0.00010163057,0.70711,0.0,0.0,0.0,0.0,0
4504000,0,0.70711,0.00010142072,0.000101845726,0.70711,0.0,0.0,0.0,0.0,0
4516000,0,0.70711,0.00010174347,0.00010216847,0.70711,0.0,0.0,0.0,0.0,0
4524000,0,0.70711,0.000101958634,0.00010238364,0.70711,0.0,0.0,0.0,0.0,0
4536000,0,0.70711,0.00010228138,0.000102706384,0.70711,0.0,0.0,0.0,0.0,0
4544000,0,0.70711,0.000102496546,0.00010292155,0.70711,0.0,0.0,0.0,0.0,0
4556000,0,0.70711,0.00010281929,0.000103244296,0.70711,0.0,0.0,0.0,0.0,0
4564000,0,0.70711,0.00010303446,0.00010345946,0.70711,0.0,0.0,0.0,0.0,0
4576000,0,0.70711,0.000103357204,0.00010378221,0.70711,0.0,0.0,0.0,0.0,0
4584000,0,0.70711,0.00010357237,0.00010399737,0.70711,0.0,0.0,0.0,0.0,0
4596000,0,0.70711,0.000103895116,0.00010432012,0.70711,0.0,0.0,0.0,0.0,0
4604000,0,0.70711,0.00010411028,0.000104535284,0.70711,0.0,0.0,0.0,0.0,0
4616000,0,0.70711,0.00010443303,0.00010485803,0.70711,0.0,0.0,0.0,0.0,0
4624000,0,0.70711,0.00010464819,0.000105073195,0.70711,0.0,0.0,0.0,0.0,0
4636000,0,0.70711,0.00010497094,0.00010539594,0.70711,0.0,0.0,0.0,0.0,0
4644000,0,0.70711,0.0001051861,0.00010561111,0.70711,0.0,0.0,0.0,0.0,0
4656000,0,0.70711,0.00010550885,0.000105933854,0.70711,0.0,0.0,0.0,0.0,0
4664000,0,0.70711,0.000105724015,0.00010614902,0.70711,0.0,0.0,0.0,0.0,0
4676000,0,0.70711,0.00010604676,0.000106471765,0.70711,0.0,0.0,0.0,0.0,0
4684000,0,0.70711,0.00010626193,0.00010668693,0.70711,0.0,0.0,0.0,0.0,0
4696000,0,0.70711,0.00010658467,0.00010700968,0.70711,0.0,0.0,0.0,0.0,0
4704000,0,0.70711,0.00010679984,0.00010722484,0.70711,0.0,0.0,0.0,0.0,0
4716000,0,0.70711,0.000107122585,0.00010754759,0.70711,0.0,0.0,0.0,0.0,0
4724000,0,0.70711,0.00010733776,0.00010776276,0.70711,0.0,0.0,0.0,0.0,0
4736000,0,0.70711,0.000107660504,0.00010808551,0.70711,0.0,0.0,0.0,0.0,0
4744000,0,0.70711,0.00010787567,0.00010830067,0.70711,0.0,0.0,0.0,0.0,0
4756000,0,0.70711,0.000108198416,0.00010862342,0.70711,0.0,0.0,0.0,0.0,0
4764000,0,0.70711,0.00010841358,0.00010883858,0.70711,0.0,0.0,0.0,0.0,0
4776000,0,0.70711,0.00010873633,0.00010916133,0.70711,0.0,0.0,0.0,0.0,0
4784000,0,0.70711,0.00010895149,0.000109376495,0.70711,0.0,0.0,0.0,0.0,0
4796000,0,0.70711,0.000109274246,0.00010969924,0.70711,0.0,0.0,0.0,0.0,0
4804000,0,0.70711,0.00010948941,0.000109914414,0.70711,0.0,0.0,0.0,0.0,0
4816000,0,0.70711,0.00010981216,0.00011023716,0.70711,0.0,0.0,0.0,0.0,0
4824000,0,0.70711,0.00011002732,0.000110452325,0.70711,0.0,0.0,0.0,0.0,0
4836000,0,0.70711,0.00011035007,0.00011077507,0.70711,0.0,0.0,0.0,0.0,0
4844000,0,0.70711,0.00011056524,0.00011099024,0.70711,0.0,0.0,0.0,0.0,0
4856000,0,0.70711,0.00011088799,0.00011131299,0.70711,0.0,0.0,0.0,0.0,0
4864000,0,0.70711,0.00011110315,0.000111528156,0.70711,0.0,0.0,0.0,0.0,0
4876000,0,0.70711,0.0001114259,0.0001118509,0.70711,0.0,0.0,0.0,0.0,0
4884000,0,0.70711,0.000111641064,0.00011206607,0.70711,0.0,0.0,0.0,0.0,0
4896000,0,0.70711,0.00011196382,0.000112388814,0.70711,0.0,0.0,0.0,0.0,0
4904000,0,0.70711,0.00011217898,0.000112603986,0.70711,0.0,0.0,0.0,0.0,0
4916000,0,0.70711,0.00011250173,0.00011292673,0.70711,0.0,0.0,0.0,0.0,0
4924000,0,0.70711,0.0001127169,0.0001131419,0.70711,0.0,0.0,0.0,0.0,0
4936000,0,0.70711,0.00011303965,0.00011346465,0.70711,0.0,0.0,0.0,0.0,0
4944000,0,0.70711,0.00011325481,0.00011367982,0.70711,0.0,0.0,0.0,0.0,0
4956000,0,0.70711,0.00011357757,0.00011400256,0.70711,0.0,0.0,0.0,0.0,0
4964000,0,0.70711,0.00011379273,0.00011421773,0.70711,0.0,0.0,0.0,0.0,0
4976000,0,0.70711,0.00011411548,0.00011454048,0.70711,0.0,0.0,0.0,0.0,0
4984000,0,0.70711,0.00011433064,0.00011475565,0.70711,0.0,0.0,0.0,0.0,0
4996000,0,0.70711,0.0001146534,0.000115078394,0.70711,0.0,0.0,0.0,0.0,0
5004000,0,0.70711,0.00011486856,0.000115293566,0.70711,0.0,0.0,0.0,0.0,0
5016000,0,0.70711,0.00011519132,0.00011561631,0.70711,0.0,0.0,0.0,0.0,0
5024000,0,0.70711,0.00011540648,0.00011583148,0.70711,0.0,0.0,0.0,0.0,0
5036000,0,0.70711,0.00011572923,0.00011615423,0.70711,0.0,0.0,0.0,0.0,0
5044000,0,0.70711,0.0001159444,0.000116369396,0.70711,0.0,0.0,0.0,0.0,0
5056000,0,0.70711,0.00011626715,0.00011669215,0.70711,0.0,0.0,0.0,0.0,0
5064000,0,0.70711,0.00011648231,0.000116907315,0.70711,0.0,0.0,0.0,0.0,0
5076000,0,0.70711,0.000116805066,0.00011723006,0.70711,0.0,0.0,0.0,0.0,0
5084000,0,0.70711,0.00011702023,0.00011744523,0.70711,0.0,0.0,0.0,0.0,0
5096000,0,0.70711,0.000117342985,0.00011776798,0.70711,0.0,0.0,0.0,0.0,0
5104000,0,0.70711,0.00011755815,0.00011798315,0.70711,0.0,0.0,0.0,0.0,0
5116000,0,0.70711,0.0001178809,0.0001183059,0.70711,0.0,0.0,0.0,0.0,0
5124000,0,0.70711,0.00011809607,0.000118521064,0.70711,0.0,0.0,0.0,0.0,0
5136000,0,0.70711,0.00011841882,0.00011884382,0.70711,0.0,0.0,0.0,0.0,0
5144000,0,0.70711,0.00011863399,0.00011905898,0.70711,0.0,0.0,0.0,0.0,0
5156000,0,0.70711,0.00011895674,0.00011938174,0.70711,0.0,0.0,0.0,0.0,0
5164000,0,0.70711,0.000119171906,0.0001195969,0.70711,0.0,0.0,0.0,0.0,0
5176000,0,0.70711,0.00011949466,0.000119919656,0.70711,0.0,0.0,0.0,0.0,0
5184000,0,0.70711,0.000119709825,0.00012013482,0.70711,0.0,0.0,0.0,0.0,0
5196000,0,0.70711,0.00012003258,0.000120457575,0.70711,0.0,0.0,0.0,0.0,0
5204000,0,0.70711,0.00012024774,0.00012067274,0.70711,0.0,0.0,0.0,0.0,0
5216000,0,0.70711,0.0001205705,0.00012099549,0.70711,0.0,0.0,0.0,0.0,0
5224000,0,0.70711,0.00012078566,0.00012121066,0.70711,0.0,0.0,0.0,0.0,0
5236000,0,0.70711,0.000121108416,0.00012153341,0.70711,0.0,0.0,0.0,0.0,0
5244000,0,0.70711,0.00012132358,0.00012174858,0.70711,0.0,0.0,0.0,0.0,0
5256000,0,0.70711,0.000121646335,0.00012207133,0.70711,0.0,0.0,0.0,0.0,0
5264000,0,0.70711,0.0001218615,0.0001222865,0.70711,0.0,0.0,0.0,0.0,0
5276000,0,0.70711,0.00012218425,0.00012260926,0.70711,0.0,0.0,0.0,0.0,0
5284000,0,0.70711,0.00012239942,0.00012282442,0.70711,0.0,0.0,0.0,0.0,0
5296000,0,0.70711,0.00012272218,0.00012314717,0.70711,0.0,0.0,0.0,0.0,0
5304000,0,0.70711,0.00012293734,0.00012336233,0.70711,0.0,0.0,0.0,0.0,0
5316000,0,0.70711,0.00012326009,0.0001236851,0.70711,0.0,0.0,0.0,0.0,0
5324000,0,0.70711,0.00012347527,0.00012390026,0.70711,0.0,0.0,0.0,0.0,0
5336000,0,0.70711,0.00012379802,0.000124223,0.70711,0.0,0.0,0.0,0.0,0
5344000,0,0.70711,0.00012401318,0.00012443819,0.70711,0.0,0.0,0.0,0.0,0
5356000,0,0.70711,0.00012433594,0.00012476093,0.70711,0.0,0.0,0.0,0.0,0
5364000,0,0.70711,0.00012455111,0.0001249761,0.70711,0.0,0.0,0.0,0.0,0
5376000,0,0.70711,0.00012487386,0.00012529886,0.70711,0.0,0.0,0.0,0.0,0
5384000,0,0.70711,0.00012508903,0.00012551402,0.70711,0.0,0.0,0.0,0.0,0
5396000,0,0.70711,0.00012541178,0.00012583677,0.70711,0.0,0.0,0.0,0.0,0
5404000,0,0.70711,0.00012562695,0.00012605195,0.70711,0.0,0.0,0.0,0.0,0
5416000,0,0.70711,0.00012594971,0.0001263747,0.70711,0.0,0.0,0.0,0.0,0
5424000,0,0.70711,0.00012616487,0.00012658986,0.70711,0.0,0.0,0.0,0.0,0
5436000,0,0.70711,0.00012648762,0.00012691262,0.70711,0.0,0.0,0.0,0.0,0
5444000,0,0.70711,0.0001267028,0.00012712779,0.70711,0.0,0.0,0.0,0.0,0
5456000,0,0.70711,0.00012702555,0.00012745055,0.70711,0.0,0.0,0.0,0.0,0
5464000,0,0.70711,0.00012724071,0.00012766571,0.70711,0.0,0.0,0.0,0.0,0
5476000,0,0.70711,0.00012756347,0.00012798846,0.70711,0.0,0.0,0.0,0.0,0
