timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3508000,3508000,1310988,1310988,-4.261048e-06,-8.522117e-06,-8.522122e-06,-0.0008331823,0.0006847425,-0.039729387,4000,4000,0,0,0,1
4008000,4008000,1310988,1310988,3.195774e-06,-2.8762144e-05,1.0652701e-06,-0.00083797064,0.0008379714,-0.03967672,4000,4000,0,0,0,1
4508000,4508000,1310988,1310988,-5.3263293e-06,-2.024002e-05,5.326328e-06,-0.00083797064,0.0008188178,-0.03980121,4000,4000,0,0,0,1
5008000,5008000,1310988,1310988,-4.261048e-06,-2.6631615e-05,-3.195799e-06,-0.0007948751,0.00080924097,-0.039695863,4000,4000,0,0,0,1
5508000,5508000,1310988,1310988,1.0652556e-06,-1.8109497e-05,1.2783183e-05,-0.000746991,0.0006560121,-0.03979164,4000,4000,0,0,0,1
6008000,6008000,1310988,1310988,-1.0652889e-06,-2.4501085e-05,4.2610495e-06,-0.00082360546,0.0008523366,-0.039796427,4000,4000,0,0,0,1
6508000,6508000,1310988,1310988,-1.0652491e-06,-2.8762144e-05,-6.3915804e-06,-0.000746991,0.00081881776,-0.039700653,4000,4000,0,0,0,1
7008000,7008000,1310988,1310988,-7.4568347e-06,-3.302321e-05,-1.065242e-06,-0.0008810663,0.0006799541,-0.039782062,4000,4000,0,0,0,1
7508000,7508000,1310988,1310988,-1.3848446e-05,-2.6631613e-05,5.3263057e-06,-0.0008762779,0.0007469917,-0.039815575,4000,4000,0,0,0,1
8008000,8008000,1310988,1310988,2.250664e-11,-3.195794e-05,-1.7044229e-05,-0.0008044519,0.00069910765,-0.039705448,4000,4000,0,0,0,1
8508000,8508000,1310988,1310988,-3.1958007e-06,-2.4501085e-05,-5.3263225e-06,-0.0008523358,0.0007469917,-0.039767694,4000,4000,0,0,0,1
9008000,9008000,1310988,1310988,-1.597897e-05,-1.8109502e-05,2.1305036e-06,-0.0008283939,0.0007565685,-0.039753333,4000,4000,0,0,0,1
9508000,9508000,1310988,1310988,3.19579e-06,-1.5978967e-05,8.522123e-06,-0.00093852717,0.00060812803,-0.039853882,4000,4000,0,0,0,1
10008000,10008000,1310988,1310988,-1.0652583e-06,-8.522118e-06,2.1305284e-06,-0.00072304904,0.0007086845,-0.03964798,4000,4000,0,0,0,1
10508000,10508000,1310988,1310988,2.8369722e-12,-1.917476e-05,-8.522119e-06,-0.0007565678,0.00065122364,-0.03974376,4000,4000,0,0,0,1
11008000,11008000,1310988,1310988,-6.3915704e-06,-2.9827412e-05,-2.1305316e-06,-0.000770933,0.00061770476,-0.039671928,4000,4000,0,0,0,1
11508000,11508000,1310988,1310988,-8.52212e-06,-2.3435818e-05,-5.3263307e-06,-0.0007805097,0.00058418605,-0.039619252,4000,4000,0,0,0,1
