timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
3292000,0,0,1,0,0,0,0
3796000,0,0,1,0,0,0,0
4300000,0,0,1,0,0,0,0
4804000,0,0,1,0,0,0,0
5308000,0,0,1,0,0,0,0
5812000,0,0,1,0,0,0,0
6316000,0,0,1,0,0,0,0
6820000,0,0,1,0,0,0,0
7324000,0,0,1,0,0,0,0
7828000,0,0,1,0,0,0,0
8332000,0,0,1,0,0,0,0
8836000,0,0,1,0,0,0,0
9340000,0,0,1,0,0,0,0
9844000,0,0,1,0,0,0,0
9868000,0,0,1,0,0,0,0
10372000,0,0,1,0,0,0,0
10876000,0,0,1,0,0,0,0
11380000,0,0,1,0,0,0,0
11884000,0,0,1,0,0,0,0
12388000,0,0,1,0,0,0,0
12892000,0,0,1,0,0,0,0
13396000,0,0,1,0,0,0,0
13900000,0,0,1,0,0,0,0
14404000,0,0,1,0,0,0,0
14908000,0,0,1,0,0,0,0
15412000,0,0,1,0,0,0,0
15916000,0,0,1,0,0,0,0
16420000,0,0,1,0,0,0,0
16924000,0,0,1,0,0,0,0
17428000,0,0,1,0,0,0,0
17932000,0,0,1,0,0,0,0
18436000,0,0,1,0,0,0,0
18940000,0,0,1,0,0,0,0
19444000,0,0,1,0,0,0,0
19948000,0,0,1,0,0,0,0
20452000,0,0,1,0,0,0,0
20956000,0,0,1,0,0,0,0
21460000,0,0,1,0,0,0,0
21964000,0,0,1,0,0,0,0
22468000,0,0,1,0,0,0,0
22972000,0,0,1,0,0,0,0
23476000,0,0,1,0,0,0,0
23980000,0,0,1,0,0,0,0
24484000,0,0,1,0,0,0,0
24988000,0,0,1,0,0,0,0
25492000,0,0,1,0,0,0,0
25996000,0,0,1,0,0,0,0
26500000,0,0,1,0,0,0,0
27004000,0,0,1,0,0,0,0
27508000,0,0,1,0,0,0,0
28012000,0,0,1,0,0,0,0
28516000,0,0,1,0,0,0,0
29020000,0,0,1,0,0,0,0
29524000,0,0,1,0,0,0,0
30028000,0,0,1,0,0,0,0
30532000,0,0,1,0,0,0,0
31036000,0,0,1,0,0,0,0
31540000,0,0,1,0,0,0,0
32044000,0,0,1,0,0,0,0
32548000,0,0,1,0,0,0,0
33052000,0,0,1,0,0,0,0
33556000,0,0,1,0,0,0,0
34060000,0,0,1,0,0,0,0
34564000,0,0,1,0,0,0,0
35068000,0,0,1,0,0,0,0
35572000,0,0,1,0,0,0,0
36076000,0,0,1,0,0,0,0
36580000,0,0,1,0,0,0,0
37084000,0,0,1,0,0,0,0
37588000,0,0,1,0,0,0,0
38092000,0,0,1,0,0,0,0
38596000,0,0,1,0,0,0,0
39100000,0,0,1,0,0,0,0
39604000,0,0,1,0,0,0,0
40108000,0,0,1,0,0,0,0
40612000,0,0,1,0,0,0,0
41116000,0,0,1,0,0,0,0
41620000,0,0,1,0,0,0,0
42124000,0,0,1,0,0,0,0
42628000,0,0,1,0,0,0,0
43132000,0,0,1,0,0,0,0
43636000,0,0,1,0,0,0,0
44140000,0,0,1,0,0,0,0
44644000,0,0,1,0,0,0,0
45148000,0,0,1,0,0,0,0
45652000,0,0,1,0,0,0,0
46156000,0,0,1,0,0,0,0
46660000,0,0,1,0,0,0,0
47164000,0,0,1,0,0,0,0
47668000,0,0,1,0,0,0,0
48172000,0,0,1,0,0,0,0
48676000,0,0,1,0,0,0,0
49180000,0,0,1,0,0,0,0
