timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
3388000,3306914,0,0,-0.0015258789,12.25,-4.627742e-06,112.42326,7.619773e-15,3,0,0,0
3452000,3366907,0,0,0.030761719,12.25,-0.02955934,112.25,3.1136022e-07,3,0,0,0
3508000,3427031,0,0,-0.0066833496,12.25,0.0072169355,112.25,1.8560057e-08,3,0,0,0
3572000,3487060,0,0,-0.070617676,12.25,0.0698865,112.25,1.7404445e-06,3,0,0,0
3628000,3547167,0,0,-0.04083252,12.25,0.041787267,62.249985,1.1220409e-06,3,0,0,0
3692000,3607192,0,0,-0.12542725,12.25,0.12633646,62.249985,1.02560025e-05,3,0,0,0
3748000,3667283,0,0,0.034973145,12.25,-0.03417367,62.249985,7.504193e-07,3,0,0,0
3812000,3727305,0,0,0.0057373047,12.25,-0.0054131187,45.58333,2.5712781e-08,3,0,0,0
3868000,3785378,0,0,0.013336182,12.25,-0.013308794,45.58333,1.5542875e-07,3,0,0,0
3932000,3847396,0,0,-0.12362671,12.25,0.12325277,45.58333,1.33305275e-05,3,0,0,0
3988000,3907465,0,0,0.061523438,12.25,-0.062294073,45.58337,3.4052346e-06,3,0,0,0
4052000,3967486,3972000,0,0.033355713,12.25,-0.034363795,37.250053,1.268047e-06,3,0,0,0
4108000,4027540,4028000,0,-0.017242432,12.25,0.015801832,37.250107,2.6813117e-07,3,1,0,1
4172000,4087558,4092000,0,-0.11114502,12.25,0.098555446,20.471523,1.89789e-05,3,1,0,1
4228000,4147608,4148000,0,-0.059509277,12.25,0.0067860186,17.169733,1.0728192e-07,3,1,0,1
4292000,4207620,4212000,0,-0.12054443,12.25,0.06531516,15.760109,1.08275135e-05,3,1,0,1
4348000,4267660,4268000,0,-0.068878174,12.25,-0.0014749989,14.978399,5.810025e-09,3,1,0,1
4412000,4327670,4332000,0,0.14706421,12.25,-0.21787466,14.481504,0.00013111722,3,1,0,1
4468000,4387707,4388000,0,0.024993896,12.25,-0.06261876,14.13773,1.1094028e-05,3,1,0,1
4532000,4447716,4452000,0,-0.22381592,12.25,0.19384763,13.885815,0.00010824544,3,1,0,1
4588000,4506748,4508000,0,-0.050109863,12.25,-0.0033476017,13.693262,3.2735624e-08,3,1,0,1
4644000,4563756,4564000,0,0.043792725,12.25,-0.09759767,13.541327,2.8136994e-05,3,1,0,1
4700000,4615779,4620000,0,-0.031341553,12.25,-0.013338704,13.418316,5.303826e-07,3,1,0,1
4756000,4675790,4676000,0,0.029693604,12.25,-0.07386431,13.316813,1.6388112e-05,3,1,0,1
4820000,4734476,4740000,0,-0.0031738281,12.25,-0.035856657,13.23165,3.8867406e-06,3,1,0,1
4876000,4795820,4796000,0,0.03439331,12.25,-0.07072007,13.158957,1.5202811e-05,3,1,0,1
4940000,4854501,4860000,0,-0.07357788,12.25,0.04143436,13.09651,5.243553e-06,3,1,0,1
4996000,4915845,4916000,0,-0.0031738281,12.25,-0.032276228,13.042137,3.1950433e-06,3,1,0,1
5060000,4975858,4980000,0,-0.0031738281,12.25,-0.031033747,12.994473,2.9646246e-06,3,1,0,1
5116000,5035868,5036000,0,-0.087677,12.25,0.055516988,12.95193,9.518692e-06,3,1,0,1
5180000,5095878,5100000,0,0.006225586,12.25,-0.042043645,12.914359,5.475047e-06,3,1,0,1
5236000,5155885,5156000,0,-0.04071045,12.25,0.0064585917,12.880646,1.2953825e-07,3,1,0,1
5300000,5215895,5220000,0,0.024993896,12.25,-0.059191316,12.849889,1.0906279e-05,3,1,0,1
5356000,5275901,5276000,0,0.100128174,12.25,-0.13209417,12.822351,5.4432672e-05,3,1,0,1
5420000,5335910,5340000,0,-0.097076416,12.25,0.07037753,12.797398,1.5481262e-05,3,1,0,1
5476000,5395915,5396000,0,-0.007843018,12.25,-0.022455325,12.774559,1.5788931e-06,3,1,0,1
5540000,5455923,5460000,0,-0.017242432,12.25,-0.011591593,12.753065,4.21436e-07,3,1,0,1
5596000,5515927,5516000,0,-0.097076416,12.25,0.068197764,12.733783,1.4609751e-05,3,1,0,1
5660000,5575934,5580000,0,-0.04071045,12.25,0.00865978,12.716108,2.3589541e-07,3,1,0,1
5716000,5635938,5636000,0,0.0015258789,12.25,-0.0332246,12.698922,3.4770642e-06,3,1,0,1
5780000,5695943,5700000,0,0.05319214,12.25,-0.08427811,12.683729,2.239972e-05,3,1,0,1
5836000,5755946,5756000,0,0.024993896,12.25,-0.053705692,12.669543,9.106252e-06,3,1,0,1
5900000,5815951,5820000,0,-0.017242432,12.25,-0.009066479,12.655581,2.5980964e-07,3,1,0,1
5956000,5875954,5876000,0,-0.13461304,12.25,0.10814959,12.643198,3.700435e-05,3,1,0,1
6020000,5935958,5940000,0,-0.026641846,12.25,-0.0037366524,12.63173,4.4214282e-08,3,1,0,1
6076000,5995960,5996000,0,0.0015258789,12.25,-0.032297827,12.620913,3.3060987e-06,3,1,0,1
6140000,6054630,6060000,0,-0.045410156,12.25,0.01638522,12.60986,8.516365e-07,3,1,0,1
6196000,6115966,6116000,0,-0.021942139,12.25,-0.008012479,12.600268,2.038046e-07,3,1,0,1
6260000,6175969,6180000,0,-0.012542725,12.25,-0.017751805,12.591364,1.001088e-06,3,1,0,1
6316000,6235971,6236000,0,-0.031341553,12.25,0.0024488233,12.5818205,1.9064764e-08,3,1,0,1
