timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
4312000,4000000.0,1.0,13554.781,0.0,297,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4572000,4000000.0,1.0,13554.781,0.0,380,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5828000,4000000.0,1.0,15085.658,0.0,796,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7076000,4000000.0,1.0,15148.407,0.0,1203,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8336000,4000000.0,1.0,14878.486,0.0,1625,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9336000,4000000.0,1.0,16486.057,0.0,1990,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9592000,4000000.0,1.0,16486.057,0.0,2080,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10852000,4000000.0,1.0,16870.518,0.0,2551,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12108000,4000000.0,1.0,17343.627,0.0,3028,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13108000,4000000.0,1.0,17096.613,0.0,3406,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13364000,4000000.0,1.0,17180.28,0.0,3517,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14616000,4000000.0,1.0,16918.328,0.0,3986,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15872000,4000000.0,1.0,17133.467,0.0,4456,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17128000,4000000.0,1.0,16919.322,0.0,4926,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18128000,4000000.0,1.0,17359.562,0.0,5305,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18388000,4000000.0,1.0,16870.518,0.0,5413,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19640000,4000000.0,1.0,17181.275,0.0,5885,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20896000,4000000.0,1.0,16857.57,0.0,6356,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22156000,4000000.0,1.0,17195.219,0.0,6831,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23156000,4000000.0,1.0,17096.613,0.0,7207,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23412000,4000000.0,1.0,17173.307,0.0,7314,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24664000,4000000.0,1.0,16931.275,0.0,7783,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25916000,4000000.0,1.0,17120.518,0.0,8256,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27172000,4000000.0,1.0,16919.322,0.0,8722,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28172000,4000000.0,1.0,17359.562,0.0,9102,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28432000,4000000.0,1.0,16870.518,0.0,9208,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29692000,4000000.0,1.0,17181.275,0.0,9682,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30944000,4000000.0,1.0,16870.518,0.0,10153,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32196000,4000000.0,1.0,17169.322,0.0,10625,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33196000,4000000.0,1.0,17096.613,0.0,11001,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33456000,4000000.0,1.0,17199.203,0.0,11114,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34712000,4000000.0,1.0,16905.379,0.0,11579,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35964000,4000000.0,1.0,17133.467,0.0,12052,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37224000,4000000.0,1.0,16919.322,0.0,12524,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38224000,4000000.0,1.0,17359.562,0.0,12903,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38480000,4000000.0,1.0,16870.518,0.0,13008,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
