timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
3984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.036941033,0.001688056,1.0586645e-11,-0.21241358,0.1993893,-9.9201355,-0.0015552861,-0.0055606803,-0.00029827413,0.00030071125,0.0004473601,0.00056175527,2.125837e-06,4.0918576e-06,2.1769024e-06,11.832729,11.832729
4984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024720082,0.0021796168,1.2639544e-11,-0.21672314,0.1855987,-9.9245405,-0.0010439592,-0.0042397524,0.000596548,0.0005747106,0.0004357047,0.00033594883,2.8010359e-06,4.7159915e-06,4.783133e-06,11.832729,11.832729
5984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.022936933,0.001985718,1.132683e-11,-0.20523097,0.18234259,-9.944269,-0.0016618125,-0.0053476277,-4.2610656e-05,0.0003709307,0.00026400608,0.0004251953,1.9698036e-06,2.351849e-06,3.6152467e-06,11.832729,11.832729
6984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02374348,0.0022317318,1.2567357e-11,-0.20254946,0.18234257,-9.922913,-0.00021305289,-0.0049854377,6.391578e-05,0.0005173312,0.00045030267,0.00046673126,3.167951e-06,2.5740783e-06,3.9556835e-06,11.832729,11.832729
7984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024197029,0.0021488878,1.3808478e-11,-0.21136013,0.18895058,-9.942737,-0.000809601,-0.0058163437,0.00012783162,0.00028399244,0.000621428,0.00022340321,1.4686052e-06,3.4970394e-06,4.262076e-06,11.832729,11.832729
8984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02326642,0.0019819287,1.267651e-11,-0.19076999,0.18119337,-9.936607,-0.0012357067,-0.00479369,-0.0005326323,0.0003824907,0.00034953048,0.00052952394,1.3173002e-06,2.6005564e-06,4.4682292e-06,11.832729,11.832729
9984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024571506,0.0021137053,1.3508015e-11,-0.18569428,0.17286155,-9.927893,-0.00070307456,-0.00515588,-0.0008522117,0.00022407173,0.00049488014,0.00045422185,2.64122e-06,4.0360637e-06,3.664421e-06,11.832729,11.832729
10984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02427093,0.0021175146,8.426831e-12,-0.19000384,0.16807313,-9.9245405,0.00021305289,-0.0035792885,-6.391593e-05,0.00039498703,0.00058038544,0.00020219458,3.3807237e-06,4.6223713e-06,3.2700818e-06,11.832729,11.832729
11984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023480808,0.002173373,1.0469406e-11,-0.197378,0.1670197,-9.93067,-0.0012783173,-0.0042397524,-0.0007243799,0.00042087745,0.00038896804,0.00022833445,4.0899668e-06,6.749154e-06,1.9121185e-06,11.832729,11.832729
12984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023851085,0.002255555,1.8421225e-11,-0.19785683,0.16864775,-9.92387,-0.0013209279,-0.005603291,-0.00034088467,0.00035342848,0.0008441049,0.00040100218,3.903672e-06,6.811567e-06,4.6545238e-06,11.832729,11.832729
13984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023891645,0.0021784194,1.3797496e-11,-0.20207062,0.16625354,-9.935171,-0.0013635386,-0.005454154,-0.00025566353,0.00035874033,0.00042517655,0.0005277042,2.8152208e-06,3.1036466e-06,3.880031e-06,11.832729,11.832729
14984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024911992,0.0021344053,1.3054051e-11,-0.18492813,0.1630932,-9.9333515,-0.00091612746,-0.004708469,-0.00010652653,0.00045011158,0.0002533251,0.0006233407,4.8824268e-06,6.351978e-06,4.160891e-06,11.832729,11.832729
15984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02323674,0.0022087805,1.2410988e-11,-0.17123331,0.15294178,-9.936033,-0.0004261058,-0.005006743,0.00019174752,0.0007447658,0.00040522846,0.00019703453,2.7187639e-06,3.120668e-06,4.6545238e-06,11.832729,11.832729
16984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023180027,0.0021223968,9.7807274e-12,-0.17506403,0.15112218,-9.91573,-0.0017470337,-0.005475459,0.00014913693,0.00028437455,0.00040522846,0.00040559255,1.1234406e-06,5.946291e-06,1.879966e-06,11.832729,11.832729
17984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.025436817,0.0022142369,1.11375275e-11,-0.16654067,0.15198411,-9.929616,-0.001107875,-0.004261058,0.00068176916,0.0005259677,0.00033777958,0.00034052832,2.5040997e-06,4.3027394e-06,4.9533514e-06,11.832729,11.832729
18984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023949936,0.0021304642,1.854464e-11,-0.16079459,0.1450888,-9.921668,-0.001107875,-0.005688512,0.00014913698,0.00050714705,0.00031240506,0.00039910173,4.0644336e-06,3.1613313e-06,5.899008e-06,11.832729,11.832729
19984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023729023,0.0021430182,1.449038e-11,-0.15466543,0.14767455,-9.918699,-0.0019174761,-0.004580637,0.000447411,0.0005106436,0.00041115176,0.00042991026,6.194053e-06,3.9717593e-06,2.07288e-06,11.832729,11.832729
20984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023245757,0.0021069187,1.1165306e-11,-0.1688391,0.15543175,-9.917454,-0.00085221155,-0.0050919643,-0.00019174769,0.0004290171,0.00022590606,0.0005132818,2.884254e-06,4.020934e-06,2.4795127e-06,11.832729,11.832729
21984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024221461,0.0019989992,1.2157039e-11,-0.17851168,0.15342063,-9.9135275,-0.0011717909,-0.0053263223,-0.0005752429,0.0005852004,0.00026077696,0.00063000154,2.1513697e-06,4.184532e-06,3.5443225e-06,11.832729,11.832729
22984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023666069,0.0022632452,9.904643e-12,-0.15150508,0.14336498,-9.903472,-0.0014061491,-0.0042397524,-0.00057524286,0.00052617793,0.00027052168,0.0004442829,2.384947e-06,6.985568e-06,1.7002913e-06,11.832729,11.832729
23984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.022501387,0.0021681085,1.3512581e-11,-0.15227123,0.1426946,-9.906632,-0.0005752428,-0.0049641323,-0.00044741115,0.00020110472,0.00031622648,0.00027431943,4.017151e-06,4.13063e-06,4.176967e-06,11.832729,11.832729
