timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
3300000,0,1,1,1,0,0,1,1,0,0,1,1
4300000,0,1,1,1,0,0,1,0,0,0,1,1
5300000,0,1,1,1,0,0,1,0,0,0,1,1
6300000,0,1,1,1,0,0,1,0,0,0,1,1
7300000,0,1,1,1,0,0,1,0,0,0,1,1
8300000,0,1,1,1,0,0,1,0,0,0,1,1
8812000,0,1,1,1,1,1,1,0,0,0,1,1
9812000,0,1,1,1,1,1,1,0,0,0,1,1
10812000,0,1,1,1,1,1,1,0,0,0,1,1
11812000,0,1,1,1,1,1,1,0,0,0,1,1
12812000,0,1,1,1,1,1,1,0,0,0,1,1
13812000,0,1,1,1,1,1,1,0,0,0,1,1
14812000,0,1,1,1,1,1,1,0,0,0,1,1
15812000,0,1,1,1,1,1,1,0,0,0,1,1
16812000,0,1,1,1,1,1,1,0,0,0,1,1
17812000,0,1,1,1,1,1,1,0,0,0,1,1
18812000,0,1,1,1,1,1,1,0,0,0,1,1
19812000,0,1,1,1,1,1,1,0,0,0,1,1
20812000,0,1,1,1,1,1,1,0,0,0,1,1
21812000,0,1,1,1,1,1,1,0,0,0,1,1
22812000,0,1,1,1,1,1,1,0,0,0,1,1
23812000,0,1,1,1,1,1,1,0,0,0,1,1
24812000,0,1,1,1,1,1,1,0,0,0,1,1
25812000,0,1,1,1,1,1,1,0,0,0,1,1
26812000,0,1,1,1,1,1,1,0,0,0,1,1
27812000,0,1,1,1,1,1,1,0,0,0,1,1
28812000,0,1,1,1,1,1,1,0,0,0,1,1
29812000,0,1,1,1,1,1,1,0,0,0,1,1
30812000,0,1,1,1,1,1,1,0,0,0,1,1
31812000,0,1,1,1,1,1,1,0,0,0,1,1
32812000,0,1,1,1,1,1,1,0,0,0,1,1
33812000,0,1,1,1,1,1,1,0,0,0,1,1
34812000,0,1,1,1,1,1,1,0,0,0,1,1
35812000,0,1,1,1,1,1,1,0,0,0,1,1
36812000,0,1,1,1,1,1,1,0,0,0,1,1
37812000,0,1,1,1,1,1,1,0,0,0,1,1
38812000,0,1,1,1,1,1,1,0,0,0,1,1
39812000,0,1,1,1,1,1,1,0,0,0,1,1
40812000,0,1,1,1,1,1,1,0,0,0,1,1
41812000,0,1,1,1,1,1,1,0,0,0,1,1
42812000,0,1,1,1,1,1,1,0,0,0,1,1
43812000,0,1,1,1,1,1,1,0,0,0,1,1
44812000,0,1,1,1,1,1,1,0,0,0,1,1
45812000,0,1,1,1,1,1,1,0,0,0,1,1
46812000,0,1,1,1,1,1,1,0,0,0,1,1
47812000,0,1,1,1,1,1,1,0,0,0,1,1
48812000,0,1,1,1,1,1,1,0,0,0,1,1
49812000,0,1,1,1,1,1,1,0,0,0,1,1
50812000,0,1,1,1,1,1,1,0,0,0,1,1
51812000,0,1,1,1,1,1,1,0,0,0,1,1
52812000,0,1,1,1,1,1,1,0,0,0,1,1
53812000,0,1,1,1,1,1,1,0,0,0,1,1
54812000,0,1,1,1,1,1,1,0,0,0,1,1
55116000,0,1,0,0,1,1,1,0,0,0,1,0
55316000,0,0,0,0,1,0,1,0,0,0,1,0
56316000,0,0,0,0,1,0,0,0,0,0,1,0
57316000,0,0,0,0,1,0,0,0,0,0,1,0
57412000,0,0,0,0,0,0,0,0,0,0,1,0
58412000,0,0,0,0,0,0,0,1,0,0,1,0
59412000,0,0,0,0,0,0,0,1,0,0,1,0
60412000,0,0,0,0,0,0,0,1,0,0,1,0
61412000,0,0,0,0,0,0,0,0,0,0,1,0
62412000,0,0,0,0,0,0,0,0,0,0,1,0
63412000,0,0,0,0,0,0,0,0,0,0,1,0
64412000,0,0,0,0,0,0,0,0,0,0,1,0
65412000,0,0,0,0,0,0,0,0,0,0,1,0
66412000,0,0,0,0,0,0,0,0,0,0,1,0
67412000,0,0,0,0,0,0,0,0,0,0,1,0
68412000,0,0,0,0,0,0,0,0,0,0,1,0
69412000,0,0,0,0,0,0,0,0,0,0,1,0
70412000,0,0,0,0,0,0,0,0,0,0,1,0
71412000,0,0,0,0,0,0,0,0,0,0,1,0
72412000,0,0,0,0,0,0,0,0,0,0,1,0
73412000,0,0,0,0,0,0,0,0,0,0,1,0
73692000,0,0,0,0,1,1,0,1,0,0,1,0
74692000,0,0,0,0,1,1,0,1,0,0,1,0
75692000,0,0,0,0,1,1,0,1,0,0,1,0
76692000,0,0,0,0,1,1,0,1,0,0,1,0
77692000,0,0,0,0,1,1,0,1,0,0,1,0
78692000,0,0,0,0,1,1,0,1,0,0,1,0
79692000,0,0,0,0,1,1,0,1,0,0,1,0
80692000,0,0,0,0,1,1,0,1,0,0,1,0
81692000,0,0,0,0,1,1,0,1,0,0,1,0
82692000,0,0,0,0,1,1,1,1,0,0,1,0
83692000,0,0,0,0,1,1,1,1,0,0,1,0
84692000,0,0,0,0,1,1,1,1,0,0,1,0
85692000,0,0,0,0,1,1,1,0,0,0,1,0
85772000,0,1,0,0,1,1,1,0,0,0,1,0
86108000,0,1,1,0,1,1,1,0,0,0,1,0
86444000,0,1,1,1,1,1,1,0,0,0,1,1
87444000,0,1,1,1,1,1,1,0,0,0,1,1
88444000,0,1,1,1,1,1,1,0,0,0,1,1
89444000,0,1,1,1,1,1,1,0,0,0,1,1
