timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3096000,3096000,3096000,0,0.0,0.0,0.25,0.25,6.300118e-08,-1.5656e-08,0.500009,0.500009,8.820172e-16,5.4467977e-17,3,0,0,0
3384000,3304000,3304000,0,0.0,0.0,1e-04,1e-04,6.776161e-05,-0.00017330487,100.000175,100.000175,5.1018087e-12,3.3371694e-11,3,1,0,1
3592000,3512000,3512000,0,0.0,0.0,1e-04,1e-04,0.000103601335,7.4243515e-05,0.00021538291,0.00021538565,5.537031e-06,2.8435297e-06,3,1,0,1
3800000,3720000,3720000,0,0.0,0.0,1e-04,1e-04,0.0005341755,8.892167e-05,0.000590316,0.0005904018,5.3708227e-05,1.4880758e-06,3,1,0,1
4008000,3928000,3928000,0,0.0,0.0,1e-04,1e-04,0.0006146898,-0.00013915595,0.0009318705,0.00093192025,4.5051984e-05,2.3087787e-06,3,1,0,1
4216000,4136000,4136000,0,0.0,0.0,1e-04,1e-04,0.00042741207,-0.0002770889,0.000681102,0.0006811116,2.9801555e-05,1.2524993e-05,3,1,0,1
4424000,4344000,4344000,0,0.0,0.0,1e-04,1e-04,0.00045674448,-0.000255924,0.00055828854,0.0005582918,4.1518855e-05,1.3035218e-05,3,1,0,1
4632000,4552000,4552000,0,0.0,0.0,1e-04,1e-04,0.00050560955,-0.00047886994,0.0005019682,0.00050196593,5.6586374e-05,5.0759623e-05,3,1,0,1
4840000,4760000,4760000,0,0.0,0.0,1e-04,1e-04,0.00037244207,-0.0008999469,0.00046184787,0.0004618404,3.3371518e-05,0.00019484952,3,1,0,1
5048000,4968000,4968000,0,0.0,0.0,1e-04,1e-04,0.00012599694,-0.000868372,0.00042523423,0.00042522774,4.1481007e-06,0.00019703688,3,1,0,1
5256000,5176000,5176000,0,0.0,0.0,1e-04,1e-04,0.00029802998,-0.00061179104,0.00039288632,0.00039288137,2.5119469e-05,0.00010585278,3,1,0,1
5464000,5384000,5384000,0,0.0,0.0,1e-04,1e-04,0.0002656356,4.4887893e-06,0.00036616088,0.0003661579,2.1412045e-05,6.114311e-09,3,1,0,1
5672000,5592000,5592000,0,0.0,0.0,1e-04,1e-04,0.00019989104,0.00042538042,0.00034498863,0.00034498618,1.2868839e-05,5.8278827e-05,3,1,0,1
5880000,5800000,5800000,0,0.0,0.0,1e-04,1e-04,0.00019693866,0.00031939097,0.00032839773,0.0003283955,1.31225825e-05,3.4514815e-05,3,1,0,1
6088000,6008000,6008000,0,0.0,0.0,1e-04,1e-04,0.0002279438,8.0305545e-05,0.00031537213,0.0003153697,1.8305844e-05,2.2721063e-06,3,1,0,1
6296000,6216000,6216000,0,0.0,0.0,1e-04,1e-04,0.00011421761,-5.0292467e-05,0.00030500212,0.0003049994,4.7524854e-06,9.214343e-07,3,1,0,1
6504000,6424000,6424000,0,0.0,0.0,1e-04,1e-04,-0.0005063568,9.439111e-06,0.00029661355,0.0002966119,9.6046126e-05,3.3375755e-08,3,1,0,1
6712000,6632000,6632000,0,0.0,0.0,1e-04,1e-04,-0.0008005757,9.762599e-05,0.00028971836,0.0002897174,0.0002458025,3.6552224e-06,3,1,0,1
6920000,6840000,6840000,0,0.0,0.0,1e-04,1e-04,-0.00076088915,0.00046722862,0.00028398616,0.0002839855,0.0002265182,8.541226e-05,3,1,0,1
7128000,7048000,7048000,0,0.0,0.0,1e-04,1e-04,-0.00051670766,0.0010730566,0.00027914473,0.0002791435,0.00010627175,0.00045832674,3,1,0,1
7336000,7256000,7256000,0,0.0,0.0,1e-04,1e-04,-0.00016394565,0.0016012556,0.00027502162,0.00027501956,1.0859015e-05,0.0010358938,3,1,0,1
7544000,7464000,7464000,0,0.0,0.0,1e-04,1e-04,0.00016568204,0.0016748264,0.0002714701,0.00027146845,1.1235343e-05,0.0011480947,3,1,0,1
7752000,7672000,7672000,0,0.0,0.0,1e-04,1e-04,0.00025508285,0.0012442124,0.00026837926,0.0002683787,2.6938356e-05,0.0006409121,3,1,0,1
7960000,7880000,7880000,0,0.0,0.0,1e-04,1e-04,0.00011524507,0.00088786945,0.00026568546,0.00026568497,5.5543655e-06,0.00032967707,3,1,0,1
8168000,8088000,8088000,0,0.0,0.0,1e-04,1e-04,-9.490769e-05,0.00049250614,0.0002633112,0.00026331053,3.8009398e-06,0.00010235582,3,1,0,1
8376000,8296000,8296000,0,0.0,0.0,1e-04,1e-04,-0.0004287529,0.00040071938,0.0002612105,0.0002612102,7.819537e-05,6.83043e-05,3,1,0,1
8584000,8504000,8504000,0,0.0,0.0,1e-04,1e-04,-0.00037441368,0.00023653377,0.00025930392,0.00025930424,6.0069196e-05,2.3973651e-05,3,1,0,1
8792000,8712000,8712000,0,0.0,0.0,1e-04,1e-04,-0.0001444454,0.00034586218,0.00025758485,0.0002575864,9.000044e-06,5.1598934e-05,3,1,0,1
9000000,8920000,8920000,0,0.0,0.0,1e-04,1e-04,0.00025795898,0.00059219357,0.00025603644,0.00025603911,2.8877328e-05,0.00015218735,3,1,0,1
9208000,9128000,9128000,0,0.0,0.0,1e-04,1e-04,0.000687225,0.00075963687,0.0002546361,0.0002546393,0.0002060798,0.00025179327,3,1,0,1
9416000,9336000,9336000,0,0.0,0.0,1e-04,1e-04,0.00088725635,0.000859432,0.00025337518,0.00025337804,0.00034521657,0.00032390046,3,1,0,1
9624000,9544000,9544000,0,0.0,0.0,1e-04,1e-04,0.00089719694,0.0008490909,0.00025222157,0.0002522237,0.0003546099,0.00031759965,3,1,0,1
9832000,9752000,9752000,0,0.0,0.0,1e-04,1e-04,0.0010264402,0.00084151636,0.0002511602,0.00025116195,0.00046609447,0.0003132772,3,1,0,1
10040000,9960000,9960000,0,0.0,0.0,1e-04,1e-04,0.0009071674,0.0006503211,0.000250184,0.0002501841,0.00036548774,0.00018782503,3,1,0,1
