timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3408000,3289167,0,0,0.0,0.0,1.0,1.0,5.3183605e-05,-5.4759068e-05,1.0001314,1.0001314,1.13124975e-10,1.1992647e-10,3,1,0,0
3808000,3689496,0,0,0.0,0.0,1.0,1.0,0.00010196937,1.3162312e-05,1.0000918,1.0000918,4.1587192e-10,6.9292224e-12,3,1,0,0
4208000,4089695,0,0,0.0,0.0,1.0,1.0,0.0004083743,-0.0002638875,1.0005435,1.0005435,6.6671593e-09,2.7839513e-09,3,1,0,0
4608000,4489816,0,0,0.0,0.0075268387,1.0,1.0,0.00044871678,-0.007924283,1.0003363,1.0003363,8.051162e-09,2.510926e-06,3,1,0,0
5008000,4889889,0,0,0.0,0.0075268387,1.0,1.0,9.576413e-05,-0.00825713,1.0002489,1.0002489,3.667395e-10,2.7265294e-06,3,1,0,0
5408000,5289933,0,0,0.0,0.0075268387,1.0,1.0,0.00021592194,-0.0076187127,1.0001898,1.0001898,1.8645376e-09,2.3213508e-06,3,1,0,0
5808000,5689960,0,0,0.0,0.0075268387,1.0,1.0,0.00013501152,-0.0072632753,1.0001527,1.0001527,7.2901307e-10,2.1098845e-06,3,1,0,0
6208000,6089976,0,0,0.0,0.0075268387,1.0,1.0,0.00010293901,-0.0075271246,1.0001287,1.0001287,4.2380302e-10,2.2660124e-06,3,1,0,0
6608000,6489986,0,0,0.0,0.0075268387,1.0,1.0,-0.0004674869,-0.007481466,1.0001118,1.0001118,8.740783e-09,2.238643e-06,3,1,0,0
7008000,6889991,0,0,0.0,0.0075268387,1.0,1.0,-0.00037707275,-0.007066878,1.0000992,1.0000992,5.6867906e-09,1.9974325e-06,3,1,0,0
7408000,7289995,0,0,0.0,0.0075268387,1.0,1.0,-8.858098e-06,-0.0066008684,1.000089,1.000089,3.138357e-12,1.7427034e-06,3,1,0,0
7808000,7689997,0,0,0.0,0.0075268387,1.0,1.0,0.00012302915,-0.00698598,1.0000808,1.0000808,6.05398e-10,1.9519991e-06,3,1,0,0
8208000,8089999,0,0,0.0,0.0075268387,1.0,1.0,-8.167727e-05,-0.0073289205,1.0000739,1.0000739,2.6682734e-10,2.1483643e-06,3,1,0,0
8608000,8489999,0,0,0.0,0.0075268387,1.0,1.0,-0.00015454636,-0.0074266936,1.0000685,1.0000685,9.553177e-10,2.20608e-06,3,1,0,0
9008000,8890000,0,0,0.0,0.0075268387,1.0,1.0,0.0001150989,-0.0072776913,1.0000632,1.0000632,5.2987675e-10,2.1184578e-06,3,1,0,0
9408000,9290000,0,0,0.0,0.0075268387,1.0,1.0,0.0008609863,-0.00669221,1.000148,1.000148,2.9647506e-08,1.7911618e-06,3,1,0,0
9808000,9690000,0,0,0.0,0.0075268387,1.0,1.0,0.00092844176,-0.006755631,1.0001361,1.0001361,3.4475473e-08,1.8252936e-06,3,1,0,0
10208000,10090000,0,0,0.0,0.015053677,1.0,1.0,0.00044575616,-0.014642583,1.0001254,1.0001254,7.946945e-09,8.575134e-06,3,1,0,0
10608000,10490000,0,0,0.0,0.0075268387,1.0,1.0,-0.000237268,-0.0077858167,1.0001159,1.0001159,2.2515834e-09,2.4244766e-06,3,1,0,0
11008000,10890000,0,0,0.0,0.0075268387,1.0,1.0,-0.00010900482,-0.008120871,1.0001072,1.0001072,4.752311e-10,2.637659e-06,3,1,0,0
