timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
3408000,3289167,0,0,0.0,0.0,0.02,0.09,0.09,0.20250002,0.0024845034,0.0022121726,-0.047088493,0.13232005,0.13225448,0.2053005,1.8660082e-06,1.4800883e-06,0.00043201572,0,1,0,0
3808000,3689496,0,0,0.0,0.0,-0.02,0.09,0.09,0.20250002,3.6248384e-05,0.0015204675,0.012618538,0.09475164,0.09475205,0.2040036,5.546903e-10,9.759457e-07,3.122053e-05,0,1,0,0
4208000,4089695,0,0,0.0,0.01,0.01,0.09,0.09,0.20250002,0.0010850045,-0.0061612856,-0.02179853,0.11151658,0.111515306,0.20701154,4.222636e-07,1.36165845e-05,9.181633e-05,0,1,0,0
4608000,4489816,0,0,0.02,0.01,-0.04,0.09,0.09,0.20250002,-0.018033244,-0.008781688,0.0278138,0.1022642,0.10226518,0.2098782,0.0001271991,3.0163952e-05,0.00014743932,0,1,0,0
5008000,4889889,0,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,0.0018207962,-0.0007044537,-0.0007991027,0.0951666,0.095167674,0.21131268,1.3934716e-06,2.0858133e-07,1.2087588e-07,0,1,0,0
5408000,5289933,0,0,-0.01,0.01,0.03,0.09,0.09,0.20250002,0.00709831,-0.009774095,-0.039045252,0.09285934,0.09286005,0.21148658,2.1704227e-05,4.115136e-05,0.0002883458,0,1,0,0
5808000,5689960,0,0,0.0,0.01,-0.02,0.09,0.09,0.20250002,-0.001678539,-0.009859072,0.011144098,0.091943,0.091943435,0.21104869,1.2257564e-06,4.2287433e-05,2.353787e-05,0,1,0,0
6208000,6089976,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0002197684,0.00010355306,-0.007550068,0.09149094,0.0914912,0.21042609,2.1116037e-08,4.688204e-09,1.0835829e-05,0,1,0,0
6608000,6489986,0,0,-0.01,-0.01,-0.01,0.09,0.09,0.20250002,0.009429204,0.006617816,0.004887139,0.09122791,0.09122804,0.20979741,3.8983635e-05,1.9202645e-05,4.5537504e-06,0,1,0,0
7008000,6889991,0,0,-0.01,-0.01,-0.01,0.09,0.09,0.20250002,0.005565468,0.008191948,0.0068227146,0.09105653,0.09105664,0.20922911,1.3606683e-05,2.9479681e-05,8.899227e-06,0,1,0,0
