timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
3096000,3071000,0,0,0.011738754,-0.21862462,0.43377897,0.0,0.0,0.0,-0.011738754,0.21862462,-0.43377897,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3224000,3141474,0,0,0.008519081,-0.21514972,0.42938918,0.0,0.0,0.0,-0.008519081,0.21514972,-0.42938918,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3296000,3214950,0,0,0.0027137452,-0.21149588,0.42485708,0.0,0.0,0.0,0.008852759,-0.0068249404,0.008456916,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3368000,3286378,0,0,0.010215499,-0.21695213,0.42849964,0.0,0.0,0.0,0.0015023788,-0.0014377832,0.0047754943,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3440000,3359124,0,0,0.0068642152,-0.21714018,0.42641777,0.0,0.0,0.0,0.004524951,-0.00075666606,0.007114351,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3512000,3431262,0,0,0.009524569,-0.2153887,0.42825085,0.0,0.0,0.0,0.00046467036,-0.0021277517,0.0032670498,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3584000,3503269,0,0,0.0072510135,-0.21221271,0.43433037,0.0,0.0,0.0,0.0028533223,-0.0053604245,-0.0028437674,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3656000,3575378,0,0,0.0105542205,-0.21638994,0.4278632,0.0,0.0,0.0,-0.0006491877,-0.0012472123,0.0035957992,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3728000,3647390,0,0,0.0091030365,-0.21295635,0.4362645,0.0,0.0,0.0,0.0010608518,-0.004717529,-0.004830092,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3800000,3718753,0,0,0.009402629,-0.21744989,0.4297937,0.0,0.0,0.0,0.0008719079,-0.00022616982,0.0016370118,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3872000,3791491,0,0,0.013768298,-0.21510878,0.42906365,0.0,0.0,0.0,-0.0036996277,-0.002647385,0.002331525,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3944000,3862112,0,0,0.012391784,-0.21607064,0.4295886,0.0,0.0,0.0,-0.001922504,-0.001738891,0.0017700493,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4016000,3935575,0,0,0.012004624,-0.20963396,0.42926964,0.0,0.0,0.0,-0.001600082,-0.008114919,0.0021211803,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4088000,4006183,0,0,0.012130593,-0.2163999,0.4289341,0.0,0.0,0.0,-0.00159615,-0.0013400465,0.002458036,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4160000,4079646,0,0,0.009440147,-0.21114962,0.42707536,0.0,0.0,0.0,0.0013034632,-0.006614968,0.004299253,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4232000,4150243,0,0,0.009405896,-0.21710737,0.42862043,0.0,0.0,0.0,0.0009089038,-0.00055877864,0.002814293,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4304000,4223704,0,0,0.011842655,-0.22168736,0.42954606,0.0,0.0,0.0,-0.001602279,0.004006788,0.0018832088,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4376000,4295020,0,0,0.010496135,-0.21601486,0.42918757,0.0,0.0,0.0,-9.461772e-05,-0.0016455352,0.002248019,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4448000,4367753,0,0,0.0115292715,-0.21229427,0.43061873,0.0,0.0,0.0,-0.0013305442,-0.005290523,0.0008598268,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4520000,4439426,0,0,0.00951471,-0.21667302,0.42743295,0.0,0.0,0.0,0.00077148713,-0.0009264201,0.004036069,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4592000,4511794,0,0,0.009593707,-0.21537589,0.42354137,0.0,0.0,0.0,0.0006445609,-0.0022320747,0.007924557,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4664000,4583461,0,0,0.011200298,-0.21657638,0.43113324,0.0,0.0,0.0,-0.0011214726,-0.0009274334,0.0003889203,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4736000,4655828,0,0,0.017634215,-0.21182914,0.42742392,0.0,0.0,0.0,-0.007471362,-0.005648032,0.0041097105,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4808000,4726399,0,0,0.01016707,-0.21609513,0.42932573,0.0,0.0,0.0,0.00051078945,-0.0014009625,0.002185911,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4880000,4799857,0,0,0.0014270293,-0.21375047,0.44027957,0.0,0.0,0.0,0.009191479,-0.0035028607,-0.008644193,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4952000,4870423,0,0,0.0081674885,-0.21672525,0.42640454,0.0,0.0,0.0,0.0018296558,-0.00045251846,0.005283773,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
5024000,4943881,0,0,0.0101843355,-0.21177225,0.4302635,0.0,0.0,0.0,-0.00029918086,-0.0053633302,0.0014486015,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
5096000,5015171,0,0,0.011170092,-0.21734884,0.42967686,0.0,0.0,0.0,-0.0012496216,0.00035269558,0.0021044612,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
5168000,5087900,0,0,0.008684722,-0.21455692,0.4293879,0.0,0.0,0.0,0.0012975363,-0.0023946017,0.0024144351,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
5240000,5158460,0,0,0.010674906,-0.21631621,0.42829007,0.0,0.0,0.0,-0.0007836865,-0.000623405,0.0035203695,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
5312000,5231917,0,0,0.014808082,-0.21133718,0.4310706,0.0,0.0,0.0,-0.00485053,-0.005544603,0.0007673204,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
5384000,5302838,0,0,0.011376785,-0.21561755,0.42923963,0.0,0.0,0.0,-0.0010651816,-0.0012324452,0.002605915,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
5456000,5375931,0,0,0.01116129,-0.21576543,0.43019813,0.0,0.0,0.0,-0.0007722005,-0.0010427386,0.0016666651,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
