timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3672000,3672000,0.99988323,-0.009866492,-0.011677819,1.8166511e-05,1.0,0.0,0.0,0.0,0
4168000,4168000,0.9998832,-0.010249516,-0.011348528,-1.00165635e-05,1.0,0.0,0.0,0.0,0
4672000,4672000,0.99988705,-0.010105051,-0.011133533,0.00013565538,1.0,0.0,0.0,0.0,0
5172000,5172000,0.99989796,-0.009436176,-0.010733072,-1.5612328e-05,1.0,0.0,0.0,0.0,0
5668000,5668000,0.9999023,-0.009149407,-0.010569936,5.170937e-05,1.0,0.0,0.0,0.0,0
6172000,6172000,0.9999036,-0.009192522,-0.010411635,2.6687976e-05,1.0,0.0,0.0,0.0,0
6668000,6668000,0.9999064,-0.008871788,-0.010420099,6.2761574e-05,1.0,0.0,0.0,0.0,0
7172000,7172000,0.9999066,-0.008746473,-0.01050436,-5.477054e-05,1.0,0.0,0.0,0.0,0
7672000,7672000,0.9999053,-0.00891988,-0.010480887,-0.00017506073,1.0,0.0,0.0,0.0,0
8172000,8172000,0.9999065,-0.00893725,-0.010349848,-0.00026330096,1.0,0.0,0.0,0.0,0
8672000,8672000,0.9999085,-0.00879569,-0.010269704,-0.00026539125,1.0,0.0,0.0,0.0,0
9172000,9172000,0.99990946,-0.008817952,-0.0101613635,-0.00027489744,1.0,0.0,0.0,0.0,0
9672000,9672000,0.9999116,-0.00877865,-0.009991467,-0.00017992024,1.0,0.0,0.0,0.0,0
10172000,10172000,0.99991244,-0.008816185,-0.00986038,-0.00025980896,1.0,0.0,0.0,0.0,0
10672000,10672000,0.9999141,-0.008786842,-0.009730487,-0.0002925869,1.0,0.0,0.0,0.0,0
11168000,11168000,0.9999158,-0.008643467,-0.009685337,-0.00027432328,1.0,0.0,0.0,0.0,0
11672000,11672000,0.9999175,-0.008486545,-0.00964096,-0.0002320371,1.0,0.0,0.0,0.0,0
12172000,12172000,0.99992037,-0.008293605,-0.0095120575,-0.0002747679,1.0,0.0,0.0,0.0,0
12672000,12672000,0.9999196,-0.008232308,-0.009643413,-0.00024206616,1.0,0.0,0.0,0.0,0
13172000,13172000,0.99992025,-0.008190387,-0.009619933,-0.00023344916,1.0,0.0,0.0,0.0,0
13672000,13672000,0.99992025,-0.008279631,-0.009541266,-0.00020683937,1.0,0.0,0.0,0.0,0
14172000,14172000,0.99992114,-0.008324634,-0.009408858,-0.00016624483,1.0,0.0,0.0,0.0,0
14672000,14672000,0.9999236,-0.008263493,-0.009196712,-0.00021894366,1.0,0.0,0.0,0.0,0
15172000,15172000,0.99992496,-0.008190242,-0.009108842,-0.00017635452,1.0,0.0,0.0,0.0,0
15668000,15668000,0.9999278,-0.008099934,-0.008871935,-0.00016345423,1.0,0.0,0.0,0.0,0
16172000,16172000,0.99992937,-0.008141826,-0.008658027,-0.00012583446,1.0,0.0,0.0,0.0,0
16668000,16668000,0.9999293,-0.008173499,-0.008634091,-0.000109173954,1.0,0.0,0.0,0.0,0
17172000,17172000,0.9999297,-0.008222928,-0.008538292,-2.6028167e-05,1.0,0.0,0.0,0.0,0
17668000,17668000,0.99955624,0.02118722,0.020810962,0.0023149922,1.0,0.0,0.0,0.0,0
18172000,18172000,0.9999033,-0.009721911,-0.0096568,0.0023781902,1.0,0.0,0.0,0.0,0
18672000,18672000,0.99968654,-0.018732911,-0.01650421,0.0018862407,1.0,0.0,0.0,0.0,0
19172000,19172000,0.9996904,-0.018293506,-0.016794194,0.0015303853,1.0,0.0,0.0,0.0,0
19672000,19672000,0.9997823,-0.015074237,-0.014357674,0.0014525325,1.0,0.0,0.0,0.0,0
20168000,20168000,0.99987143,-0.010465042,-0.012058353,0.0015278348,1.0,0.0,0.0,0.0,0
20672000,20672000,0.9999092,-0.009110324,-0.009820206,0.0014670854,1.0,0.0,0.0,0.0,0
21172000,21172000,0.9999137,-0.008654,-0.009765523,0.0015567391,1.0,0.0,0.0,0.0,0
21672000,21672000,0.999932,-0.008615592,-0.007716762,0.0015284581,1.0,0.0,0.0,0.0,0
22172000,22172000,0.9999262,-0.00942199,-0.0074787233,0.0017431111,1.0,0.0,0.0,0.0,0
22672000,22672000,0.9999338,-0.0087464405,-0.007372833,0.0013434723,1.0,0.0,0.0,0.0,0
23172000,23172000,0.9999456,-0.008309946,-0.0061456966,0.0014462693,1.0,0.0,0.0,0.0,0
23672000,23672000,0.9999506,-0.00741541,-0.006508756,0.0012119816,1.0,0.0,0.0,0.0,0
24172000,24172000,0.99994826,-0.007442517,-0.00692545,0.00057243084,1.0,0.0,0.0,0.0,0
24672000,24672000,0.9999188,-0.008795949,-0.009205958,0.00050270784,1.0,0.0,0.0,0.0,0
25172000,25172000,0.9999044,-0.009403623,-0.010085157,0.001040801,1.0,0.0,0.0,0.0,0
25672000,25672000,0.9999073,-0.0092134,-0.009953284,0.0012317523,1.0,0.0,0.0,0.0,0
26172000,26172000,0.99990106,-0.009820761,-0.009995968,0.0012753851,1.0,0.0,0.0,0.0,0
26672000,26672000,0.99990827,-0.009137806,-0.009914673,0.0013239607,1.0,0.0,0.0,0.0,0
27172000,27172000,0.9999181,-0.009576709,-0.008370996,0.0014638053,1.0,0.0,0.0,0.0,0
27672000,27672000,0.9999221,-0.009610989,-0.007836315,0.0014868036,1.0,0.0,0.0,0.0,0
28168000,28168000,0.99993366,-0.0089471545,-0.0071281865,0.0014101567,1.0,0.0,0.0,0.0,0
28672000,28672000,0.9999208,-0.009265273,-0.008385148,0.0015229278,1.0,0.0,0.0,0.0,0
29172000,29172000,0.99992037,-0.008888181,-0.008779608,0.0018301323,1.0,0.0,0.0,0.0,0
29672000,29672000,0.9998996,-0.010086738,-0.009734244,0.002077212,1.0,0.0,0.0,0.0,0
30172000,30172000,0.9998919,-0.009844071,-0.010686324,0.0022983945,1.0,0.0,0.0,0.0,0
30672000,30672000,0.9999257,-0.008355963,-0.008517154,0.002550509,1.0,0.0,0.0,0.0,0
31168000,31168000,0.99992496,-0.008490361,-0.008425668,0.0026727037,1.0,0.0,0.0,0.0,0
31672000,31672000,0.9999329,-0.007820835,-0.008106267,0.0027154125,1.0,0.0,0.0,0.0,0
32172000,32172000,0.9999364,-0.007976523,-0.007550963,0.0025705385,1.0,0.0,0.0,0.0,0
32672000,32672000,0.9999346,-0.0077201477,-0.008034806,0.0025731877,1.0,0.0,0.0,0.0,0
33168000,33168000,0.9999333,-0.007965791,-0.00797642,0.0025254146,1.0,0.0,0.0,0.0,0
33672000,33672000,0.9999431,-0.006552071,-0.008036505,0.0025238416,1.0,0.0,0.0,0.0,0
34172000,34172000,0.999935,-0.00790137,-0.007888018,0.0023423648,1.0,0.0,0.0,0.0,0
34672000,34672000,0.9999183,-0.009657812,-0.007990824,0.00253925,1.0,0.0,0.0,0.0,0
35172000,35172000,0.9999095,-0.010427792,-0.008080222,0.0026537154,1.0,0.0,0.0,0.0,0
35672000,35672000,0.99991095,-0.011057768,-0.0070755617,0.0024361438,1.0,0.0,0.0,0.0,0
36168000,36168000,0.9999216,-0.009195925,-0.008201399,0.0022564724,1.0,0.0,0.0,0.0,0
36672000,36672000,0.9999227,-0.009200452,-0.008060504,0.0022546852,1.0,0.0,0.0,0.0,0
37172000,37172000,0.99992293,-0.009229951,-0.00800334,0.0022245694,1.0,0.0,0.0,0.0,0
37668000,37668000,0.9999251,-0.009072324,-0.007899093,0.002283332,1.0,0.0,0.0,0.0,0
38172000,38172000,0.99992657,-0.008905093,-0.007861977,0.0024068246,1.0,0.0,0.0,0.0,0
38672000,38672000,0.99992824,-0.008825618,-0.007711179,0.0024941764,1.0,0.0,0.0,0.0,0
39172000,39172000,0.9999289,-0.00879687,-0.0076820874,0.0024583316,1.0,0.0,0.0,0.0,0
39672000,39672000,0.9999302,-0.008673056,-0.007630698,0.002470385,1.0,0.0,0.0,0.0,0
40168000,40168000,0.99993056,-0.008547978,-0.0076850755,0.0025872185,1.0,0.0,0.0,0.0,0
40672000,40672000,0.99993247,-0.008379924,-0.007596273,0.0026895474,1.0,0.0,0.0,0.0,0
41172000,41172000,0.99993294,-0.008320015,-0.0075878487,0.0027228068,1.0,0.0,0.0,0.0,0
41672000,41672000,0.99992657,-0.007712427,-0.0089156255,0.0028219563,1.0,0.0,0.0,0.0,0
42172000,42172000,0.99992585,-0.0076256613,-0.009077067,0.0028106263,1.0,0.0,0.0,0.0,0
42672000,42672000,0.99992824,-0.0073724235,-0.008962875,0.0029658866,1.0,0.0,0.0,0.0,0
43172000,43172000,0.999929,-0.0073073446,-0.008939468,0.0029660335,1.0,0.0,0.0,0.0,0
43672000,43672000,0.9999296,-0.0071833744,-0.008926472,0.0030943158,1.0,0.0,0.0,0.0,0
44172000,44172000,0.99993145,-0.007025966,-0.00882977,0.003122564,1.0,0.0,0.0,0.0,0
