timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
3408000,3289167,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
3808000,3689496,0.0,0.0006988526,0.0,0,0,0,0,0,0,0,0,0,0,0
4208000,4089695,0.0007526839,0.00033007818,0.00040000002,1,0,0,0,0,0,0,0,0,0,0
4608000,4489816,3.0107389e-05,0.00021616704,0.0011201143,1,0,0,0,0,0,0,0,0,0,0
5008000,4889889,2.8903092e-05,0.00020752035,0.0010753098,1,0,0,0,0,0,0,0,0,0,0
5408000,5289933,2.7746968e-05,0.0006997079,0.0011721097,1,0,0,0,0,0,0,0,0,0,0
5808000,5689960,2.6637088e-05,7.052324e-05,0.0015126925,1,0,0,0,0,0,0,0,0,0,0
6208000,6089976,2.5571604e-05,0.00056819065,0.0014521847,1,0,0,0,0,0,0,0,0,0,0
6608000,6489986,2.4548739e-05,0.0005531699,0.0009671376,1,0,0,0,0,0,0,0,0,0,0
7008000,6889991,2.3566789e-05,0.00063175114,0.0007220783,1,0,0,0,0,0,0,0,0,0,0
7408000,7289995,2.2624117e-05,8.336501e-06,0.00050834497,1,0,0,0,0,0,0,0,0,0,0
7808000,7689997,2.1719152e-05,0.00019341298,0.00058183697,1,0,0,0,0,0,0,0,0,0,0
8208000,8089999,2.0850386e-05,8.4968444e-05,0.001204957,1,0,0,0,0,0,0,0,0,0,0
8608000,8489999,2.001637e-05,8.1569706e-05,0.00051899866,1,0,0,0,0,0,0,0,0,0,0
9008000,8890000,1.9215715e-05,0.00022076539,0.0004982387,1,0,0,0,0,0,0,0,0,0,0
9408000,9290000,1.8447086e-05,0.00028855357,0.0004619238,1,0,0,0,0,0,0,0,0,0,0
9808000,9690000,1.7709202e-05,0.00117728,0.00056349457,1,0,0,0,0,0,0,0,0,0,0
10208000,10090000,0.00076968473,0.001227845,0.0004973535,1,0,0,0,0,0,0,0,0,0,0
10608000,10490000,1.3786601e-05,0.00068129454,0.0004774593,1,0,0,0,0,0,0,0,0,0,0
11008000,10890000,1.3235137e-05,0.0005533347,0.0007588978,1,0,0,0,0,0,0,0,0,0,0
11408000,11290000,1.2705731e-05,0.0010709716,0.0010870635,1,0,0,0,0,0,0,0,0,0,0
11808000,11690000,0.0011120163,0.0007260087,0.0010435809,1,0,0,0,0,0,0,0,0,0,0
12208000,12090000,4.5993544e-05,0.00020330033,0.0010018377,1,0,0,0,0,0,0,0,0,0,0
12608000,12490000,4.41538e-05,6.2477193e-06,0.0004996039,1,0,0,0,0,0,0,0,0,0,0
13008000,12890000,4.2387648e-05,0.00020436208,0.000878407,1,0,0,0,0,0,0,0,0,0,0
13408000,13290000,4.0692143e-05,0.00059596787,0.00036138904,1,0,0,0,0,0,0,0,0,0,0
13808000,13690000,0.00074369845,0.00067283714,0.0007452528,1,0,0,0,0,0,0,0,0,0,0
14208000,14090000,0.0007931685,0.0008473397,0.00031720792,1,0,0,0,0,0,0,0,0,0,0
14608000,14490000,3.5714198e-05,0.00031295774,0.00037045463,1,0,0,0,0,0,0,0,0,0,0
15008000,14890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
15408000,15290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
15808000,15690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
16208000,16090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
16608000,16490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
17008000,16886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
17408000,17290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
17808000,17690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
18208000,18090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
18608000,18490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
19008000,18890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
19408000,19290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
19808000,19690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
20208000,20090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
20608000,20490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21008000,20890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21408000,21290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21808000,21690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
22208000,22090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
22608000,22490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
23008000,22890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
23408000,23290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
23808000,23690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
24208000,24086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
24608000,24490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
25008000,24890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
25408000,25290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
25808000,25690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
26208000,26090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
26608000,26490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
27008000,26890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
27408000,27290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
27808000,27690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
28208000,28090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
28608000,28490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
29008000,28890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
29408000,29290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
29808000,29690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
30208000,30090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
30608000,30490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
31008000,30890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
31408000,31290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
31808000,31690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
32208000,32090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
32608000,32490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
33008000,32890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
33408000,33290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
33808000,33690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
34208000,34090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
34608000,34490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
35008000,34886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
35408000,35290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
35808000,35690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
36208000,36090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
36608000,36490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
37008000,36890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
37408000,37290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
37808000,37690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
38208000,38090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
38608000,38490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
39008000,38890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
39408000,39290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
39808000,39690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
40208000,40090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
40608000,40490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
41008000,40890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
41408000,41290000,0.0007526839,0.00030212404,0.00040000002,1,0,0,0,0,0,0,0,0,0,1
41808000,41690000,0.0007225765,0.00148938,0.00055448717,1,0,0,0,0,0,0,0,0,0,1
42208000,42090000,0.00069367344,0.0007279005,0.0008592226,1,0,0,0,0,0,0,0,0,0,1
42608000,42490000,8.675741e-05,0.00020148419,0.0010655025,1,0,0,0,0,0,0,0,0,0,1
43008000,42890000,0.0006693968,0.0012073321,0.0013403745,1,0,0,0,0,0,0,0,0,0,1
43408000,43290000,0.000110063,0.00025877025,0.00097048806,1,0,0,0,0,0,0,0,0,0,1
43808000,43690000,0.00010566048,5.065286e-05,0.0012451023,1,0,0,0,0,0,0,0,0,0,1
44208000,44090000,0.00010143406,4.8626745e-05,0.0011952982,1,0,0,0,0,0,0,0,0,0,1
