timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3428000,3428000,0.69035715,0.0013163652,-0.015478384,0.723302,1.0,0.0,0.0,0.0,0
3432000,3432000,0.69035804,0.0013214098,-0.015466714,0.72330135,1.0,0.0,0.0,0.0,0
3440000,3440000,0.6903558,0.0013234182,-0.015430006,0.72330433,1.0,0.0,0.0,0.0,0
3444000,3444000,0.68827516,0.0013675039,-0.0154081825,0.7252849,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3448000,3448000,0.68826324,0.0013702714,-0.015391255,0.7252965,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3452000,3452000,0.6882505,0.0013731308,-0.015374492,0.72530895,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3456000,3456000,0.68823546,0.0013763077,-0.015357347,0.72532356,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3460000,3460000,0.68821955,0.0013803621,-0.015341841,0.72533894,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3464000,3464000,0.68820435,0.0013872558,-0.015333417,0.72535354,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3468000,3468000,0.6881898,0.0013954976,-0.015329243,0.7253674,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3472000,3472000,0.6881769,0.0014003346,-0.015323272,0.7253798,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3476000,3476000,0.68816423,0.0014055915,-0.015315534,0.7253919,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3480000,3480000,0.68815166,0.0014122748,-0.015304744,0.7254041,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3484000,3484000,0.6881398,0.0014167721,-0.015293373,0.7254155,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3488000,3488000,0.68812567,0.0014209338,-0.015285406,0.7254292,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3492000,3492000,0.6881099,0.0014254781,-0.015276399,0.7254443,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3496000,3496000,0.6880969,0.0014273351,-0.015263318,0.7254569,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
3500000,3500000,0.6880858,0.0014296798,-0.0152506875,0.7254677,0.999996,-9.313226e-10,-2.8521754e-09,0.0028536618,1
