timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3364000,3364000,1310988,1310988,-2.1305152e-06,-1.4913709e-05,-8.522113e-06,-0.0008092403,0.0008762786,-0.03960489,4000,4000,0,0,0,1
3864000,3864000,1310988,1310988,-6.3915745e-06,-1.8109504e-05,1.0652718e-06,-0.0008571242,0.0007613569,-0.03975812,4000,4000,0,0,0,1
4364000,4364000,1310988,1310988,-8.522125e-06,-2.9827406e-05,-6.391581e-06,-0.0007900867,0.0007565685,-0.039724596,4000,4000,0,0,0,1
4864000,4864000,1310988,1310988,-1.0652828e-06,-2.0240022e-05,1.0652641e-06,-0.0008810663,0.0007182613,-0.03969108,4000,4000,0,0,0,1
5364000,5364000,1310988,1310988,-1.2783176e-05,-3.0892676e-05,7.456841e-06,-0.00083797064,0.00086191343,-0.03963362,4000,4000,0,0,0,1
5864000,5864000,1310988,1310988,-1.0652566e-06,-2.982741e-05,-7.456847e-06,-0.00061770406,0.0008475482,-0.039782066,4000,4000,0,0,0,1
6364000,6364000,1310988,1310988,-2.1305218e-06,-1.3848439e-05,-1.0652634e-06,-0.00092416187,0.0007422033,-0.039700653,4000,4000,0,0,0,1
6864000,6864000,1310988,1310988,-5.32633e-06,-1.917476e-05,3.195786e-06,-0.0008044519,0.0008906438,-0.039724596,4000,4000,0,0,0,1
7364000,7364000,1310988,1310988,-3.1957925e-06,-1.3848443e-05,-6.391578e-06,-0.00077093294,0.00072783814,-0.039681505,4000,4000,0,0,0,1
7864000,7864000,1310988,1310988,6.391572e-06,-2.3435827e-05,-2.1305168e-06,-0.00080445193,0.0006512236,-0.039829947,4000,4000,0,0,0,1
8364000,8364000,1310988,1310988,-2.1305186e-06,-1.9174762e-05,-1.4913702e-05,-0.00080924033,0.00081402936,-0.03969108,4000,4000,0,0,0,1
8864000,8864000,1310988,1310988,2.130535e-06,-1.3848437e-05,-4.26106e-06,-0.00080445193,0.0007996642,-0.03980121,4000,4000,0,0,0,1
9364000,9364000,1310988,1310988,-4.261048e-06,-2.8762144e-05,-1.0652589e-06,-0.0007852982,0.0007038961,-0.039628834,4000,4000,0,0,0,1
9864000,9864000,1310988,1310988,3.195797e-06,-1.0652645e-05,-1.065257e-06,-0.0008044519,0.0006655888,-0.039796427,4000,4000,0,0,0,1
10364000,10364000,1310988,1310988,4.261062e-06,-2.556635e-05,-2.130525e-06,-0.00086191273,0.00078051054,-0.039528277,4000,4000,0,0,0,1
10864000,10864000,1310988,1310988,1.0652353e-06,-2.982741e-05,5.326315e-06,-0.00073741423,0.0007517801,-0.039724596,4000,4000,0,0,0,1
11364000,11364000,1310988,1310988,1.0652654e-05,-3.0892672e-05,-2.1304993e-06,-0.00064643443,0.00059855124,-0.039628834,4000,4000,0,0,0,1
11864000,11864000,1310988,1310988,2.1305354e-06,-2.0240024e-05,-9.587378e-06,-0.00084275904,0.0008427598,-0.039772477,4000,4000,0,0,0,1
12364000,12364000,1310988,1310988,-1.1717921e-05,-3.3023203e-05,1.2783163e-05,-0.00073262583,0.00067995413,-0.03969108,4000,4000,0,0,0,1
12864000,12864000,1310988,1310988,-3.1957925e-06,-2.343582e-05,-4.2610686e-06,-0.00073741423,0.0007182613,-0.03967672,4000,4000,0,0,0,1
