timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3708000,3708000,0.6855522,0.001702525,-0.015172036,0.7278635,0.99999595,0.0,9.895302e-10,-0.0028691888,1
4208000,4208000,0.6865475,0.0016758374,-0.015384113,0.7269203,0.99999595,0.0,9.895302e-10,-0.0028691888,1
4708000,4708000,0.685973,0.0011179049,-0.014732392,0.727477,0.99999595,0.0,9.895302e-10,-0.0028691888,1
5208000,5208000,0.68652976,0.0014593097,-0.014034703,0.7269649,0.99999595,0.0,9.895302e-10,-0.0028691888,1
5708000,5708000,0.6876766,0.0013951211,-0.013846146,0.7258837,0.99999595,0.0,9.895302e-10,-0.0028691888,1
6208000,6208000,0.6878786,0.0012864864,-0.0138578415,0.7256924,0.99999595,0.0,9.895302e-10,-0.0028691888,1
6708000,6708000,0.6889279,0.0014991562,-0.013684292,0.72469926,0.99999595,0.0,9.895302e-10,-0.0028691888,1
7208000,7208000,0.68945163,0.0016014923,-0.013695713,0.72420055,0.99999595,0.0,9.895302e-10,-0.0028691888,1
7708000,7708000,0.6910714,0.0014071523,-0.013863366,0.7226522,0.99999595,0.0,9.895302e-10,-0.0028691888,1
8208000,8208000,0.6916226,0.0012788026,-0.013773143,0.7221266,0.99999595,0.0,9.895302e-10,-0.0028691888,1
8708000,8708000,0.69130486,0.0013393424,-0.013626104,0.7224335,0.99999595,0.0,9.895302e-10,-0.0028691888,1
9208000,9208000,0.6908862,0.001304641,-0.0135279205,0.72283584,0.99999595,0.0,9.895302e-10,-0.0028691888,1
9708000,9708000,0.690198,0.0012883288,-0.013355673,0.7234962,0.99999595,0.0,9.895302e-10,-0.0028691888,1
10208000,10208000,0.6896177,0.0013795511,-0.013302966,0.72405016,0.99999595,0.0,9.895302e-10,-0.0028691888,1
10708000,10708000,0.6894492,0.001329106,-0.013269091,0.7242113,0.99999595,0.0,9.895302e-10,-0.0028691888,1
11208000,11208000,0.6889321,0.0012538716,-0.013110023,0.7247063,0.99999595,0.0,9.895302e-10,-0.0028691888,1
11708000,11708000,0.689163,0.0012248297,-0.013069548,0.7244874,0.99999595,0.0,9.895302e-10,-0.0028691888,1
12208000,12208000,0.6889765,0.0012162322,-0.012868137,0.72466844,0.99999595,0.0,9.895302e-10,-0.0028691888,1
12708000,12708000,0.6890592,0.0013111545,-0.012890715,0.7245892,0.99999595,0.0,9.895302e-10,-0.0028691888,1
13208000,13208000,0.6886625,0.0013258173,-0.0128176045,0.7249676,0.99999595,0.0,9.895302e-10,-0.0028691888,1
13708000,13708000,0.68922687,0.0014049091,-0.012678061,0.7244333,0.99999595,0.0,9.895302e-10,-0.0028691888,1
14208000,14208000,0.68915105,0.0013540502,-0.01260488,0.7245068,0.99999595,0.0,9.895302e-10,-0.0028691888,1
14708000,14708000,0.6893892,0.0010750924,-0.012504481,0.72428244,0.99999595,0.0,9.895302e-10,-0.0028691888,1
15208000,15208000,0.68971944,0.0009609822,-0.012442339,0.72396916,0.99999595,0.0,9.895302e-10,-0.0028691888,1
15708000,15708000,0.6902172,0.0008435898,-0.012154134,0.7234997,0.99999595,0.0,9.895302e-10,-0.0028691888,1
16208000,16208000,0.69050765,0.00065885845,-0.012066433,0.72322416,0.99999595,0.0,9.895302e-10,-0.0028691888,1
16708000,16708000,0.6907167,0.0006227856,-0.0120381685,0.7230251,0.99999595,0.0,9.895302e-10,-0.0028691888,1
17208000,17208000,0.6907456,0.0005576692,-0.012010431,0.72299796,0.99999595,0.0,9.895302e-10,-0.0028691888,1
17708000,17708000,0.69045293,0.0045150085,-0.006464575,0.7233344,0.99999595,0.0,9.895302e-10,-0.0028691888,1
18208000,18208000,0.68787706,-0.0008448754,0.007114426,0.72579193,0.99999595,0.0,9.895302e-10,-0.0028691888,1
18708000,18708000,0.6883265,-0.0015018401,-0.018918298,0.7251528,0.99999595,0.0,9.895302e-10,-0.0028691888,1
19208000,19208000,0.6892331,-0.0009204111,-0.025165819,0.72410196,0.99999595,0.0,9.895302e-10,-0.0028691888,1
19708000,19708000,0.68979585,-0.0006240264,-0.022716092,0.72364724,0.99999595,0.0,9.895302e-10,-0.0028691888,1
20208000,20208000,0.69028264,-0.015346736,-0.018497,0.72314054,0.99999595,0.0,9.895302e-10,-0.0028691888,1
20708000,20708000,0.7296163,-0.06102203,-0.012847612,0.68100756,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
21208000,21208000,0.7141906,-0.054894112,-0.011386135,0.6977026,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
21708000,21708000,0.71187586,0.0021117416,-0.008084661,0.7022556,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
22208000,22208000,0.7110904,0.063172996,-0.0067665717,0.7002242,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
22708000,22708000,0.70956737,0.07588877,-0.0082702385,0.7004903,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
23208000,23208000,0.7107197,0.052875843,-0.010719671,0.7014034,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
23708000,23708000,0.7119329,0.010077491,-0.014302546,0.70202947,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
24208000,24208000,0.7114365,-0.016901022,-0.015106068,0.70238477,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
24708000,24708000,0.7111939,-0.021364357,-0.016809894,0.7024701,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
25208000,25208000,0.7103564,-0.032207064,-0.017712848,0.7028818,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
25708000,25708000,0.73318166,-0.047936063,-0.020436106,0.6780333,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
26208000,26208000,0.8747418,-0.041677162,-0.030907203,0.48180348,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
26708000,26708000,0.95526195,0.0043079113,-0.01530156,0.29533395,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
27208000,27208000,0.954479,0.0107935965,-0.018006088,0.29753858,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
27708000,27708000,0.9540489,0.015339711,-0.017621625,0.29873887,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
28208000,28208000,0.9536927,0.016571332,-0.015695669,0.29991567,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
28708000,28708000,0.9533466,0.013097019,-0.011729728,0.30136535,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
29208000,29208000,0.95300066,0.00768721,-0.008816091,0.30274248,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
29708000,29708000,0.9526607,0.0033664594,-0.007239906,0.30393067,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
30208000,30208000,0.9520075,-0.026056197,-0.01438997,0.30462414,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
30708000,30708000,0.92018765,-0.19587919,-0.099503666,0.32401404,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
31208000,31208000,0.9883971,-0.123724096,-0.08772988,-0.008180465,0.99827194,-9.313226e-09,-7.450581e-09,-0.058763653,2
