timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
3652000,3652000,0,nan,nan,0.0015016833,0.00027162128,-0.007259687,-1.620315e-08,2.3855828e-09,0.0,0.0060913167,0.0011020717,-0.021694101,-0.016980631,-4.0507875e-06,5.963957e-07,0.00083714724,0.032086637,-0.008930568,-0.024573876,-3.2424207e-06,0.0,nan,0.10734704,0.010989957,5.773502,0.07446003,0.02298591,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
4148000,4148000,0,nan,nan,0.002188173,-0.00029242414,-0.00538342,-1.620315e-08,2.3855828e-09,0.0,0.006526694,-0.0014010704,-0.012210368,-0.0062442,-4.0507875e-06,5.963957e-07,0.00083714724,0.026635343,-0.013631462,-0.0052899118,-6.4083855e-05,0.0,nan,0.10254084,0.021409731,4.47217,0.10528591,0.058879033,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
4652000,4652000,4204000,47.3977508,8.5456073,0.0015943518,-0.0012017847,-0.0073365737,-1.620315e-08,2.3855828e-09,0.0,0.0041280817,-0.0059528113,-0.013115585,-0.007669598,-4.0507875e-06,5.963957e-07,0.00083714724,0.012553296,-0.0038780852,0.0041201706,0.00020678168,0.0,488.09766,0.10097122,0.026490355,3.7798872,0.104588225,0.08524728,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
5156000,5156000,4204000,47.3977508,8.5456073,0.00035100465,-0.0022470593,-0.010516886,-1.620315e-08,2.3855828e-09,0.0,0.0017760398,-0.005665015,-0.01213056,-0.006419156,-4.0507875e-06,5.963957e-07,0.00083714724,-0.003216075,-0.0002059969,-0.029264947,-6.7422996e-05,0.0,488.09766,0.115064844,0.015499555,1.4314176,0.06279008,0.08961822,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
5652000,5652000,4204000,47.3977508,8.5456073,-0.00017941349,8.948374e-05,1.5945901e-05,-1.620315e-08,2.3855828e-09,0.0,0.00027913228,0.0016654583,-0.010952898,0.004364561,-4.0507875e-06,5.963957e-07,0.00083714724,-0.011066279,0.009145281,-0.033342276,3.011509e-05,0.0,488.09766,0.10761251,0.018780047,0.9368539,0.063502856,0.093897335,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
6148000,6148000,4204000,47.3977508,8.5456073,-0.00036637625,0.00067392003,0.0034214791,-1.620315e-08,2.3855828e-09,0.0,-0.00015250963,0.0003455574,-0.0100631155,0.005196458,-4.0507875e-06,5.963957e-07,0.00083714724,-0.012287054,0.0020702134,0.005076639,5.580542e-06,0.0,488.09766,0.10050506,0.0123625975,0.73169386,0.044438925,0.085556336,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
6652000,6652000,4204000,47.3977508,8.5456073,-0.0018908888,0.00053581735,0.0051279142,-1.620315e-08,2.3855828e-09,0.0,-0.005234584,0.0017306699,-0.007218041,0.0058673224,-4.0507875e-06,5.963957e-07,0.00083714724,-0.0043610195,-0.0121239275,0.016110947,4.2131483e-05,0.0,488.09766,0.1,0.015244353,0.6320382,0.048643496,0.085725084,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
7156000,7156000,4204000,47.3977508,8.5456073,-0.0018571413,0.002358528,0.007623121,-1.620315e-08,2.3855828e-09,0.0,-0.0026414702,0.008299786,-0.0018742603,0.009423795,-4.0507875e-06,5.963957e-07,0.00083714724,0.023247702,0.018884398,0.02178829,-0.00020806793,0.0,488.09766,0.100479655,0.018536499,0.558722,0.052618872,0.08524039,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
7652000,7652000,4204000,47.3977508,8.5456073,-0.00019943833,0.0032737474,0.01141611,-1.620315e-08,2.3855828e-09,0.0,0.0005737937,0.0060961987,0.00026120877,0.0100148255,-4.0507875e-06,5.963957e-07,0.00083714724,0.00025139886,0.020063773,-0.009519047,-0.00044848438,0.0,488.09766,0.1,0.013265949,0.5119083,0.04197211,0.07797594,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
8148000,8148000,4204000,47.3977508,8.5456073,-9.458738e-05,0.001510099,0.008905961,-1.620315e-08,2.3855828e-09,0.0,-0.0020119844,0.002354615,-0.0016332107,0.0023716358,-4.0507875e-06,5.963957e-07,0.00083714724,-0.014685734,-0.011989977,-0.024630686,-0.00059543847,0.0,488.09766,0.1,0.015869118,0.47695476,0.045782257,0.07788296,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
