timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
3972000,3892000,0.99988437,-0.00999731,-0.011462996,-0.00013102178,0.0033692303,-0.0007638617,-0.008786902,0.0003449663,-4.280835e-05,-0.0017808988,-4.9287655e-07,-2.274494e-05,-1.7953512e-07,-1.2947917e-05,2.0585512e-05,-0.0009627703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3391453e-07,0.00053677533,0.0005369216,0.0004495836,0.011694353,0.011695075,0.0022530905,0.0003902692,0.00039028926,25.000114,2.5883864e-07,2.5897202e-07,2.8103776e-07,3.7705781e-06,3.7708576e-06,3.8023373e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
4972000,4892000,0.9998946,-0.009596268,-0.010894699,-6.4889966e-05,0.0003019396,-0.0033827424,-0.011412658,9.769592e-05,-0.0004677991,-0.017539917,-1.0122439e-05,-4.217203e-05,2.9472042e-07,-1.9699764e-05,2.6033156e-05,-0.0010152209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.154304e-08,0.00019153144,0.00019159494,0.00070557074,0.0025547657,0.0025547028,0.007896954,0.00014952206,0.0001495206,4.1112013,6.6969807e-09,6.6957457e-09,6.85537e-08,3.7580946e-06,3.7584343e-06,2.1813534e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
5972000,5892000,0.9999021,-0.00921809,-0.010525001,-0.0001302013,0.0008450063,-0.0006437894,-0.0095815435,0.000101400845,3.0939573e-05,0.0039149933,-1.2548394e-05,-4.43333e-05,4.98639e-07,-2.2828417e-05,2.8321383e-05,-0.0010561359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3595005e-08,0.0001639186,0.00016396758,0.0005090563,0.0011848357,0.001184807,0.007731181,9.313141e-05,9.313099e-05,0.61504316,9.355793e-10,9.344695e-10,1.9338563e-08,3.7531245e-06,3.7535208e-06,9.722379e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6972000,6892000,0.99990594,-0.008764425,-0.0105505055,-7.5945085e-05,-0.0012101678,0.0035777432,-0.0052646026,-0.00025956883,0.00023342333,0.0052335234,-1.2350954e-05,-4.346177e-05,6.575299e-07,-2.1861888e-05,2.8113189e-05,-0.0010734606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0361158e-08,0.00015866717,0.00015870598,0.00044983666,0.0008215891,0.0008215491,0.0076593286,6.99635e-05,6.996298e-05,0.33654413,3.0929356e-10,3.0854524e-10,9.0716545e-09,3.7517632e-06,3.752175e-06,5.794437e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
7972000,7892000,0.99990547,-0.008931245,-0.010453981,-0.00028001732,0.00039285063,0.0022547226,-0.0020666718,0.00012587021,0.0007697843,0.0056038243,-1.0345408e-05,-4.343444e-05,4.852751e-07,-2.1984777e-05,2.5179876e-05,-0.0010781297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.910289e-08,0.00015783428,0.00015788378,0.0003439348,0.0011643616,0.0011643507,0.006339064,0.00014801086,0.00014800898,0.23955637,1.660763e-10,1.6589992e-10,4.326191e-09,3.7514585e-06,3.7518691e-06,5.000026e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8972000,8892000,0.99990875,-0.008772401,-0.01027355,-0.000392214,0.002002311,0.0028824739,-0.000911586,0.00023074372,0.00042883627,-0.0026991125,-9.831958e-06,-4.325989e-05,1.6179595e-08,-2.1688245e-05,2.3815683e-05,-0.0010804491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7170803e-08,0.00015649546,0.00015654635,0.0002776444,0.00095444015,0.0009545226,0.0056342063,0.00011688395,0.00011688783,0.67174506,9.389007e-11,9.378258e-11,2.396738e-09,3.750988e-06,3.7513914e-06,5.000015e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
9972000,9892000,0.99991244,-0.008809335,-0.009872889,-0.0003215508,0.0018110515,0.0012519398,0.0022698417,0.00068121386,0.00045612687,0.0003673099,-9.217386e-06,-4.392312e-05,-2.6717146e-07,-2.4081797e-05,2.2553768e-05,-0.0010800045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.581701e-08,0.00015576005,0.00015581421,0.00023262156,0.00081365,0.00081366,0.005268863,9.4746414e-05,9.4747644e-05,0.17226647,6.1228e-11,6.11867e-11,1.4697507e-09,3.7506782e-06,3.7510977e-06,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
10972000,10892000,0.99991566,-0.008617319,-0.009710217,-0.0003713859,-0.00010729296,-0.0026011681,0.0076457337,-6.3007064e-05,-0.0004255873,0.0026153508,-9.245547e-06,-4.4019638e-05,-5.014258e-07,-2.4771569e-05,2.3033224e-05,-0.0010740313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.475131e-08,0.00015537575,0.00015542608,0.00020016292,0.0007071179,0.0007071151,0.0050380044,7.798784e-05,7.798765e-05,0.113016196,4.402488e-11,4.3978633e-11,9.696017e-10,3.7505147e-06,3.7509562e-06,5.000015e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
11972000,11892000,0.99991894,-0.008371158,-0.0095943995,-0.0004054915,-0.0032400847,-0.00028149775,0.012100564,-0.00046212977,-0.00041614493,0.004183694,-9.741396e-06,-4.3743723e-05,-6.545981e-07,-2.5426765e-05,2.492631e-05,-0.0010596027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3743245e-08,0.00015522349,0.00015527036,0.00018902945,0.00062016584,0.0006200629,0.004845227,6.491581e-05,6.491342e-05,0.080453634,3.395389e-11,3.3890328e-11,7.2380224e-10,3.7504376e-06,3.7508366e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
12972000,12892000,0.9999194,-0.008188873,-0.0096971495,-0.00036181894,0.0007913052,0.005019753,0.013580583,1.6389104e-05,0.0010707921,0.005145247,-9.7874445e-06,-4.3496188e-05,-8.0750164e-07,-2.5308853e-05,2.6297324e-05,-0.0010472735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3274492e-08,0.00015528614,0.00015533077,0.0001672239,0.00091525604,0.0009150441,0.0053565796,0.00013295065,0.00013293426,0.070045315,2.8687927e-11,2.8638692e-11,5.226347e-10,3.7502587e-06,3.7506118e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
