timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used,selected_rtcm_instance
3804000,0,1698223809071345,0,473977508,85456074,488111,488111,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.84648466,0,nan,nan,0.0,0.0,0,3,0,1,10,0
4604000,0,1698223809871345,0,473977508,85456074,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,-0.04,0.5337217,0,nan,nan,0.0,0.0,0,3,0,1,10,0
5804000,0,1698223811071345,0,473977508,85456074,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.02,2.0909042,0,nan,nan,0.0,0.0,0,3,0,1,10,0
6604000,0,1698223811871345,0,473977508,85456074,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,-0.01,3.7323864,0,nan,nan,0.0,0.0,0,3,0,1,10,0
7804000,0,1698223813071345,0,473977508,85456074,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.02,6.1915555,0,nan,nan,0.0,0.0,0,3,0,1,10,0
8604000,0,1698223813871345,0,473977508,85456074,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,0.049999997,3.0592132,0,nan,nan,0.0,0.0,0,3,0,1,10,0
9804000,0,1698223815071345,0,473977508,85456074,488092,488092,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.01,-0.03,2.5197318,0,nan,nan,0.0,0.0,0,3,0,1,10,0
10608000,0,1698223815871345,0,473977508,85456074,488096,488096,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,2.4808109,0,nan,nan,0.0,0.0,0,3,0,1,10,0
11804000,0,1698223817071345,0,473977507,85456074,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.5560346,0,nan,nan,0.0,0.0,0,3,0,1,10,0
12604000,0,1698223817871345,0,473977508,85456074,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.01,-0.03,2.3366466,0,nan,nan,0.0,0.0,0,3,0,1,10,0
13804000,0,1698223819071345,0,473977508,85456075,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,2.7277749,0,nan,nan,0.0,0.0,0,3,0,1,10,0
14604000,0,1698223819871345,0,473977508,85456074,488107,488107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.3831186,0,nan,nan,0.0,0.0,0,3,0,1,10,0
15804000,0,1698223821071345,0,473977508,85456073,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.9061749,0,nan,nan,0.0,0.0,0,3,0,1,10,0
16604000,0,1698223821875345,0,473977508,85456074,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,5.1710615,0,nan,nan,0.0,0.0,0,3,0,1,10,0
17804000,0,1698223823071345,0,473977508,85456074,488107,488107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,-0.01,-0.089999996,3.6737432,0,nan,nan,0.0,0.0,0,3,0,1,10,0
18604000,0,1698223823875345,0,473977498,85456061,488330,488330,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.26,-0.19,-0.17,-0.61,3.8695693,0,nan,nan,0.0,0.0,0,3,0,1,10,0
19804000,0,1698223825071345,0,473977489,85456049,489110,489110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.06,0.01,-0.71999997,0.16528267,0,nan,nan,0.0,0.0,0,3,0,1,10,0
20604000,0,1698223825875345,0,473977497,85456053,489710,489710,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.26999998,0.26999998,-0.089999996,-0.96999997,5.9362135,0,nan,nan,0.0,0.0,0,3,0,1,10,0
21804000,0,1698223827071345,0,473977564,85455985,491033,491033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.91999996,0.71999997,-0.57,-1.0699999,5.610535,0,nan,nan,0.0,0.0,0,3,0,1,10,0
22604000,0,1698223827875345,0,473977587,85455959,491839,491839,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.29,-0.21,0.22,-0.71999997,2.3251276,0,nan,nan,0.0,0.0,0,3,0,1,10,0
23804000,0,1698223829071345,0,473977494,85456084,492062,492062,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.67,-1.1999999,1.15,0.47,2.3771384,0,nan,nan,0.0,0.0,0,3,0,1,10,0
24604000,0,1698223829875345,0,473977409,85456204,491368,491368,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.4699999,-1.05,1.02,1.18,2.3710296,0,nan,nan,0.0,0.0,0,3,0,1,10,0
25804000,0,1698223831071345,0,473977332,85456329,489650,489650,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.64,-0.37,0.51,1.52,2.1978931,0,nan,nan,0.0,0.0,0,3,0,1,10,0
26600000,0,1698223831875345,0,473977324,85456363,488387,488387,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.19,0.13,0.14999999,1.4599999,0.83775806,0,nan,nan,0.0,0.0,0,3,0,1,10,0
27804000,0,1698223833071345,0,473977327,85456365,488092,488092,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.01,1.2444197,0,nan,nan,0.0,0.0,0,3,0,1,10,0
28604000,0,1698223833875345,0,473977327,85456365,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.42917645,0,nan,nan,0.0,0.0,0,3,0,1,10,0
29804000,0,1698223835071345,0,473977327,85456365,488100,488100,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,6.065019,0,nan,nan,0.0,0.0,0,3,0,1,10,0
30604000,0,1698223835875345,0,473977328,85456363,488144,488144,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,0.03,-0.07,-0.17999999,5.152386,0,nan,nan,0.0,0.0,0,3,0,1,10,0
31804000,0,1698223837071345,0,473977482,85456148,489248,489248,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.62,1.8299999,-1.86,-1.4499999,5.4892344,0,nan,nan,0.0,0.0,0,3,0,1,10,0
32604000,0,1698223837871345,0,473977564,85456000,490201,490201,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.95,0.51,-0.79999995,-0.93,5.2790976,0,nan,nan,0.0,0.0,0,3,0,1,10,0
33804000,0,1698223839075345,0,473977556,85455983,490963,490963,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.56,-0.39999998,0.35,-0.38,2.4178045,0,nan,nan,0.0,0.0,0,3,0,1,10,0
34604000,0,1698223839871345,0,473977524,85456033,491219,491219,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.64,-0.38,0.48999998,-0.21,2.2408283,0,nan,nan,0.0,0.0,0,3,0,1,10,0
35804000,0,1698223841075345,0,473977495,85456094,491356,491356,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.25,-0.11,0.24,0.0,2.003987,0,nan,nan,0.0,0.0,0,3,0,1,10,0
36604000,0,1698223841871345,0,473977493,85456107,491358,491358,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.02,0.03,0.06,0.89866996,0,nan,nan,0.0,0.0,0,3,0,1,10,0
37804000,0,1698223843075345,0,473977501,85456102,491247,491247,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.11,0.089999996,-0.06,0.12,5.658008,0,nan,nan,0.0,0.0,0,3,0,1,10,0
38604000,0,1698223843871345,0,473977507,85456095,491147,491147,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.099999994,0.089999996,-0.049999997,0.16,5.803045,0,nan,nan,0.0,0.0,0,3,0,1,10,0
39804000,0,1698223845075345,0,473977515,85456088,491001,491001,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,0.049999997,-0.01,0.099999994,5.9269633,0,nan,nan,0.0,0.0,0,3,0,1,10,0
40604000,0,1698223845871345,0,473977519,85456085,490905,490905,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,0.06,-0.01,0.089999996,5.9788,0,nan,nan,0.0,0.0,0,3,0,1,10,0
41804000,0,1698223847075345,0,473977525,85456080,490822,490822,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,0.04,-0.02,0.049999997,5.8402205,0,nan,nan,0.0,0.0,0,3,0,1,10,0
42604000,0,1698223847871345,0,473977528,85456078,490765,490765,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.03,-0.01,0.04,5.7704077,0,nan,nan,0.0,0.0,0,3,0,1,10,0
