timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3456000,3456000,0.6823805,0.0011033053,-0.016258687,0.73081553,1.0,0.0,0.0,0.0,0
3460000,3460000,0.68237907,0.001114453,-0.016223177,0.7308177,1.0,0.0,0.0,0.0,0
3468000,3468000,0.682378,0.0011439635,-0.016170511,0.7308197,1.0,0.0,0.0,0.0,0
3472000,3472000,0.68449163,0.0011093176,-0.016147796,0.72884107,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3476000,3476000,0.68451154,0.001121398,-0.016119972,0.72882295,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3484000,3484000,0.6845521,0.0011462324,-0.016057627,0.7287862,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3488000,3488000,0.6845704,0.0011572485,-0.016029565,0.7287696,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3492000,3492000,0.68458706,0.0011685716,-0.01600036,0.7287545,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3496000,3496000,0.68460655,0.0011772383,-0.01596713,0.728737,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3500000,3500000,0.68462795,0.0011863355,-0.015934264,0.7287176,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3504000,3504000,0.68464804,0.0011992366,-0.015902057,0.7286994,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3508000,3508000,0.68466514,0.0012108354,-0.015866503,0.7286841,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3512000,3512000,0.68468064,0.0012178972,-0.015830355,0.72867024,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3516000,3516000,0.68469614,0.0012262875,-0.015800573,0.72865635,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3520000,3520000,0.68471074,0.0012384807,-0.015771436,0.72864324,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3524000,3524000,0.6847285,0.0012517183,-0.015737364,0.72862726,0.99999595,0.0,9.895302e-10,-0.0028691888,1
3528000,3528000,0.68475044,0.0012651231,-0.015704792,0.7286073,0.99999595,0.0,9.895302e-10,-0.0028691888,1
