timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3392000,3392000,1310988,1310988,1.0652716e-06,-1.81095e-05,-1.0652644e-06,-0.0008954315,0.0007565685,-0.03962404,4000,4000,0,0,0,1
3892000,3892000,1310988,1310988,-1.0652633e-05,-1.7044244e-05,6.3915845e-06,-0.0008571242,0.0007374149,-0.039767694,4000,4000,0,0,0,1
4392000,4392000,1310988,1310988,-2.0240024e-05,-2.3435823e-05,-4.261048e-06,-0.00065601134,0.00086191343,-0.039719813,4000,4000,0,0,0,1
4892000,4892000,1310988,1310988,-1.0652643e-05,-2.0240026e-05,2.1305182e-06,-0.0008283939,0.00076614524,-0.03973896,4000,4000,0,0,0,1
5392000,5392000,1310988,1310988,-1.1347886e-11,-2.8762139e-05,-6.3916136e-06,-0.0011061212,0.0007996642,-0.039748542,4000,4000,0,0,0,1
5892000,5892000,1310988,1310988,-7.4568575e-06,-2.0240022e-05,1.0652537e-06,-0.0008714895,0.0007565685,-0.03980121,4000,4000,0,0,0,1
6392000,6392000,1310988,1310988,2.130533e-06,-2.2370557e-05,-7.456852e-06,-0.0008331823,0.0006655889,-0.03970545,4000,4000,0,0,0,1
6892000,6892000,1310988,1310988,-5.3263034e-06,-3.5153742e-05,8.522092e-06,-0.0008858547,0.0007996642,-0.039863463,4000,4000,0,0,0,1
7392000,7392000,1310988,1310988,-1.0652566e-06,-2.9827414e-05,-5.326297e-06,-0.0007805097,0.00058897445,-0.03991613,4000,4000,0,0,0,1
7892000,7892000,1310988,1310988,-5.326312e-06,-2.1305294e-05,-4.261055e-06,-0.00077572133,0.00069910765,-0.039719813,4000,4000,0,0,0,1
8392000,8392000,1310988,1310988,5.326332e-06,-1.9174762e-05,-6.3915745e-06,-0.0007805098,0.00060333963,-0.039671928,4000,4000,0,0,0,1
8892000,8892000,1310988,1310988,2.1305327e-06,-2.7696879e-05,-4.261051e-06,-0.0008762779,0.0006129164,-0.039762903,4000,4000,0,0,0,1
9392000,9392000,1310988,1310988,6.3915763e-06,-3.0892672e-05,1.0652909e-06,-0.00064164604,0.00081402936,-0.039715026,4000,4000,0,0,0,1
9892000,9892000,1310988,1310988,4.261061e-06,-1.0652647e-05,-2.1305148e-06,-0.00092416187,0.0006799541,-0.03977248,4000,4000,0,0,0,1
10392000,10392000,1310988,1310988,-1.3848437e-05,-1.9174762e-05,1.0652483e-06,-0.00084275904,0.00062728155,-0.03964798,4000,4000,0,0,0,1
10892000,10892000,1310988,1310988,-3.1957995e-06,-2.3435821e-05,-1.0652493e-06,-0.0007805097,0.0005458787,-0.03975812,4000,4000,0,0,0,1
11392000,11392000,1310988,1310988,-6.391586e-06,-3.8349524e-05,1.065263e-05,-0.00063685764,0.000809241,-0.039547425,4000,4000,0,0,0,1
11892000,11892000,1310988,1310988,1.0652607e-06,-1.2783176e-05,-3.1957907e-06,-0.0008188171,0.00068474247,-0.039748542,4000,4000,0,0,0,1
12392000,12392000,1310988,1310988,5.3263525e-06,-3.3023196e-05,5.3263516e-06,-0.0006847418,0.0006703773,-0.03964798,4000,4000,0,0,0,1
12892000,12892000,1310988,1310988,-6.391586e-06,-1.3848437e-05,6.3915923e-06,-0.0008283939,0.0006416468,-0.03980121,4000,4000,0,0,0,1
13392000,13392000,1310988,1310988,-8.522119e-06,-2.1305318e-06,1.9174759e-05,-0.0005410897,0.00065601204,-0.03985868,4000,4000,0,0,0,1
13892000,13892000,1310988,1310988,-1.0652651e-05,-1.8109495e-05,-5.3263307e-06,-0.00070389535,0.0007422033,-0.03973417,4000,4000,0,0,0,1
14392000,14392000,1310988,1310988,-2.1305268e-06,-1.0652644e-05,-5.326326e-06,-0.0008140287,0.0007374149,-0.039710235,4000,4000,0,0,0,1
14892000,14892000,1310988,1310988,-8.5221245e-06,-3.3023203e-05,2.1305234e-06,-0.0008331823,0.0005506671,-0.039681505,4000,4000,0,0,0,1
15392000,15392000,1310988,1310988,-5.3263193e-06,-2.2370557e-05,1.0652712e-06,-0.00066558813,0.00060812803,-0.039662346,4000,4000,0,0,0,1
