timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
3332000,0,0,1,0,0,0,0
3836000,0,0,1,0,0,0,0
4340000,0,0,1,0,0,0,0
4844000,0,0,1,0,0,0,0
5348000,0,0,1,0,0,0,0
5852000,0,0,1,0,0,0,0
6356000,0,0,1,0,0,0,0
6860000,0,0,1,0,0,0,0
7364000,0,0,1,0,0,0,0
7868000,0,0,1,0,0,0,0
8372000,0,0,1,0,0,0,0
8876000,0,0,1,0,0,0,0
9380000,0,0,1,0,0,0,0
9800000,0,0,1,0,0,0,0
10304000,0,0,1,0,0,0,0
10808000,0,0,1,0,0,0,0
11312000,0,0,1,0,0,0,0
11816000,0,0,1,0,0,0,0
12320000,0,0,1,0,0,0,0
12824000,0,0,1,0,0,0,0
13328000,0,0,1,0,0,0,0
13832000,0,0,1,0,0,0,0
14336000,0,0,1,0,0,0,0
14840000,0,0,1,0,0,0,0
15344000,0,0,1,0,0,0,0
15848000,0,0,1,0,0,0,0
16352000,0,0,1,0,0,0,0
16856000,0,0,1,0,0,0,0
17360000,0,0,1,0,0,0,0
17864000,0,0,1,0,0,0,0
18368000,0,0,1,0,0,0,0
18512000,0,0,1,0,0,0,0
18524000,1,0,1,0,0,0,0
19028000,1,0,1,0,0,0,0
19532000,1,0,1,0,0,0,0
20036000,1,0,1,0,0,0,0
20540000,1,0,1,0,0,0,0
21044000,1,0,1,0,0,0,0
21548000,1,0,1,0,0,0,0
22052000,1,0,1,0,0,0,0
22556000,1,0,1,0,0,0,0
23060000,1,0,1,0,0,0,0
23564000,1,0,1,0,0,0,0
24068000,1,0,1,0,0,0,0
24572000,1,0,1,0,0,0,0
25076000,1,0,1,0,0,0,0
25232000,1,0,1,0,0,0,0
25736000,1,0,1,0,0,0,0
26240000,1,0,1,0,0,0,0
26744000,1,0,1,0,0,0,0
27248000,1,0,1,0,0,0,0
27752000,1,0,1,0,0,0,0
28256000,1,0,1,0,0,0,0
28760000,1,0,1,0,0,0,0
29264000,1,0,1,0,0,0,0
29768000,1,0,1,0,0,0,0
30272000,1,0,1,0,0,0,0
30776000,1,0,1,0,0,0,0
31280000,1,0,1,0,0,0,0
31784000,1,0,1,0,0,0,0
32288000,1,0,1,0,0,0,0
32792000,1,0,1,0,0,0,0
33296000,1,0,1,0,0,0,0
33800000,1,0,1,0,0,0,0
34304000,1,0,1,0,0,0,0
34808000,1,0,1,0,0,0,0
35312000,1,0,1,0,0,0,0
35816000,1,0,1,0,0,0,0
36320000,1,0,1,0,0,0,0
36824000,1,0,1,0,0,0,0
37328000,1,0,1,0,0,0,0
37832000,1,0,1,0,0,0,0
38336000,1,0,1,0,0,0,0
38840000,1,0,1,0,0,0,0
39344000,1,0,1,0,0,0,0
39848000,1,0,1,0,0,0,0
40352000,1,0,1,0,0,0,0
40856000,1,0,1,0,0,0,0
41360000,1,0,1,0,0,0,0
41864000,1,0,1,0,0,0,0
42368000,1,0,1,0,0,0,0
42872000,1,0,1,0,0,0,0
43376000,1,0,1,0,0,0,0
43880000,1,0,1,0,0,0,0
44384000,1,0,1,0,0,0,0
44888000,1,0,1,0,0,0,0
45392000,1,0,1,0,0,0,0
45896000,1,0,1,0,0,0,0
46400000,1,0,1,0,0,0,0
46904000,1,0,1,0,0,0,0
47408000,1,0,1,0,0,0,0
47912000,1,0,1,0,0,0,0
48416000,1,0,1,0,0,0,0
48920000,1,0,1,0,0,0,0
49424000,1,0,1,0,0,0,0
49928000,1,0,1,0,0,0,0
50432000,1,0,1,0,0,0,0
50936000,1,0,1,0,0,0,0
51440000,1,0,1,0,0,0,0
51944000,1,0,1,0,0,0,0
52448000,1,0,1,0,0,0,0
52952000,1,0,1,0,0,0,0
53456000,1,0,1,0,0,0,0
53960000,1,0,1,0,0,0,0
54464000,1,0,1,0,0,0,0
54968000,1,0,1,0,0,0,0
55472000,1,0,1,0,0,0,0
55976000,1,0,1,0,0,0,0
56480000,1,0,1,0,0,0,0
56984000,1,0,1,0,0,0,0
57488000,1,0,1,0,0,0,0
57992000,1,0,1,0,0,0,0
58496000,1,0,1,0,0,0,0
59000000,1,0,1,0,0,0,0
59504000,1,0,1,0,0,0,0
60008000,1,0,1,0,0,0,0
60512000,1,0,1,0,0,0,0
61016000,1,0,1,0,0,0,0
61520000,1,0,1,0,0,0,0
62024000,1,0,1,0,0,0,0
62528000,1,0,1,0,0,0,0
63032000,1,0,1,0,0,0,0
63536000,1,0,1,0,0,0,0
64040000,1,0,1,0,0,0,0
64544000,1,0,1,0,0,0,0
65048000,1,0,1,0,0,0,0
65552000,1,0,1,0,0,0,0
66056000,1,0,1,0,0,0,0
66068000,1,0,1,0,0,0,0
66080000,1,0,1,0,0,0,0
66584000,1,0,1,0,0,0,0
67088000,1,0,1,0,0,0,0
67592000,1,0,1,0,0,0,0
68096000,1,0,1,0,0,0,0
68600000,1,0,1,0,0,0,0
69104000,1,0,1,0,0,0,0
69608000,1,0,1,0,0,0,0
70112000,1,0,1,0,0,0,0
70616000,1,0,1,0,0,0,0
71120000,1,0,1,0,0,0,0
71624000,1,0,1,0,0,0,0
72128000,1,0,1,0,0,0,0
72632000,1,0,1,0,0,0,0
73136000,1,0,1,0,0,0,0
73640000,1,0,1,0,0,0,0
74144000,1,0,1,0,0,0,0
74648000,1,0,1,0,0,0,0
