timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
3436000,3353914,0,0,-0.001373291,12.25,-6.9490634e-06,112.451,1.7177076e-14,3,0,0,0
3500000,3414907,0,0,-0.03704834,12.25,0.038032643,112.25,5.1545015e-07,3,0,0,0
3556000,3475031,0,0,0.029418945,12.25,-0.029137863,112.25,3.0254435e-07,3,0,0,0
3620000,3535069,0,0,-0.037750244,12.25,0.037136488,62.25,8.861807e-07,3,0,0,0
3676000,3593167,0,0,-0.03262329,12.25,0.033461355,62.249985,7.1946187e-07,3,0,0,0
3740000,3655192,0,0,0.13119507,12.25,-0.13044934,62.249985,1.0934641e-05,3,0,0,0
3796000,3715283,0,0,-0.013031006,12.25,0.013583833,62.249985,1.18567435e-07,3,0,0,0
3860000,3775305,0,0,-0.00793457,12.25,0.0079927705,45.58333,5.605942e-08,3,0,0,0
3916000,3835384,0,0,-0.02444458,12.25,0.024121191,45.58333,5.105655e-07,3,0,0,0
3972000,3891402,0,0,0.14233398,12.25,-0.14309065,45.58333,1.7967037e-05,3,0,0,0
4028000,3943454,0,0,0.034576416,12.25,-0.03581741,45.58337,1.12575e-06,3,0,0,0
4084000,4003486,4004000,0,-0.059326172,12.25,0.057940904,37.250046,3.604987e-06,3,0,0,0
4148000,4062196,4068000,0,-0.048980713,12.25,0.046976168,37.250107,2.3696687e-06,3,1,0,1
4204000,4119558,4124000,0,-0.1381836,12.25,0.10401215,20.47152,2.1138689e-05,3,1,0,1
4252000,4169588,4172000,0,-0.006713867,12.25,-0.06982498,17.169724,1.135843e-05,3,1,0,1
4316000,4230286,4236000,0,-0.07244873,12.25,0.015209787,15.760099,5.871476e-07,3,1,0,1
4372000,4291642,4292000,0,-0.12408447,12.25,0.06272053,14.978389,1.0505441e-05,3,1,0,1
4436000,4351673,4356000,0,0.10128784,12.25,-0.17500746,14.481491,8.4597945e-05,3,1,0,1
4492000,4411695,4412000,0,-0.06304932,12.25,0.01579221,14.137716,7.05613e-07,3,1,0,1
4556000,4471719,4476000,0,-0.119384766,12.25,0.06910497,13.885798,1.3756491e-05,3,1,0,1
