timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3328000,3324000,3324000,0,0.0,0.0,0.25,0.25,5.255593e-08,-1.3669487e-08,0.500009,0.500009,6.1379464e-16,4.1522558e-17,3,0,0,0
3612000,3532000,3532000,0,0.0,0.0,1e-04,1e-04,0.00015922399,-0.00015816446,100.000175,100.000175,2.816915e-11,2.7795502e-11,3,1,0,1
3820000,3740000,3740000,0,0.0,0.0,1e-04,1e-04,-1.7155704e-05,-0.00010724834,0.00021542302,0.00021542565,1.5180373e-07,5.932548e-06,3,1,0,1
4028000,3948000,3948000,0,0.0,0.0,1e-04,1e-04,0.00032576424,-0.00016198329,0.0005908063,0.00059089315,1.9958099e-05,4.9338846e-06,3,1,0,1
4236000,4156000,4156000,0,0.0,0.0,1e-04,1e-04,0.00070008927,-4.2006934e-05,0.0009320448,0.00093209307,5.8428875e-05,2.1034886e-07,3,1,0,1
4444000,4364000,4364000,0,0.0,0.0,1e-04,1e-04,0.00059862627,3.875562e-05,0.00068113295,0.0006811453,5.8457084e-05,2.4501188e-07,3,1,0,1
4652000,4572000,4572000,0,0.0,0.0,1e-04,1e-04,0.00070937956,5.496241e-05,0.0005583411,0.00055834884,0.00010014177,6.0115076e-07,3,1,0,1
4860000,4780000,4780000,0,0.0,0.0,1e-04,1e-04,0.0007362902,-0.00026382564,0.0005020233,0.0005020264,0.00011998629,1.5405114e-05,3,1,0,1
5068000,4988000,4988000,0,0.0,0.0,1e-04,1e-04,0.00051273487,-0.0007359195,0.00046188702,0.00046188573,6.3242274e-05,0.00013028174,3,1,0,1
5276000,5196000,5196000,0,0.0,0.0,1e-04,1e-04,0.0002816154,-0.00067080715,0.00042526468,0.00042526424,2.072101e-05,0.00011756931,3,1,0,1
5484000,5404000,5404000,0,0.0,0.0,1e-04,1e-04,0.00040583638,-0.00047983075,0.00039290555,0.00039290535,4.6576977e-05,6.51097e-05,3,1,0,1
5692000,5612000,5612000,0,0.0,0.0,1e-04,1e-04,0.0002852894,0.00019238559,0.00036615907,0.00036616033,2.469784e-05,1.1231332e-05,3,1,0,1
5900000,5820000,5820000,0,0.0,0.0,1e-04,1e-04,0.0002695736,0.00045344405,0.00034498484,0.00034498516,2.3405188e-05,6.622234e-05,3,1,0,1
6108000,6028000,6028000,0,0.0,0.0,1e-04,1e-04,0.00022870976,0.00026285174,0.0003283898,0.00032838923,1.7698529e-05,2.3377082e-05,3,1,0,1
6316000,6236000,6236000,0,0.0,0.0,1e-04,1e-04,0.00023608287,5.5279364e-05,0.00031536265,0.00031536064,1.9637047e-05,1.0766538e-06,3,1,0,1
6524000,6444000,6444000,0,0.0,0.0,1e-04,1e-04,6.115623e-05,-6.911122e-05,0.0003049863,0.000304983,1.3625692e-06,1.7401193e-06,3,1,0,1
6732000,6652000,6652000,0,0.0,0.0,1e-04,1e-04,-0.00059768674,9.608033e-06,0.00029659498,0.00029659213,0.00013382612,3.458333e-08,3,1,0,1
6940000,6860000,6860000,0,0.0,0.0,1e-04,1e-04,-0.00080273015,0.00014112687,0.00028970995,0.00028970765,0.00024713442,7.638657e-06,3,1,0,1
7148000,7068000,7068000,0,0.0,0.0,1e-04,1e-04,-0.0006918885,0.0005585936,0.00028396957,0.00028396753,0.00018730869,0.00012209018,3,1,0,1
7356000,7276000,7276000,0,0.0,0.0,1e-04,1e-04,-0.00041655113,0.0012014727,0.00027913702,0.00027913487,6.906797e-05,0.0005746074,3,1,0,1
7564000,7484000,7484000,0,0.0,0.0,1e-04,1e-04,-8.461929e-05,0.0016541672,0.00027501732,0.00027501542,2.892919e-06,0.0011055013,3,1,0,1
7772000,7692000,7692000,0,0.0,0.0,1e-04,1e-04,0.00023236756,0.0015973598,0.00027146426,0.00027146394,2.2100181e-05,0.0010443614,3,1,0,1
7980000,7900000,7900000,0,0.0,0.0,1e-04,1e-04,0.00028215034,0.001157417,0.00026837582,0.00026837643,3.2959095e-05,0.00055461656,3,1,0,1
8188000,8108000,8108000,0,0.0,0.0,1e-04,1e-04,0.000114672526,0.00083932636,0.00026568497,0.00026568494,5.4993234e-06,0.00029461324,3,1,0,1
8396000,8316000,8316000,0,0.0,0.0,1e-04,1e-04,-0.00014699303,0.0004226445,0.00026331228,0.000263311,9.117585e-06,7.5377015e-05,3,1,0,1
8604000,8524000,8524000,0,0.0,0.0,1e-04,1e-04,-0.0004207225,0.0003829273,0.00026120883,0.00026120726,7.5294134e-05,6.237419e-05,3,1,0,1
8812000,8732000,8732000,0,0.0,0.0,1e-04,1e-04,-0.00033840592,0.00021644979,0.0002592981,0.00025929653,4.9072034e-05,2.0075904e-05,3,1,0,1
9020000,8940000,8940000,0,0.0,0.0,1e-04,1e-04,-7.112006e-05,0.00037170685,0.00025757885,0.0002575784,2.1818835e-06,5.96004e-05,3,1,0,1
9228000,9148000,9148000,0,0.0,0.0,1e-04,1e-04,0.00036702794,0.0006378805,0.00025603312,0.00025603417,5.8460104e-05,0.00017657867,3,1,0,1
9436000,9356000,9356000,0,0.0,0.0,1e-04,1e-04,0.00077535934,0.0007986623,0.00025463366,0.00025463587,0.00026232985,0.00027833274,3,1,0,1
9644000,9564000,9564000,0,0.0,0.0,1e-04,1e-04,0.00090148096,0.0008503469,0.00025337437,0.000253377,0.00035637556,0.00031709005,3,1,0,1
9852000,9772000,9772000,0,0.0,0.0,1e-04,1e-04,0.0009444254,0.00080082513,0.00025221935,0.00025222206,0.0003929293,0.00028252037,3,1,0,1
10060000,9980000,9980000,0,0.0,0.0,1e-04,1e-04,0.0010530599,0.00082605093,0.0002511563,0.00025115922,0.000490591,0.00030187145,3,1,0,1
10268000,10188000,10188000,0,0.0,0.0,1e-04,1e-04,0.00082396733,0.0005969311,0.0002501818,0.00025018427,0.00030152392,0.0001582508,3,1,0,1
10476000,10396000,10396000,0,0.0,0.0,1e-04,1e-04,0.00036116378,0.00034855248,0.00024928272,0.00024928543,5.8139824e-05,5.414981e-05,3,1,0,1
10684000,10604000,10604000,0,0.0,0.0,1e-04,1e-04,-4.9466093e-05,-0.00012158758,0.000248473,0.00024847678,1.0941919e-06,6.6107405e-06,3,1,0,1
10892000,10812000,10812000,0,0.0,0.0,1e-04,1e-04,-0.00036249796,-0.0003936498,0.00024771574,0.00024772153,5.8940666e-05,6.950464e-05,3,1,0,1
11100000,11020000,11020000,0,0.0,0.0,1e-04,1e-04,-0.0001913138,-0.00068869744,0.00024700986,0.00024701643,1.6464017e-05,0.00021334799,3,1,0,1
11308000,11228000,11228000,0,0.0,0.0,1e-04,1e-04,-0.00022994746,-0.0008872413,0.0002463493,0.0002463552,2.3848628e-05,0.00035504156,3,1,0,1
11516000,11436000,11436000,0,0.0,0.0,1e-04,1e-04,-0.0004638132,-0.000978238,0.00024573825,0.00024574203,9.726821e-05,0.00043268024,3,1,0,1
11724000,11644000,11644000,0,0.0,0.0,1e-04,1e-04,-0.00066445605,-0.0011221473,0.00024517337,0.00024517305,0.000200086,0.0005706693,3,1,0,1
