timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3596000,3477124,0,0,0.0,0.0,1.0,1.0,-1.7963743e-05,0.00017858134,101.000145,101.000145,1.2780024e-13,1.2630196e-11,0,1,0,0
3996000,3877470,0,0,0.0,0.0,1.0,1.0,0.0002185659,0.00018838227,1.0004424,1.0004424,1.909997e-09,1.4188876e-09,0,1,0,0
4396000,4277680,0,0,0.0,0.0,1.0,1.0,2.2860111e-05,0.0005051138,1.0004834,1.0004834,2.0893289e-11,1.0200667e-08,0,1,0,0
4796000,4677806,0,0,0.0,0.0075268387,1.0,1.0,0.0001493776,-0.0073035047,1.0003622,1.0003622,8.9222363e-10,2.1328747e-06,0,1,0,0
5196000,5077883,0,0,0.0,0.0075268387,1.0,1.0,0.0003267732,-0.0076503903,1.0002259,1.0002259,4.2702646e-09,2.34061e-06,0,1,0,0
5596000,5477929,0,0,0.0,0.0075268387,1.0,1.0,-0.00013607442,-0.0075237467,1.0001614,1.0001614,7.4053036e-10,2.2639051e-06,0,1,0,0
5996000,5877958,0,0,0.0,0.0075268387,1.0,1.0,-0.00026846016,-0.0075504323,1.0001274,1.0001274,2.8824672e-09,2.2800705e-06,0,1,0,0
6396000,6277974,0,0,0.0,0.0075268387,1.0,1.0,-1.7828617e-05,-0.00753566,1.0001068,1.0001068,1.2713026e-11,2.2712045e-06,0,1,0,0
6796000,6677985,0,0,0.0,0.0075268387,1.0,1.0,-2.7002394e-05,-0.007960048,1.0000927,1.0000927,2.9162464e-11,2.5342592e-06,0,1,0,0
7196000,7077991,0,0,0.0,0.0075268387,1.0,1.0,-0.00034461002,-0.007877867,1.0000824,1.0000824,4.749851e-09,2.4822268e-06,0,1,0,0
7596000,7477995,0,0,0.0,0.0075268387,1.0,1.0,-0.0007350544,-0.0075930003,1.000075,1.000075,2.1610576e-08,2.3059733e-06,0,1,0,0
7996000,7877997,0,0,0.0,0.0075268387,1.0,1.0,-0.0004272378,-0.0074646594,1.0000681,1.0000681,7.3007884e-09,2.2286938e-06,0,1,0,0
8396000,8277998,0,0,-0.011119492,0.0075268387,1.0,1.0,0.010779559,-0.0077511086,1.0001657,1.0001657,4.647185e-06,2.4027893e-06,0,1,0,0
8796000,8677999,8716000,0,0.0,0.0075268387,1.0,1.0,-0.000113185844,-0.007910394,1.0001498,1.0001498,5.1236465e-10,2.5025984e-06,0,1,0,0
9196000,9078000,9116000,0,0.0,0.0075268387,1.0,1.0,-0.00050233444,0.00037911488,2.0144377,2.0144377,5.010627e-09,2.8539595e-09,0,1,0,1
9596000,9478000,9516000,0,0.0,0.0075268387,1.0,1.0,-0.00077480264,0.0007379423,1.5180739,1.5180738,1.5817916e-08,1.4348679e-08,0,1,0,1
9996000,9878000,9916000,0,0.0,0.0075268387,1.0,1.0,-0.0014008558,-0.00542662,1.354017,1.354017,5.79726e-08,8.699508e-07,0,1,0,1
10396000,10278000,10316000,0,0.0,0.015053677,1.0,1.0,-0.004821575,-0.011595584,1.2737257,1.2737257,7.300656e-07,4.222497e-06,0,1,0,1
10796000,10678000,10716000,0,0.0,0.0075268387,1.0,1.0,-0.007505005,0.0012889295,1.2270972,1.2270973,1.8360438e-06,5.4155095e-08,0,1,0,1
11196000,11078000,11116000,0,0.0,0.0075268387,1.0,1.0,-0.006925936,0.0019105324,1.1974374,1.1974376,1.6023747e-06,1.2193149e-07,0,1,0,1
11596000,11478000,11516000,0,0.0,0.0075268387,1.0,1.0,-0.0032877414,-0.004173563,1.1776133,1.1776136,3.671577e-07,5.916585e-07,0,1,0,1
11996000,11878000,11916000,0,-0.011119492,0.0075268387,1.0,1.0,0.011653534,-0.003914794,1.1640487,1.1640494,4.6666387e-06,5.2663097e-07,0,1,0,1
12396000,12278000,12316000,0,0.0,0.0075268387,1.0,1.0,0.0053183734,-0.0008079903,1.1547116,1.1547127,9.798151e-07,2.2615094e-08,0,1,0,1
12796000,12678000,12716000,0,0.0,0.0075268387,1.0,1.0,0.008661112,-0.0008295649,1.1483092,1.1483104,2.6130542e-06,2.3971841e-08,0,1,0,1
13196000,13078000,13116000,0,0.0,0.0075268387,1.0,1.0,0.014070266,-0.004244796,1.1439496,1.1439509,6.922416e-06,6.300372e-07,0,1,0,1
13596000,13478000,13516000,0,0.0,0.0075268387,1.0,1.0,0.016165026,-0.0036932433,1.1409938,1.1409951,9.160717e-06,4.7818065e-07,0,1,0,1
13996000,13878000,13916000,0,0.0,0.015053677,1.0,1.0,0.0025217957,-0.010108394,1.1389837,1.1389849,2.233378e-07,3.588445e-06,0,1,0,1
14396000,14278000,14316000,0,0.0,0.0,1.0,1.0,0.010201381,0.0060681934,1.1375974,1.1375986,3.6592264e-06,1.2947614e-06,0,1,0,1
14796000,14678000,14716000,0,0.0,0.0075268387,1.0,1.0,0.008969904,-0.0017761262,1.1366185,1.1366196,2.831528e-06,1.11017776e-07,0,1,0,1
15196000,15078000,15116000,0,0.0,0.0075268387,1.0,1.0,0.007847408,0.007163986,1.1359035,1.1359046,2.1685578e-06,1.807289e-06,0,1,0,1
15596000,15478000,15516000,0,0.0,0.0075268387,1.0,1.0,0.015109777,0.006499467,1.135356,1.135357,8.043482e-06,1.4882744e-06,0,1,0,1
15996000,15878000,15916000,0,0.0,0.0075268387,1.0,1.0,0.00920554,0.0019597863,1.1349171,1.1349182,2.9867188e-06,1.3536702e-07,0,1,0,1
16396000,16278000,16316000,0,0.0,0.0,1.0,1.0,0.00862162,0.009805624,1.1345485,1.1345494,2.620684e-06,3.3899014e-06,0,1,0,1
16796000,16678000,16716000,0,0.0,0.0075268387,1.0,1.0,0.008279262,0.0054970873,1.1342231,1.1342239,2.417379e-06,1.0656792e-06,0,1,0,1
17196000,17078000,17116000,0,0.0,0.0075268387,1.0,1.0,0.00776337,0.0006552967,1.1339248,1.1339256,2.1260637e-06,1.5147865e-08,0,1,0,1
17596000,17478000,17516000,0,0.0,0.0075268387,1.0,1.0,0.007588935,0.0005544401,1.1336434,1.1336441,2.0321006e-06,1.0846572e-08,0,1,0,1
