timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
3596000,3477124,0,0,0.0,0.0,0.02,0.09,0.09,0.20250002,0.0006205262,0.002725474,-0.041395213,0.11651664,0.11647381,0.20434281,1.3218808e-07,2.5510315e-06,0.0003354292,0,1,0,0
3996000,3877470,0,0,0.0,-0.01,0.01,0.09,0.09,0.20250002,0.00095869147,0.012248449,-0.018552246,0.10590871,0.1059087,0.20376264,3.471251e-07,5.6661822e-05,6.7566034e-05,0,1,0,0
4396000,4277680,0,0,0.0,0.01,0.01,0.09,0.09,0.20250002,-3.1248084e-05,-0.006148665,-0.0245671,0.106069,0.10606803,0.20660949,3.6822928e-10,1.4257296e-05,0.000116846975,0,1,0,0
4796000,4677806,0,0,0.01,0.0,-0.03,0.09,0.09,0.20250002,-0.007917205,0.0010238603,0.014271958,0.09980448,0.09980515,0.209414,2.512197e-05,4.2013463e-07,3.890643e-05,0,1,0,0
5196000,5077883,0,0,0.01,0.0,-0.03,0.09,0.09,0.20250002,-0.008127437,-0.00084171514,0.015889844,0.09431311,0.094313845,0.21087864,2.8015293e-05,3.0047948e-07,4.7892405e-05,0,1,0,0
5596000,5477929,0,0,0.0,0.0,-0.03,0.09,0.09,0.20250002,-0.0024200901,-6.795807e-05,0.018021574,0.09244313,0.09244362,0.2111179,2.534244e-06,1.9983204e-09,6.153474e-05,0,1,0,0
5996000,5877958,0,0,0.0,0.01,-0.02,0.09,0.09,0.20250002,-0.0009979162,-0.01008279,0.008928757,0.09168261,0.091682926,0.21074452,4.3447136e-07,4.4354012e-05,1.5131631e-05,0,1,0,0
6396000,6277974,0,0,0.0,0.0,0.02,0.09,0.09,0.20250002,0.00019417607,-9.458646e-05,-0.029386956,0.09130198,0.09130218,0.21017145,1.6518523e-08,3.9195553e-09,0.00016435975,0,1,0,0
6796000,6677985,0,0,0.0,0.0,0.04,0.09,0.09,0.20250002,-0.0002464424,-0.0032439611,-0.04660427,0.09107815,0.091078244,0.20958646,2.6673293e-08,4.6216455e-06,0.00041452257,0,1,0,0
7196000,7077991,0,0,0.0,0.01,0.02,0.09,0.09,0.20250002,-0.003918907,-0.011687241,-0.024294365,0.09093087,0.09093096,0.20904888,6.755828e-06,6.008585e-05,0.00011293362,0,1,0,0
7596000,7477995,0,0,0.0,0.0,0.02,0.09,0.09,0.20250002,-0.0048291,0.00072576816,-0.022545237,0.09084276,0.09084281,0.20967036,1.02683825e-05,2.3193445e-07,9.696891e-05,0,1,0,0
7996000,7877997,0,0,0.01,0.0,0.02,0.09,0.09,0.20250002,-0.011070476,-9.3639195e-05,-0.020570874,0.09075997,0.09076,0.20915604,5.4012988e-05,3.8643893e-09,8.092731e-05,0,1,0,0
8396000,8277998,0,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,-0.0010039187,-0.002121325,0.007801177,0.09124095,0.091241054,0.20875165,4.418423e-07,1.9728045e-06,1.1661391e-05,0,1,0,0
8796000,8677999,8716000,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,-0.0007932669,-0.0009226135,0.009320045,0.09113658,0.09113667,0.20844258,2.7618873e-07,3.7359962e-07,1.6668999e-05,0,1,0,0
9196000,9078000,9116000,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,-0.0026367563,0.0021297974,0.00055001397,0.1806846,0.18068448,0.40465948,1.5391424e-06,1.0041896e-06,2.9903205e-08,0,1,0,1
9596000,9478000,9516000,0,0.0,-0.02,0.0,0.09,0.09,0.20250002,-0.0038096926,0.023164736,-0.008773357,0.13609764,0.13609758,0.3028213,4.2656898e-06,0.00015771184,1.0167288e-05,0,1,0,1
9996000,9878000,9916000,0,-0.01,0.0,0.0,0.09,0.09,0.20250002,0.0038972828,-0.001365863,-0.002500765,0.12189606,0.12189603,0.26856455,4.984185e-06,6.121879e-07,9.314447e-07,0,1,0,1
10396000,10278000,10316000,0,-0.01,0.01,0.0,0.09,0.09,0.20250002,0.0019798642,-0.010973799,0.0016834661,0.115610875,0.115611225,0.25146544,1.3562261e-06,4.1665247e-05,4.508068e-07,0,1,0,1
10796000,10678000,10716000,0,0.0,0.0,-0.02,0.09,0.09,0.20250002,-0.008837933,0.0018137404,0.023684587,0.11278133,0.112782165,0.2410732,2.7702832e-05,1.1667286e-06,9.307707e-05,0,1,0,1
