timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
3708000,3628000,0.11862898,0.11863357,0.20434281,101.00002,101.00002,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.249985,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.112253,1.1122789,1.0001009,0.0,0.0,0.0,0.0,0.0,0.0
4204000,4124000,0.10323341,0.10323615,0.20376262,1.0003272,1.0003272,34.33334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.47152,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2283074,1.2283586,1.000221,0.0,0.0,0.0,0.0,0.0,0.0
4708000,4628000,0.09768064,0.0976809,0.20660947,1.0003848,1.0003848,3.2314284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.541277,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0856587,1.0856696,1.0000838,0.0,0.0,0.0,0.0,0.0,0.0
5212000,5132000,0.09296092,0.09296091,0.21087864,1.0001888,1.0001888,1.6642511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.914313,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0751472,1.0751557,1.0000716,0.0,0.0,0.0,0.0,0.0,0.0
5708000,5628000,0.09201187,0.092011884,0.21111788,1.0001479,1.0001479,1.4834732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.716036,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0649071,1.0649146,1.0000602,0.0,0.0,0.0,0.0,0.0,0.0
6204000,6124000,0.09149872,0.0914987,0.21074452,1.0001214,1.0001214,1.3810803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6096,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0633085,1.0633143,1.0000578,0.0,0.0,0.0,0.0,0.0,0.0
6708000,6628000,0.091207355,0.09120731,0.21017145,1.0001036,1.0001036,1.3153518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.538487,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062449,1.0624552,1.0000561,0.0,0.0,0.0,0.0,0.0,0.0
7204000,7124000,0.09089677,0.09089675,0.20904888,1.0000812,1.0000812,1.2408555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.496654,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061118,1.0611254,1.0000539,0.0,0.0,0.0,0.0,0.0,0.0
7708000,7628000,0.09081923,0.09081923,0.20966955,1.0000741,1.0000741,1.2157093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.462138,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0609374,1.0609438,1.0000533,0.0,0.0,0.0,0.0,0.0,0.0
8212000,8132000,0.09074378,0.09074377,0.20915098,1.0000676,1.0000676,1.194991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.440331,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0604234,1.0604287,1.0000526,0.0,0.0,0.0,0.0,0.0,0.0
8708000,8628000,0.09120983,0.09120981,0.20874132,1.0001633,1.0001633,1.1810099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420082,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0603255,1.0603303,1.0000509,0.0,0.0,0.0,0.0,0.0,0.0
9204000,9124000,0.091034584,0.09103461,0.20821548,1.0001353,1.0001353,1.636979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.927997,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0602512,1.0602559,1.0000501,0.0,0.0,0.0,0.0,0.0,0.0
9708000,9628000,0.090967275,0.09096731,0.20804745,1.000124,1.000124,1.3195125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.502597,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0599755,1.0599794,1.0000491,0.0,0.0,0.0,0.0,0.0,0.0
10212000,10132000,0.09090856,0.09090859,0.2079109,1.000114,1.000114,1.2143258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.444959,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0599611,1.0599645,1.0000478,0.0,0.0,0.0,0.0,0.0,0.0
10708000,10628000,0.09085663,0.09085666,0.20779806,1.000105,1.000105,1.1622674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.416835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0597954,1.0597985,1.0000473,0.0,0.0,0.0,0.0,0.0,0.0
11212000,11132000,0.09076778,0.09076782,0.20761444,1.0000898,1.0000898,1.1123438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.401931,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0598028,1.0598065,1.0000464,0.0,0.0,0.0,0.0,0.0,0.0
11708000,11628000,0.0907288,0.090728775,0.2075389,1.0000832,1.0000832,1.0980148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385586,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0598222,1.0598259,1.0000457,0.0,0.0,0.0,0.0,0.0,0.0
12212000,12132000,0.09069258,0.09069248,0.20746763,1.0000772,1.0000772,1.0881807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.383839,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059737,1.0597407,1.0000447,0.0,0.0,0.0,0.0,0.0,0.0
12708000,12628000,0.09065895,0.090658836,0.20740096,1.0000719,1.0000719,1.0801666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.383658,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0597509,1.0597553,1.0000443,0.0,0.0,0.0,0.0,0.0,0.0
13204000,13124000,0.090606116,0.09060602,0.20793699,1.0000628,1.0000628,1.0701188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385161,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059644,1.0596488,1.0000441,0.0,0.0,0.0,0.0,0.0,0.0
13708000,13628000,0.090939514,0.0909393,0.20787321,1.0001415,1.0001415,1.0662249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.382679,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0596486,1.0596527,1.0000437,0.0,0.0,0.0,0.0,0.0,0.0
14212000,14132000,0.09090217,0.090901986,0.20781633,1.0001318,1.0001318,1.063376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385385,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059653,1.0596571,1.0000435,0.0,0.0,0.0,0.0,0.0,0.0
14708000,14628000,0.090866394,0.090866186,0.20775726,1.0001229,1.0001229,1.0607272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38825,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0595511,1.0595549,1.0000423,0.0,0.0,0.0,0.0,0.0,0.0
15212000,15132000,0.09079973,0.09079952,0.20764877,1.0001067,1.0001067,1.0566573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.390484,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0595528,1.0595571,1.0000416,0.0,0.0,0.0,0.0,0.0,0.0
15708000,15628000,0.090768054,0.09076787,0.2075948,1.0000994,1.0000994,1.0553284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.390342,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0594635,1.0594679,1.0000398,0.0,0.0,0.0,0.0,0.0,0.0
