timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
3868000,3868000,0,nan,nan,0.00028362632,0.0010574495,-0.006739918,-5.255593e-08,1.3669487e-08,0.0,0.0014114826,0.004663853,-0.022015551,-0.017368397,-8.759322e-06,2.2782478e-06,0.0014087781,0.029071262,-0.011736293,-0.019779427,1.632283,-0.0034274475,nan,0.10674663,0.012925756,5.7735023,0.102639765,0.025004735,inf,inf,inf,inf,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
4364000,4364000,0,nan,nan,0.00041966772,0.0023803995,-0.040744122,-5.255593e-08,1.3669487e-08,0.0,0.00051918015,0.008693045,-0.015807347,-0.039890174,-8.759322e-06,2.2782478e-06,0.0014087781,-0.00089517556,0.011452531,0.01966208,1.6279199,-0.0034274475,nan,0.1,0.0259971,1.6517802,0.1582217,0.061651748,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
4868000,4868000,4392000,47.3977508,8.5456073,0.00065693073,0.0019736777,-0.05661882,-5.255593e-08,1.3669487e-08,0.0,0.0043629627,0.0033997425,-0.016841926,-0.036578536,-8.759322e-06,2.2782478e-06,0.0014087781,0.031973526,0.0023031896,-0.046172176,1.6260287,-0.0034274475,488.02798,0.11324382,0.01366345,0.953372,0.08213677,0.088094786,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
5364000,5364000,4392000,47.3977508,8.5456073,0.0013300927,-0.0004525887,-0.051903386,-5.255593e-08,1.3669487e-08,0.0,0.002717372,-0.0012559618,-0.015176087,-0.0171361,-8.759322e-06,2.2782478e-06,0.0014087781,-0.022420557,-0.020990206,-0.016945412,1.6245234,-0.0034274475,488.02798,0.109273225,0.01725873,0.75641316,0.07401893,0.09108053,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
5868000,5868000,4392000,47.3977508,8.5456073,-0.0010613427,-0.001081348,-0.04771012,-5.255593e-08,1.3669487e-08,0.0,-0.003588269,-0.0019119383,-0.012449263,-0.00522968,-8.759322e-06,2.2782478e-06,0.0014087781,-0.010279705,0.010707284,0.027446074,1.6218644,-0.0034274475,488.02798,0.10688622,0.021085143,0.6369242,0.071998194,0.09530412,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
6364000,6364000,4392000,47.3977508,8.5456073,-0.0009870292,-0.0008935072,-0.045752555,-5.255593e-08,1.3669487e-08,0.0,-0.0008355262,-0.0017999961,-0.009896881,2.7476752e-05,-8.759322e-06,2.2782478e-06,0.0014087781,0.022559222,-0.022206731,-0.013594515,1.624297,-0.0034274475,488.02798,0.10398027,0.013368337,0.56858677,0.048224688,0.08645284,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
6868000,6868000,4392000,47.3977508,8.5456073,-0.00048548926,-0.0021925857,-0.040791444,-5.255593e-08,1.3669487e-08,0.0,-0.002086612,-0.0062144813,-0.006498863,0.0059728976,-8.759322e-06,2.2782478e-06,0.0014087781,-0.02770673,0.006206435,0.016498378,1.6222976,-0.0034274475,488.02798,0.10119158,0.01647216,0.514591,0.052082364,0.08640892,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
7364000,7364000,4392000,47.3977508,8.5456073,-0.002237219,-0.0019142693,-0.037705697,-5.255593e-08,1.3669487e-08,0.0,-0.008391968,-0.002949411,-0.0011322077,0.0098438095,-8.759322e-06,2.2782478e-06,0.0014087781,-0.05076441,0.0132309785,-0.0008475035,1.6255822,-0.0034274475,488.02798,0.101406984,0.011607047,0.4792918,0.040101998,0.08557943,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
7868000,7868000,4392000,47.3977508,8.5456073,-0.0030000359,-0.0001801822,-0.033446502,-5.255593e-08,1.3669487e-08,0.0,-0.005635638,0.00044484303,0.0012834518,0.010780249,-8.759322e-06,2.2782478e-06,0.0014087781,0.0016785196,-0.02758276,0.011389143,1.6246269,-0.0034274475,488.02798,0.1,0.0141522065,0.45025885,0.044126723,0.0784345,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
8364000,8364000,4392000,47.3977508,8.5456073,-0.0011421532,-0.00012759207,-0.035011668,-5.255593e-08,1.3669487e-08,0.0,-0.0019123239,-0.0027077624,-0.000871834,0.00328312,-8.759322e-06,2.2782478e-06,0.0014087781,-0.009533308,-0.0037110439,-0.006104819,1.6195692,-0.0034274475,488.02798,0.1,0.01690322,0.42486054,0.047861986,0.07829578,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
