timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
4172000,4092000,0.999884,-0.009815019,-0.0116486335,-0.00016073612,0.004217914,-0.0004208,-0.011451222,0.00040377473,-2.9884275e-05,-0.033796195,-7.659526e-06,-1.6746566e-05,2.2321045e-08,-1.3053981e-05,1.8445055e-05,-0.0009465956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3823514e-07,0.0005517355,0.0005518724,0.000448507,0.012134616,0.012135379,0.0023818081,0.00042792576,0.00042794837,8.2214985,2.6926753e-07,2.6940006e-07,2.8027782e-07,3.7711795e-06,3.7714249e-06,4.037879e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
5172000,5092000,0.9998948,-0.009557048,-0.010913059,-0.000103348066,0.0004822862,-0.0026991174,-0.013735466,0.0001509916,-0.00039973282,-0.04738856,-1.1445551e-05,-4.194233e-05,4.5497148e-07,-2.2037813e-05,2.2005604e-05,-0.0010149875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2109637e-08,0.00019283209,0.00019289838,0.0007051164,0.0026710485,0.0026710453,0.008122686,0.0001593939,0.00015939359,0.6640727,6.989503e-09,6.98963e-09,6.850452e-08,3.7583318e-06,3.7586492e-06,2.2604466e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6172000,6092000,0.99990255,-0.009227208,-0.01048362,-0.00017538035,0.00069386483,-0.00055313366,-0.010296389,0.000104890634,4.8653183e-05,-0.04229267,-1.2908624e-05,-4.454835e-05,6.010677e-07,-2.5603453e-05,2.3424756e-05,-0.0010626063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3702315e-08,0.00016424923,0.00016430308,0.0005089585,0.0012275401,0.0012275112,0.007803987,9.764207e-05,9.764177e-05,0.34961602,9.72115e-10,9.712166e-10,1.9335005e-08,3.7536172e-06,3.7539942e-06,9.912809e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
7172000,7092000,0.999906,-0.008792093,-0.010528051,-0.00011397218,-0.0011942206,0.0038957612,-0.0050422396,-0.00027147567,0.00028472193,-0.038317755,-1.2545433e-05,-4.360088e-05,7.064993e-07,-2.4569916e-05,2.2987837e-05,-0.0010803152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.046579e-08,0.00015885661,0.000158899,0.00044979397,0.00084780034,0.00084777793,0.007685385,7.2902796e-05,7.290245e-05,0.2417851,3.191639e-10,3.184583e-10,9.071298e-09,3.7522927e-06,3.7526902e-06,5.8783677e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8172000,8092000,0.9999055,-0.008955976,-0.01042264,-0.00033594485,0.00035949156,0.0022882079,-0.0011479259,0.000108814806,0.0008047859,-0.037019588,-1.04460205e-05,-4.355487e-05,5.167082e-07,-2.464778e-05,1.9906987e-05,-0.001084249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91157e-08,0.00015799107,0.00015804422,0.00034392043,0.0011925198,0.0011925097,0.006341673,0.00015390411,0.00015390414,0.1902048,1.703978e-10,1.7022934e-10,4.3264543e-09,3.7519715e-06,3.75237e-06,5.000026e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
9172000,9092000,0.99990886,-0.0087811425,-0.010249387,-0.00042543936,0.0019365912,0.0028256006,-0.00028320402,0.00023323305,0.00047472506,-0.06809568,-9.89934e-06,-4.334983e-05,3.5380854e-08,-2.4266426e-05,1.8437539e-05,-0.0010855994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7121346e-08,0.00015661033,0.00015666286,0.00027763928,0.0009756906,0.0009757153,0.0056322017,0.00012132987,0.000121330384,0.6368979,9.582351e-11,9.571059e-11,2.39704e-09,3.7514637e-06,3.7518582e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
10172000,10092000,0.9999126,-0.0088243475,-0.00984279,-0.00036652983,0.0015480894,0.0013229271,0.003299497,0.000670684,0.0004749766,-0.06296958,-9.258783e-06,-4.400355e-05,-2.5267846e-07,-2.6756898e-05,1.7031474e-05,-0.0010841746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573121e-08,0.0001558506,0.00015590584,0.00023262037,0.00083109335,0.00083111605,0.0052683814,9.824771e-05,9.824898e-05,0.16998635,6.2233024e-11,6.21941e-11,1.4700104e-09,3.751125e-06,3.7515392e-06,5.0000075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
11172000,11092000,0.9999158,-0.008639845,-0.009682339,-0.0004226731,-0.0003551476,-0.0027311337,0.008453146,-7.986092e-05,-0.00044040685,-0.066152975,-9.281577e-06,-4.4082113e-05,-4.8583547e-07,-2.7512146e-05,1.7554019e-05,-0.0010769673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4673505e-08,0.00015545027,0.00015550155,0.00020016367,0.0007222714,0.00072231475,0.005038914,8.079476e-05,8.079694e-05,0.113147534,4.4607935e-11,4.456537e-11,9.698146e-10,3.750942e-06,3.7513828e-06,5.0000185e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
12172000,12092000,0.9999189,-0.008400538,-0.009569747,-0.0004547373,-0.0032902088,0.000104069106,0.012539977,-0.0005013231,-0.00040426105,-0.06530114,-9.774301e-06,-4.3789914e-05,-6.3776787e-07,-2.8169788e-05,1.9606536e-05,-0.00106172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367027e-08,0.0001552861,0.00015533334,0.00018903166,0.00063383946,0.0006337485,0.0048464932,6.7178924e-05,6.717664e-05,0.08057797,3.432167e-11,3.4259397e-11,7.2398315e-10,3.7508566e-06,3.7512607e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
13172000,13092000,0.9999195,-0.008212296,-0.009676339,-0.00040531773,0.0004555139,0.005181675,0.0138825625,3.6867923e-06,0.0011310928,-0.062458098,-9.81383e-06,-4.3535405e-05,-7.9212936e-07,-2.800243e-05,2.0994059e-05,-0.0010490485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.318464e-08,0.00015534164,0.00015538638,0.00016722702,0.0009312255,0.00093104737,0.0053590494,0.00013750083,0.00013748795,0.07018921,2.895386e-11,2.890455e-11,5.22783e-10,3.7506616e-06,3.7510235e-06,5.000022e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
