timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
3428000,3348000,13488881664,0.0006092646,0.014153969,0.0011702278,0,14.172738,10.008659,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3436000,3356000,13488881664,0.00055480294,0.004893209,0.0013911615,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3620000,3540000,13488881664,5.3293454e-05,0.002565249,0.0016315333,0,0.014314679,7.071068,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3828000,3748000,13488881665,0.00067061326,0.01841987,0.0056556845,0,0.010515763,5.7735023,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
4020000,3940000,13488881665,9.351082e-05,0.0073983027,0.0044614836,0,0.029806515,5.773505,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
4220000,4140000,4898947585,0.0003380537,0.0029124648,0.06009656,0,0.037669525,2.2180402,nan,nan,nan,0.004597683,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
4428000,4348000,4898947585,0.0003263969,0.002898838,0.025987292,0,0.03187252,1.493813,nan,nan,nan,0.0032412098,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
4628000,4548000,4898947585,0.00018920763,0.0024148482,0.0051765135,0,0.027567755,1.1362983,nan,nan,nan,0.00020370797,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
4828000,4748000,4898947585,0.00023186674,0.0020587076,0.011050046,0,0.02516533,0.9907282,nan,nan,nan,0.005327603,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5028000,4948000,4898947585,0.00024354387,0.0017222256,0.012162743,0,0.023343762,0.8625789,nan,nan,nan,0.006488467,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5228000,5148000,4898947585,0.00024542914,0.0017886611,0.007098891,0,0.021710286,0.7939312,nan,nan,nan,0.0035945757,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5428000,5348000,4898947585,0.00016917428,0.0017803787,0.00699948,0,0.020256529,0.73971826,nan,nan,nan,0.0007068338,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5628000,5548000,4898947585,0.00013139317,0.0013172172,0.00432571,0,0.019008957,0.68222016,nan,nan,nan,0.0014034526,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5820000,5740000,4898947585,9.936722e-05,0.00071057957,0.0073746094,0,0.01753932,0.647307,nan,nan,nan,0.0073928013,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
6028000,5948000,4898947585,0.00011928597,0.0014137183,0.0029507848,0,0.017082121,0.6176198,nan,nan,nan,0.00011725037,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
6228000,6148000,4898947585,7.119233e-05,0.0015404412,0.0023123831,0,0.01633837,0.58357495,nan,nan,nan,0.00035294273,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
6420000,6340000,4898947585,4.8310558e-05,0.0013178196,0.0042902464,0,0.0153633,0.5618279,nan,nan,nan,0.004639693,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
6628000,6548000,4898947585,4.4099206e-06,0.0014166996,0.004234458,0,0.015141928,0.53630036,nan,nan,nan,0.0037247594,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
6820000,6740000,4898947585,0.000121831305,0.0023650979,0.0033789803,0,0.014347127,0.5196163,nan,nan,nan,0.0023252675,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
