timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used,selected_rtcm_instance
3992000,0,1698224814411984,0,473977508,85456074,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,5.0005426,0,nan,nan,0.0,0.0,0,3,0,1,10,0
4792000,0,1698224815211984,0,473977508,85456074,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.03,0.39043012,0,nan,nan,0.0,0.0,0,3,0,1,10,0
5992000,0,1698224816407984,0,473977508,85456074,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.02,2.0909042,0,nan,nan,0.0,0.0,0,3,0,1,10,0
6792000,0,1698224817211984,0,473977508,85456074,488108,488108,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.04,5.775469,0,nan,nan,0.0,0.0,0,3,0,1,10,0
7992000,0,1698224818407984,0,473977508,85456074,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.02,6.1915555,0,nan,nan,0.0,0.0,0,3,0,1,10,0
8792000,0,1698224819211984,0,473977508,85456074,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.776846,0,nan,nan,0.0,0.0,0,3,0,1,10,0
9992000,0,1698224820411984,0,473977508,85456074,488094,488094,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.9251716,0,nan,nan,0.0,0.0,0,3,0,1,10,0
10792000,0,1698224821211984,0,473977508,85456074,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.47054073,0,nan,nan,0.0,0.0,0,3,0,1,10,0
11992000,0,1698224822411984,0,473977507,85456074,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,0.0,0.5305801,0,nan,nan,0.0,0.0,0,3,0,1,10,0
12792000,0,1698224823211984,0,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.01,0.03,5.923822,0,nan,nan,0.0,0.0,0,3,0,1,10,0
13992000,0,1698224824411984,0,473977508,85456075,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.03,0.37629297,0,nan,nan,0.0,0.0,0,3,0,1,10,0
14792000,0,1698224825211984,0,473977508,85456074,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.0,1.7037903,0,nan,nan,0.0,0.0,0,3,0,1,10,0
15992000,0,1698224826411984,0,473977508,85456074,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.9141762,0,nan,nan,0.0,0.0,0,3,0,1,10,0
16792000,0,1698224827207984,0,473977508,85456074,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.01,4.272217,0,nan,nan,0.0,0.0,0,3,0,1,10,0
17992000,0,1698224828411984,0,473977508,85456074,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.02,3.6711254,0,nan,nan,0.0,0.0,0,3,0,1,10,0
18792000,0,1698224829207984,0,473977508,85456073,488097,488097,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.02,5.914048,0,nan,nan,0.0,0.0,0,3,0,1,10,0
19992000,0,1698224830411984,0,473977508,85456074,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,5.3951616,0,nan,nan,0.0,0.0,0,3,0,1,10,0
20792000,0,1698224831207984,0,473977508,85456074,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.17470746,0,nan,nan,0.0,0.0,0,3,0,1,10,0
21992000,0,1698224832411984,0,473977508,85456073,488127,488127,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.07,0.0,-0.089999996,-0.13,4.6060987,0,nan,nan,0.0,0.0,0,3,0,1,10,0
22792000,0,1698224833207984,0,473977527,85456033,488259,488259,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.0,0.66999996,-0.69,-0.39,5.4771924,0,nan,nan,0.0,0.0,0,3,0,1,10,0
23992000,0,1698224834411984,0,473977554,85455987,489147,489147,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.41,-0.32,0.26999998,-0.78,2.4357815,0,nan,nan,0.0,0.0,0,3,0,1,10,0
24792000,0,1698224835207984,0,473977513,85456043,489647,489647,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.03,-0.74,0.71,-0.29999998,2.3794074,0,nan,nan,0.0,0.0,0,3,0,1,10,0
25992000,0,1698224836411984,0,473977430,85456163,489408,489408,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.90999997,-0.64,0.66999996,0.75,2.3392649,0,nan,nan,0.0,0.0,0,3,0,1,10,0
26792000,0,1698224837207984,0,473977407,85456199,488854,488854,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,0.06,-0.049999997,0.59,5.5698695,0,nan,nan,0.0,0.0,0,3,0,1,10,0
27992000,0,1698224838411984,0,473977475,85456106,488315,488315,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.31,0.97999996,-0.85999995,0.17999999,5.5581756,0,nan,nan,0.0,0.0,0,3,0,1,10,0
28792000,0,1698224839207984,0,473977544,85456019,488368,488368,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.11,0.87,-0.69,-0.29999998,5.6126294,0,nan,nan,0.0,0.0,0,3,0,1,10,0
29992000,0,1698224840411984,0,473977610,85455949,489143,489143,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.41,0.35999998,-0.22999999,-0.87,5.698674,0,nan,nan,0.0,0.0,0,3,0,1,10,0
30792000,0,1698224841207984,0,473977623,85455938,489909,489909,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.01,0.03,-0.83,1.8695966,0,nan,nan,0.0,0.0,0,3,0,1,10,0
31992000,0,1698224842411984,0,473977589,85455978,490745,490745,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.61,-0.48999998,0.38,-0.53,2.4747021,0,nan,nan,0.0,0.0,0,3,0,1,10,0
32792000,0,1698224843207984,0,473977555,85456018,491084,491084,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.53,-0.39999998,0.34,-0.32999998,2.435607,0,nan,nan,0.0,0.0,0,3,0,1,10,0
33992000,0,1698224844407984,0,473977524,85456057,491332,491332,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.22999999,-0.17,0.12,-0.21,2.523746,0,nan,nan,0.0,0.0,0,3,0,1,10,0
34792000,0,1698224845207984,0,473977514,85456068,491398,491398,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.11,-0.06,0.06,0.0,2.3849924,0,nan,nan,0.0,0.0,0,3,0,1,10,0
35992000,0,1698224846407984,0,473977507,85456077,491351,491351,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.07,-0.02,0.07,0.03,1.9703022,0,nan,nan,0.0,0.0,0,3,0,1,10,0
36792000,0,1698224847207984,0,473977504,85456083,491280,491280,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,-0.06,0.04,0.13,2.4726079,0,nan,nan,0.0,0.0,0,3,0,1,10,0
37992000,0,1698224848407984,0,473977498,85456091,491140,491140,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.03,0.06,0.089999996,2.0519836,0,nan,nan,0.0,0.0,0,3,0,1,10,0
38792000,0,1698224849207984,0,473977496,85456094,491055,491055,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.0,0.02,0.14,1.7135643,0,nan,nan,0.0,0.0,0,3,0,1,10,0
39992000,0,1698224850407984,0,473977495,85456095,490951,490951,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,-0.01,0.07,5.3485613,0,nan,nan,0.0,0.0,0,3,0,1,10,0
40792000,0,1698224851207984,0,473977494,85456094,490883,490883,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,0.0,0.049999997,5.15483,0,nan,nan,0.0,0.0,0,3,0,1,10,0
41992000,0,1698224852407984,0,473977495,85456091,490833,490833,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.02,0.0,0.04,5.9840355,0,nan,nan,0.0,0.0,0,3,0,1,10,0
42792000,0,1698224853207984,0,473977497,85456090,490796,490796,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.03,-0.02,0.02,5.6142,0,nan,nan,0.0,0.0,0,3,0,1,10,0
43992000,0,1698224854407984,0,473977503,85456086,490765,490765,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,0.06,-0.04,0.0,5.6756363,0,nan,nan,0.0,0.0,0,3,0,1,10,0
44788000,0,1698224855207984,0,473977506,85456082,490751,490751,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.04,-0.02,0.01,5.7356753,0,nan,nan,0.0,0.0,0,3,0,1,10,0
