timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3660000,3660000,0.68374956,0.0018634066,-0.015328002,0.72955346,1.0,0.0,0.0,0.0,0
3664000,3664000,0.68375045,0.0018497268,-0.015325519,0.7295527,1.0,0.0,0.0,0.0,0
3668000,3668000,0.68375134,0.0018374549,-0.015319976,0.729552,1.0,0.0,0.0,0.0,0
3676000,3676000,0.68499804,0.0017820311,-0.015314315,0.7283818,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3680000,3680000,0.68499404,0.0017676601,-0.015310634,0.7283857,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3684000,3684000,0.68499285,0.001750584,-0.015302885,0.728387,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3692000,3692000,0.6849931,0.0017211661,-0.015289022,0.7283871,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3696000,3696000,0.6849896,0.0017070911,-0.015279192,0.7283907,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3700000,3700000,0.6849845,0.0016884434,-0.015268749,0.72839576,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3708000,3708000,0.6849734,0.001657658,-0.01526146,0.7284063,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3716000,3716000,0.6849721,0.0016329418,-0.015246647,0.7284079,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3720000,3720000,0.684974,0.0016191149,-0.01523787,0.7284063,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3724000,3724000,0.68497443,0.0016050473,-0.01522232,0.7284063,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3728000,3728000,0.68497366,0.0015910489,-0.015209117,0.7284074,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3736000,3736000,0.6849693,0.0015598162,-0.01519577,0.7284118,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3740000,3740000,0.6849635,0.0015430783,-0.015188834,0.72841746,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3744000,3744000,0.68496454,0.0015256885,-0.0151805505,0.72841674,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3748000,3748000,0.68496627,0.0015101618,-0.015171078,0.7284153,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3756000,3756000,0.68496877,0.0014894777,-0.015159608,0.72841316,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
3760000,3760000,0.6849721,0.0014785903,-0.015153633,0.72841024,0.9999986,-9.313227e-10,-5.8207666e-10,-0.0017137232,1
