timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3592000,3592000,1310988,1310988,-2.1305323e-06,-2.876214e-05,-3.1958023e-06,-0.0008906431,0.0007709337,-0.03967672,4000,4000,0,0,0,1
4092000,4092000,1310988,1310988,-1.0652649e-06,-1.7044234e-05,1.0652686e-06,-0.000794875,0.0007038961,-0.039796427,4000,4000,0,0,0,1
4592000,4592000,1310988,1310988,-1.3848441e-05,-1.3848436e-05,-6.3915904e-06,-0.0008762779,0.0007038961,-0.039743755,4000,4000,0,0,0,1
5092000,5092000,1310988,1310988,-7.4568543e-06,-2.2370556e-05,4.261065e-06,-0.00083797064,0.00078051054,-0.039767694,4000,4000,0,0,0,1
5592000,5592000,1310988,1310988,-5.3263316e-06,-1.5978967e-05,3.1957884e-06,-0.00076614454,0.0007900873,-0.039853882,4000,4000,0,0,0,1
6092000,6092000,1310988,1310988,-3.1957902e-06,-1.17179125e-05,-4.261057e-06,-0.0007517794,0.00069431926,-0.039806,4000,4000,0,0,0,1
6592000,6592000,1310988,1310988,-2.1305418e-06,-3.515373e-05,-1.0652554e-06,-0.0008810663,0.0007086845,-0.039806,4000,4000,0,0,0,1
7092000,7092000,1310988,1310988,-1.384845e-05,-1.1717903e-05,5.3263097e-06,-0.00084275904,0.0007948758,-0.039815575,4000,4000,0,0,0,1
7592000,7592000,1310988,1310988,-1.7021823e-12,-1.8109497e-05,4.2610704e-06,-0.00083797064,0.00078529894,-0.03969108,4000,4000,0,0,0,1
8092000,8092000,1310988,1310988,1.0652521e-06,-1.3848442e-05,-5.3263157e-06,-0.000794875,0.0006751657,-0.039724596,4000,4000,0,0,0,1
8592000,8592000,1310988,1310988,3.195802e-06,-2.5566347e-05,-8.522125e-06,-0.0009097966,0.0008427598,-0.03966714,4000,4000,0,0,0,1
9092000,9092000,1310988,1310988,1.8109497e-05,-2.556635e-05,5.32634e-06,-0.0008236055,0.0007374149,-0.039853882,4000,4000,0,0,0,1
9592000,9592000,1310988,1310988,-8.522115e-06,-9.587381e-06,3.195796e-06,-0.0007565678,0.0007182613,-0.03975812,4000,4000,0,0,0,1
10092000,10092000,1310988,1310988,5.3263366e-06,-2.1305286e-05,-1.2783176e-05,-0.0007948751,0.0007038961,-0.039595313,4000,4000,0,0,0,1
10592000,10592000,1310988,1310988,-6.3915945e-06,-2.3435818e-05,5.326329e-06,-0.00080445193,0.00069910765,-0.03968629,4000,4000,0,0,0,1
11092000,11092000,1310988,1310988,-1.0652936e-06,-2.5566349e-05,-3.1958002e-06,-0.0008858547,0.00065601204,-0.039715026,4000,4000,0,0,0,1
11592000,11592000,1310988,1310988,-5.3263248e-06,-1.7044238e-05,3.195775e-06,-0.0007948751,0.00060812803,-0.039662346,4000,4000,0,0,0,1
12092000,12092000,1310988,1310988,-6.3915936e-06,-1.5978965e-05,-3.195799e-06,-0.0008140287,0.0007613569,-0.039748542,4000,4000,0,0,0,1
12592000,12592000,1310988,1310988,-2.1305273e-06,-2.3435821e-05,-2.1305402e-06,-0.0007996635,0.0007852989,-0.03955222,4000,4000,0,0,0,1
13092000,13092000,1310988,1310988,1.0652756e-06,-2.6631615e-05,-8.522107e-06,-0.0007996635,0.0007038961,-0.039762903,4000,4000,0,0,0,1
13592000,13592000,1310988,1310988,-4.261073e-06,-1.7044244e-05,-1.3848424e-05,-0.00066558813,0.0007948758,-0.039839517,4000,4000,0,0,0,1
14092000,14092000,1310988,1310988,-1.384843e-05,-2.5566354e-05,3.195799e-06,-0.0007422026,0.00058418605,-0.039724596,4000,4000,0,0,0,1
14592000,14592000,1310988,1310988,5.673944e-12,-2.3435823e-05,-6.3915836e-06,-0.0006703766,0.0007948758,-0.03966714,4000,4000,0,0,0,1
15092000,15092000,1310988,1310988,-9.587381e-06,-2.5566354e-05,-7.456839e-06,-0.00069431856,0.0006464352,-0.039662346,4000,4000,0,0,0,1
