timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
3272000,3189914,0,0,-0.001739502,12.25,1.3032695e-05,112.451,6.041784e-14,3,0,0,0
3336000,3250907,0,0,-0.011505127,12.25,0.012689596,112.25,5.7381147e-08,3,0,0,0
3392000,3311031,0,0,0.0017700195,12.25,-0.0012579176,112.25,5.638688e-10,3,0,0,0
3456000,3371060,0,0,-0.01626587,12.25,0.015784472,62.25,1.600961e-07,3,0,0,0
3512000,3431175,0,0,-0.013305664,12.25,0.01422106,62.249985,1.2995251e-07,3,0,0,0
3568000,3487192,0,0,0.026000977,12.25,-0.025196234,62.249985,4.0793594e-07,3,0,0,0
3624000,3539262,0,0,-0.03591919,12.25,0.036490753,62.249985,8.556308e-07,3,0,0,0
3680000,3599305,0,0,0.0010375977,12.25,-0.00094669627,45.58333,7.864575e-10,3,0,0,0
3744000,3659371,0,0,-0.046020508,12.25,0.04563807,45.58333,1.827715e-06,3,0,0,0
3800000,3719408,0,0,0.11437988,12.25,-0.11525771,45.58333,1.1657191e-05,3,0,0,0
3864000,3778120,0,0,0.017700195,12.25,-0.019212078,45.58337,3.2389352e-07,3,0,0,0
3920000,3839486,3840000,0,-0.02923584,12.25,0.0275787,37.250046,8.1673426e-07,3,0,0,0
3984000,3899530,3904000,0,-0.14395142,12.25,0.14154749,37.250107,2.1514774e-05,3,1,0,1
4040000,3959558,3960000,0,0.010955811,12.25,-0.10911657,20.47152,2.326437e-05,3,1,0,1
4104000,4019596,4024000,0,-0.106414795,12.25,0.051126923,17.169739,6.0896964e-06,3,1,0,1
4160000,4079620,4080000,0,-0.04537964,12.25,-0.025268838,15.760104,1.6205837e-06,3,1,0,1
4224000,4139653,4144000,0,0.043823242,12.25,-0.10987721,14.978404,3.2241085e-05,3,1,0,1
4280000,4199673,4200000,0,-0.02658081,12.25,-0.020429347,14.481495,1.1528042e-06,3,1,0,1
4344000,4259701,4264000,0,-0.1111145,12.25,0.066525064,14.137736,1.2521337e-05,3,1,0,1
4400000,4319719,4320000,0,-0.08291626,12.25,0.0284772,13.8858,2.3360578e-06,3,1,0,1
4464000,4379746,4384000,0,-0.003112793,12.25,-0.055870406,13.693273,9.118353e-06,3,1,0,1
4520000,4439758,4440000,0,-0.08291626,12.25,0.028723735,13.541339,2.4371384e-06,3,1,0,1
4584000,4499779,4504000,0,0.039154053,12.25,-0.09651747,13.418357,2.7769787e-05,3,1,0,1
