timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3160000,3160000,3160000,0,0.0,0.0,0.25,0.25,3.1109433e-08,-4.019123e-09,0.500009,0.500009,2.150621e-16,3.5895685e-18,3,0,0,0
3448000,3368000,3368000,0,0.0,0.0,1e-04,1e-04,0.00037647234,-0.00043354908,100.000175,100.000175,1.5747907e-10,2.0884941e-10,3,1,0,1
3656000,3576000,3576000,0,0.0,0.0,1e-04,1e-04,-1.0852822e-05,5.949626e-06,0.00021544771,0.00021545053,6.074366e-08,1.8255312e-08,3,1,0,1
3864000,3784000,3784000,0,0.0,0.0,1e-04,1e-04,0.00028777454,3.0294077e-05,0.00059110223,0.0005911916,1.5566811e-05,1.7248237e-07,3,1,0,1
4072000,3992000,3992000,0,0.0,0.0,1e-04,1e-04,0.0006661796,-3.831781e-05,0.00093222695,0.00093227485,5.2895466e-05,1.7499066e-07,3,1,0,1
4280000,4200000,4200000,0,0.0,0.0,1e-04,1e-04,0.0005516252,-1.1340605e-05,0.0006811966,0.000681207,4.9633316e-05,2.097736e-08,3,1,0,1
4488000,4408000,4408000,0,0.0,0.0,1e-04,1e-04,0.0007008813,-3.269192e-05,0.0005584046,0.0005584091,9.7745644e-05,2.1266005e-07,3,1,0,1
4696000,4616000,4616000,0,0.0,0.0,1e-04,1e-04,0.0007153875,-0.00034287528,0.0005020856,0.00050208636,0.00011325632,2.6016654e-05,3,1,0,1
4904000,4824000,4824000,0,0.0,0.0,1e-04,1e-04,0.00047964082,-0.0007658438,0.00046191856,0.0004619149,5.5338114e-05,0.0001410834,3,1,0,1
5112000,5032000,5032000,0,0.0,0.0,1e-04,1e-04,0.00030552692,-0.000604868,0.00042529343,0.0004252911,2.438753e-05,9.558559e-05,3,1,0,1
5320000,5240000,5240000,0,0.0,0.0,1e-04,1e-04,0.00042248532,-0.0003725266,0.00039291778,0.0003929156,5.047532e-05,3.9243958e-05,3,1,0,1
5528000,5448000,5448000,0,0.0,0.0,1e-04,1e-04,0.00027771934,0.00031064896,0.00036616524,0.00036616475,2.3404136e-05,2.9283348e-05,3,1,0,1
5736000,5656000,5656000,0,0.0,0.0,1e-04,1e-04,0.00030444434,0.0005106377,0.00034497865,0.0003449786,2.9852526e-05,8.398295e-05,3,1,0,1
5944000,5864000,5864000,0,0.0,0.0,1e-04,1e-04,0.00024741056,0.00028346432,0.00032838597,0.00032838684,2.0711395e-05,2.7187454e-05,3,1,0,1
6152000,6072000,6072000,0,0.0,0.0,1e-04,1e-04,0.0002550453,0.00011477173,0.00031535688,0.00031535813,2.2918692e-05,4.641125e-06,3,1,0,1
6360000,6280000,6280000,0,0.0,0.0,1e-04,1e-04,1.5078091e-05,-3.3625074e-06,0.00030497572,0.000304977,8.282948e-08,4.1192383e-09,3,1,0,1
6568000,6488000,6488000,0,0.0,0.0,1e-04,1e-04,-0.00062848756,6.8928406e-05,0.0002965821,0.00029658398,0.000147981,1.7799439e-06,3,1,0,1
6776000,6696000,6696000,0,0.0,0.0,1e-04,1e-04,-0.00079404993,0.00021508364,0.00028970474,0.00028970538,0.00024182296,1.7742535e-05,3,1,0,1
