timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
3408000,3289097,0,0,-488.10403,1.0,488.10428,101.0,94.35477,3,0,1,0
3808000,3689454,0,0,-488.11102,1.0,488.11008,34.33333,277.57455,3,0,1,0
4208000,4089670,0,0,-0.06564331,1.0,-0.00014100224,3.7283819,2.1330036e-10,3,0,0,0
4608000,4489800,0,0,-0.06665039,1.0,0.017251622,2.0667179,5.7602147e-06,3,0,0,0
5008000,4885879,0,0,-0.06665039,1.0,0.01649449,1.6639848,6.5401605e-06,3,0,0,0
5408000,5289927,0,0,-0.061645508,1.0,0.01462521,1.5029597,5.6926815e-06,3,0,0,0
5808000,5689956,0,0,-0.06765747,1.0,0.021297865,1.392902,1.3026013e-05,3,0,0,0
6208000,6089974,0,0,-0.06265259,1.0,0.018075611,1.323246,9.876552e-06,3,0,0,0
6608000,6489984,0,0,-0.073638916,1.0,0.029072702,1.2753056,2.6510414e-05,3,0,0,0
7008000,6889991,0,0,-0.074645996,1.0,0.02995351,1.2464645,2.8792243e-05,3,0,0,0
7408000,7289995,0,0,-0.06866455,1.0,0.028734699,1.2189786,2.7094255e-05,3,0,0,0
7808000,7689997,0,0,-0.06665039,1.0,0.025975235,1.1975479,2.2536478e-05,3,0,0,0
8208000,8089998,0,0,-0.06765747,1.0,0.02519048,1.1804284,2.1502712e-05,3,0,0,0
8608000,8489999,8528000,0,-0.06765747,1.0,0.022775888,1.1687559,1.7753617e-05,3,0,0,0
9016000,8894000,8936000,0,-0.07064819,1.0,0.006718211,1.6369891,1.1028627e-06,3,1,0,1
9408000,9290000,9328000,0,-0.06564331,1.0,-0.00031675398,1.3194616,3.0416374e-09,3,1,0,1
9808000,9690000,9728000,0,-0.056640625,1.0,-0.004964404,1.2142677,8.118574e-07,3,1,0,1
10208000,10090000,10128000,0,-0.055664062,1.0,-0.0029260516,1.1622032,2.9467407e-07,3,1,0,1
10608000,10490000,10528000,0,-0.060638428,1.0,0.0023076013,1.1328294,1.8802561e-07,3,1,0,1
11008000,10890000,10928000,0,-0.061645508,1.0,0.005024586,1.1122625,9.0793185e-07,3,1,0,1
11408000,11290000,11328000,0,-0.07766724,1.0,0.022930581,1.0979313,1.9156447e-05,3,1,0,1
11808000,11690000,11728000,0,-0.074645996,1.0,0.019310053,1.0874697,1.3715441e-05,3,1,0,1
12216000,12094000,12136000,0,-0.06564331,1.0,0.012034133,1.0805771,5.360852e-06,3,1,0,1
12608000,12490000,12528000,0,-0.06765747,1.0,0.012408789,1.0744163,5.7325287e-06,3,1,0,1
13008000,12890000,12928000,0,-0.06964111,1.0,0.013525698,1.0696381,6.8413606e-06,3,1,0,1
13408000,13290000,13328000,0,-0.073638916,1.0,0.018232223,1.0661501,1.2471563e-05,3,1,0,1
13808000,13690000,13728000,0,-0.074645996,1.0,0.01697294,1.0629796,1.0840498e-05,3,1,0,1
14208000,14090000,14128000,0,-0.076660156,1.0,0.0197687,1.0603592,1.474223e-05,3,1,0,1
14608000,14490000,14528000,0,-0.07165527,1.0,0.01523808,1.0584483,8.775075e-06,3,1,0,1
15008000,14890000,14928000,0,-0.07266235,1.0,0.015582606,1.0565888,9.192512e-06,3,1,0,1
15408000,15290000,15328000,0,-0.08065796,1.0,0.022336476,1.0550096,1.8916155e-05,3,1,0,1
15808000,15690000,15728000,0,-0.06365967,1.0,0.0046160966,1.053895,8.0874656e-07,3,1,0,1
16208000,16090000,16128000,0,-0.06866455,1.0,0.009041864,1.0527283,3.1064167e-06,3,1,0,1
16608000,16490000,16528000,0,-0.06365967,1.0,0.0036281832,1.0517191,5.006551e-07,3,1,0,1
17008000,16890000,16928000,0,-0.06466675,1.0,0.009096127,1.0542133,3.1393847e-06,3,1,0,1
17408000,17290000,17328000,0,-0.07064819,1.0,0.020908255,1.0578725,1.6529595e-05,3,1,0,1
17808000,17690000,17728000,0,-0.06964111,1.0,0.025650822,1.0630647,2.4757275e-05,3,1,0,1
18208000,18090000,18128000,0,-0.06765747,1.0,0.029585708,1.0702322,3.2714925e-05,3,1,0,1
18608000,18490000,18528000,0,-0.061645508,1.0,0.031446077,1.0780853,3.668933e-05,3,1,0,1
19008000,18890000,18928000,0,-0.06466675,1.0,0.041503415,1.0881742,6.331829e-05,3,1,0,1
19408000,19290000,19328000,0,-0.06866455,1.0,0.051839426,1.0985138,9.785315e-05,3,1,0,1
19808000,19690000,19728000,0,-0.10864258,1.0,0.045717254,1.1089721,7.538756e-05,3,1,0,1
20208000,20090000,20128000,0,-0.28466797,1.0,0.058164388,1.1188717,0.0001209467,3,1,0,1
20608000,20490000,20528000,0,-0.51763916,1.0,0.049988,1.1291213,8.852195e-05,3,1,0,1
