timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
3408000,3289097,0,0,0.0,0.0,0.02,0.09,0.09,0.20250002,0.003691886,-0.0050980616,-0.037832286,0.110578135,0.110580035,0.20386405,4.9304585e-06,9.401419e-06,0.00028083066,3,1,0,0
3808000,3689454,0,0,0.0,0.0,-0.02,0.09,0.09,0.20250002,0.0019386476,0.0002605619,0.01055311,0.100639395,0.10064162,0.20363148,1.4937906e-06,2.6983868e-08,2.1876409e-05,3,1,0,0
4208000,4089670,0,0,0.0,0.01,0.01,0.09,0.09,0.20250002,0.002694598,-0.010020971,-0.026734905,0.09669334,0.09669349,0.20638606,3.0036645e-06,4.1541516e-05,0.0001385278,3,1,0,0
4608000,4489800,0,0,0.02,0.01,-0.04,0.09,0.09,0.20250002,-0.017230572,-0.011912482,0.021492042,0.09394309,0.09394308,0.20915326,0.00012641383,6.042264e-05,8.833863e-05,3,1,0,0
5008000,4885879,0,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,0.00094165595,-0.0023285141,-0.006742632,0.09267161,0.09267157,0.21063042,3.8273467e-07,2.3402984e-06,8.633717e-06,3,1,0,0
5408000,5289927,0,0,-0.01,0.01,0.03,0.09,0.09,0.20250002,0.011166957,-0.008191418,-0.044048265,0.09183453,0.09183452,0.2109056,5.4315493e-05,2.9226187e-05,0.00036798447,3,1,0,0
5808000,5689956,0,0,0.0,0.01,-0.02,0.09,0.09,0.20250002,0.0007151669,-0.009204858,0.0072281845,0.09137536,0.09137537,0.21056826,2.2389568e-07,3.70907e-05,9.924886e-06,3,1,0,0
6208000,6089974,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.00043795403,-0.00015928657,-0.010773286,0.0911124,0.09111241,0.2100249,8.420533e-08,1.1138861e-08,2.210475e-05,3,1,0,0
6608000,6489984,0,0,-0.01,-0.01,-0.01,0.09,0.09,0.20250002,0.0072930986,0.010435374,0.0021743197,0.090945445,0.09094545,0.20946272,2.3393932e-05,4.789554e-05,9.028177e-07,3,1,0,0
7008000,6889991,0,0,-0.01,-0.01,-0.01,0.09,0.09,0.20250002,0.008828275,0.013995869,0.0035439897,0.09084781,0.090847775,0.21018966,3.4316043e-05,8.624728e-05,2.3901964e-06,3,1,0,0
7408000,7289995,0,0,0.01,0.0,0.049999997,0.09,0.09,0.20250002,-0.008855035,0.004658025,-0.053560495,0.09075888,0.090758845,0.20956442,3.455822e-05,9.562571e-06,0.0005475599,3,1,0,0
7808000,7689997,0,0,0.01,0.0,0.02,0.09,0.09,0.20250002,-0.00948006,0.0027764048,-0.021484237,0.09125103,0.09125097,0.20905147,3.9395298e-05,3.3789993e-06,8.831747e-05,3,1,0,0
8208000,8089998,0,0,0.02,0.0,0.0,0.09,0.09,0.20250002,-0.021809475,0.0013345286,-0.0029567555,0.091140434,0.09114039,0.20865402,0.00020875619,7.816366e-07,1.6759616e-06,3,1,0,0
8608000,8489999,0,0,-0.02,0.0,0.049999997,0.09,0.09,0.20250002,0.019394511,0.0010914351,-0.051254757,0.09105035,0.091050364,0.20834385,0.00016524794,5.233282e-07,0.00050436816,3,1,0,0
9016000,8894000,0,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,0.0025956642,0.0026484816,0.009699764,0.09099503,0.09099514,0.20816131,2.9616883e-06,3.0834417e-06,1.8079327e-05,3,1,0,0
9408000,9290000,0,0,0.0,-0.02,0.0,0.09,0.09,0.20250002,0.0029525515,0.022650424,2.0600855e-05,0.09091203,0.09091212,0.20796666,3.8356025e-06,0.00022573084,8.162756e-11,3,1,0,0
9808000,9690000,0,0,-0.02,0.01,-0.03,0.09,0.09,0.20250002,0.023514198,-0.0071732327,0.03225281,0.090856396,0.09085643,0.20783122,0.0002434248,2.2653438e-05,0.00020020935,3,1,0,0
10208000,10090000,0,0,0.02,0.01,0.0,0.09,0.09,0.20250002,-0.020020729,-0.009730052,0.0048840716,0.09080706,0.090807065,0.20771936,0.00017656319,4.1703326e-05,4.5935353e-06,3,1,0,0
10608000,10490000,0,0,0.0,0.0,0.02,0.09,0.09,0.20250002,-0.0016824239,-0.0014275606,-0.014601041,0.090762876,0.09076289,0.20762268,1.2474485e-06,8.981332e-07,4.107266e-05,3,1,0,0
11008000,10890000,0,0,0.01,-0.02,0.01,0.09,0.09,0.20250002,-0.010543705,0.01714286,-0.0014987979,0.09072228,0.09072229,0.20753749,4.9015398e-05,0.0001295724,4.329618e-07,3,1,0,0
11408000,11290000,0,0,0.01,0.0,0.02,0.09,0.09,0.20250002,-0.012254764,-0.0033375614,-0.008764204,0.09068494,0.09068497,0.20746082,6.6242195e-05,4.913412e-06,1.4809787e-05,3,1,0,0
