timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
3688000,3688000,0,nan,nan,0.0018915025,-0.0021857503,-0.0073482753,-3.1109433e-08,4.019123e-09,0.0,0.006745504,-0.0063074827,-0.024212506,-0.01909015,-5.1849056e-06,6.6985376e-07,0.0017844737,0.012230186,0.0036981944,-0.017467884,-3.0238165e-05,0.0,nan,0.10739145,0.011183025,5.7735023,0.075189605,0.023713585,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
4192000,4192000,0,nan,nan,0.0022246763,-0.00036539361,-0.048053153,-3.1109433e-08,4.019123e-09,0.0,0.007064738,0.0005211005,-0.018492157,-0.047874223,-5.1849056e-06,6.6985376e-07,0.0017844737,0.051123116,0.019597718,-0.034483146,-3.230183e-05,0.0,nan,0.1,0.023145791,1.6517755,0.11035428,0.061110087,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1
4688000,4688000,4204000,47.3977508,8.5456073,0.0019989484,-0.0001911026,-0.059909213,-3.1109433e-08,4.019123e-09,0.0,0.0053107035,-0.0035601067,-0.020499503,-0.040811703,-5.1849056e-06,6.6985376e-07,0.0017844737,0.023530154,-0.031275034,-0.024686566,0.0001915837,0.0,488.03537,0.10747926,0.027533665,0.99076337,0.107607596,0.08706539,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
5184000,5184000,4204000,47.3977508,8.5456073,0.0006078214,-0.0010861423,-0.057966143,-3.1109433e-08,4.019123e-09,0.0,0.002043357,-0.0028919557,-0.01855625,-0.021466931,-5.1849056e-06,6.6985376e-07,0.0017844737,0.012327945,-0.01620638,0.0030398367,-0.00011909257,0.0,488.03537,0.112434894,0.015536006,0.75625783,0.06301056,0.09025157,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
5688000,5688000,4204000,47.3977508,8.5456073,-0.0002007936,0.001007024,-0.052794028,-3.1109433e-08,4.019123e-09,0.0,0.00036018094,0.0032356973,-0.014818636,-0.0062927534,-5.1849056e-06,6.6985376e-07,0.0017844737,0.0286478,-1.2136296e-05,-0.00071339303,-1.0881011e-05,0.0,488.03537,0.10914339,0.019277567,0.6474761,0.0646617,0.09461103,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
6192000,6192000,4204000,47.3977508,8.5456073,-0.0005314408,0.0010830902,-0.050003264,-3.1109433e-08,4.019123e-09,0.0,-0.0010440191,0.0009486393,-0.011816757,0.0001637855,-5.1849056e-06,6.6985376e-07,0.0017844737,-0.009502865,-0.017615354,-0.030848196,-7.606223e-05,0.0,488.03537,0.10559882,0.012916912,0.568382,0.04586613,0.08617047,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
6688000,6688000,4204000,47.3977508,8.5456073,-0.0021621983,0.0008107609,-0.046640914,-3.1109433e-08,4.019123e-09,0.0,-0.0055225017,0.0029614954,-0.007828559,0.0050447057,-5.1849056e-06,6.6985376e-07,0.0017844737,0.024707928,0.0046672355,0.0047115604,3.51585e-05,0.0,488.03537,0.101415485,0.01558551,0.51987123,0.04939865,0.08592629,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
7184000,7184000,4204000,47.3977508,8.5456073,-0.001929469,0.0026066173,-0.043254424,-3.1109433e-08,4.019123e-09,0.0,-0.0023528577,0.009161284,-0.0024360404,0.009458372,-5.1849056e-06,6.6985376e-07,0.0017844737,0.022086851,-0.0022789899,-0.034983266,-0.0002058996,0.0,488.03537,0.10181021,0.018567277,0.4833865,0.052778345,0.085151084,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
7688000,7688000,4204000,47.3977508,8.5456073,-0.00022299791,0.003210164,-0.038442902,-3.1109433e-08,4.019123e-09,0.0,0.0004283569,0.0060067694,0.0006654096,0.011450484,-5.1849056e-06,6.6985376e-07,0.0017844737,-0.017990809,-0.009063441,0.023405066,-0.00045910495,0.0,488.03537,0.1,0.013533257,0.44978175,0.04253973,0.078008264,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
8184000,8184000,4204000,47.3977508,8.5456073,-0.00027833198,0.0013675855,-0.039910372,-3.1109433e-08,4.019123e-09,0.0,-0.0026288591,0.0025982305,-0.001715037,0.003607387,-5.1849056e-06,6.6985376e-07,0.0017844737,0.026653199,0.007437207,-0.0440143,-0.0006509331,0.0,488.03537,0.1,0.016180448,0.42749625,0.046330553,0.0778735,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
