timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
3264000,3184000,13488881664,0.00036486212,0.017910013,0.0014817517,0,14.172738,10.008659,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3272000,3192000,13488881664,0.00033199613,0.0050711185,0.0015923064,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3280000,3200000,13488881664,0.00030234433,0.0049703675,0.0015881618,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3288000,3208000,13488881664,7.1770424e-05,0.001162313,4.334308e-05,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3296000,3216000,13488881664,9.821225e-05,0.0014875961,7.476391e-05,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3304000,3224000,13488881664,0.00012420694,0.0022092375,0.00010874183,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3312000,3232000,13488881664,0.00014977412,0.002759544,0.00014574405,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3320000,3240000,13488881664,0.00017507876,0.0033374324,0.0001853971,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3328000,3248000,13488881664,0.0002000621,0.003610311,0.00022752922,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3336000,3256000,13488881664,0.00022278499,0.0037739638,0.00027133472,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3344000,3264000,13488881664,0.00024289404,0.0043835025,0.0003182467,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3352000,3272000,13488881664,0.00026110208,0.0046941927,0.00036904967,0,14.142142,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3360000,3280000,13488881664,0.00027766114,0.005095031,0.00042018344,0,14.142142,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3368000,3288000,13488881664,0.00024752354,0.005075067,0.00035716957,0,14.142142,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3376000,3296000,13488881664,0.0002440722,0.004892338,0.00038556688,0,14.142142,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3384000,3304000,13488881664,0.00023926521,0.004715,0.00041414498,0,14.142142,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3392000,3312000,13488881664,0.00023315776,0.004542028,0.0004423608,0,14.142142,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3400000,3320000,13488881664,0.00022579958,0.0043745656,0.00047004924,0,14.142142,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3408000,3328000,13488881664,0.0002173626,0.0042126128,0.0004962982,0,14.142142,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3416000,3336000,13488881664,0.00020769297,0.0040554004,0.00052143174,0,14.142143,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3424000,3344000,13488881664,0.00019689332,0.0039039513,0.0005450217,0,14.142144,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3432000,3352000,13488881664,0.00018505566,0.0037572912,0.00056703517,0,14.142145,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3440000,3360000,13488881664,0.000172354,0.003615811,0.0005872223,0,14.142146,10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3448000,3368000,13488881664,0.00015880333,0.0034798926,0.00058423856,0,0.014084185,7.071068,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3456000,3376000,13488881664,0.00014661766,0.0033482548,0.00056890876,0,0.014298394,7.071068,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3464000,3384000,13488881664,0.00013465926,0.0032213852,0.00055626594,0,0.014960001,7.071068,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3472000,3392000,13488881664,0.00012290981,0.0030994017,0.0005462318,0,0.01606768,7.071068,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3480000,3400000,13488881664,0.004075292,0.027138986,0.0024389862,0,0.014086824,7.071067,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3488000,3408000,13488881665,0.0040743654,0.027092846,0.0025783826,0,0.014086909,7.071067,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3496000,3416000,13488881683,0.0041240742,0.027047182,0.0027196275,0,0.014086982,7.071067,0.008865684,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,129,1,1,1,1,1,0,0,0,0,0,0,0
3504000,3424000,13488881683,0.004124518,0.027003136,0.0028626525,0,0.014087248,7.071067,0.008865684,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,129,1,1,1,1,1,0,0,0,0,0,0,0
3512000,3432000,13488881683,0.004125385,0.026959527,0.0030075752,0,0.014088044,7.071067,0.008865684,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,129,1,1,1,1,1,0,0,0,0,0,0,0
3520000,3440000,13488881683,0.004126648,0.02691608,0.0031541719,0,0.014089882,7.071067,0.008865684,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,129,1,1,1,1,1,0,0,0,0,0,0,0
3528000,3448000,13488881683,0.004128356,0.026873723,0.0033023884,0,0.014093634,7.071067,0.008865684,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,129,1,1,1,1,1,0,0,0,0,0,0,0
