timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
3168000,0,1,0,1,0,1,1,0,1,1,1,1,0
3672000,0,1,0,1,0,1,1,0,1,1,1,1,0
4176000,0,1,0,1,0,1,1,0,1,1,1,1,0
4680000,0,1,0,1,0,1,1,0,1,1,1,1,0
5184000,0,1,0,1,0,1,1,0,1,1,1,1,0
5688000,0,1,0,1,0,1,1,0,1,1,1,1,0
6192000,0,1,0,1,0,1,1,0,1,1,1,1,0
6696000,0,1,0,1,0,1,1,0,1,1,1,1,0
7200000,0,1,0,1,0,1,1,0,1,1,1,1,0
7704000,0,1,0,1,0,1,1,0,1,1,1,1,0
8208000,0,1,0,1,0,1,1,0,1,1,1,1,0
8712000,0,1,0,1,0,1,1,0,1,1,1,1,0
9216000,0,1,0,1,0,1,1,0,1,1,1,1,0
9636000,0,1,0,1,0,1,1,0,1,1,1,1,0
10140000,0,1,0,1,0,1,1,0,1,1,1,1,0
10644000,0,1,0,1,0,1,1,0,1,1,1,1,0
11148000,0,1,0,1,0,1,1,0,1,1,1,1,0
11652000,0,1,0,1,0,1,1,0,1,1,1,1,0
12156000,0,1,0,1,0,1,1,0,1,1,1,1,0
12660000,0,1,0,1,0,1,1,0,1,1,1,1,0
13164000,0,1,0,1,0,1,1,0,1,1,1,1,0
13668000,0,1,0,1,0,1,1,0,1,1,1,1,0
14172000,0,1,0,1,0,1,1,0,1,1,1,1,0
14676000,0,1,0,1,0,1,1,0,1,1,1,1,0
14748000,0,1,0,1,0,1,1,0,1,1,1,1,0
14760000,1,1,0,1,0,1,1,0,1,1,1,1,0
15264000,1,1,0,1,0,1,1,0,1,1,1,1,0
15768000,1,1,0,1,0,1,1,0,1,1,1,1,0
16272000,1,1,0,1,0,1,1,0,1,1,1,1,0
16776000,1,1,0,1,0,1,1,0,1,1,1,1,0
17280000,1,1,0,1,0,1,1,0,1,1,1,1,0
17784000,1,1,0,1,0,1,1,0,1,1,1,1,0
18288000,1,1,0,1,0,1,1,0,1,1,1,1,0
18792000,1,1,0,1,0,1,1,0,1,1,1,1,0
19296000,1,1,0,1,0,1,1,0,1,1,1,1,0
19800000,1,1,0,1,0,1,1,0,1,1,1,1,0
20304000,1,1,0,1,0,1,1,0,1,1,1,1,0
20808000,1,1,0,1,0,1,1,0,1,1,1,1,0
21312000,1,1,0,1,0,1,1,0,1,1,1,1,0
21816000,1,1,0,1,0,1,1,0,1,1,1,1,0
22320000,1,1,0,1,0,1,1,0,1,1,1,1,0
22476000,1,1,0,1,0,1,1,0,1,1,1,1,0
22980000,1,1,0,1,0,1,1,0,1,1,1,1,0
23484000,1,1,0,1,0,1,1,0,1,1,1,1,0
23988000,1,1,0,1,0,1,1,0,1,1,1,1,0
24492000,1,1,0,1,0,1,1,0,1,1,1,1,0
24996000,1,1,0,1,0,1,1,0,1,1,1,1,0
25500000,1,1,0,1,0,1,1,0,1,1,1,1,0
26004000,1,1,0,1,0,1,1,0,1,1,1,1,0
26508000,1,1,0,1,0,1,1,0,1,1,1,1,0
27012000,1,1,0,1,0,1,1,0,1,1,1,1,0
27516000,1,1,0,1,0,1,1,0,1,1,1,1,0
28020000,1,1,0,1,0,1,1,0,1,1,1,1,0
28524000,1,1,0,1,0,1,1,0,1,1,1,1,0
29028000,1,1,0,1,0,1,1,0,1,1,1,1,0
29532000,1,1,0,1,0,1,1,0,1,1,1,1,0
30036000,1,1,0,1,0,1,1,0,1,1,1,1,0
30540000,1,1,0,1,0,1,1,0,1,1,1,1,0
31044000,1,1,0,1,0,1,1,0,1,1,1,1,0
31548000,1,1,0,1,0,1,1,0,1,1,1,1,0
32052000,1,1,0,1,0,1,1,0,1,1,1,1,0
32556000,1,1,0,1,0,1,1,0,1,1,1,1,0
32940000,1,1,0,1,0,1,1,0,1,1,1,1,0
32952000,1,1,0,1,0,1,1,0,1,1,1,1,0
33456000,1,1,0,1,0,1,1,0,1,1,1,1,0
33960000,1,1,0,1,0,1,1,0,1,1,1,1,0
34464000,1,1,0,1,0,1,1,0,1,1,1,1,0
34968000,1,1,0,1,0,1,1,0,1,1,1,1,0
35472000,1,1,0,1,0,1,1,0,1,1,1,1,0
35976000,1,1,0,1,0,1,1,0,1,1,1,1,0
36480000,1,1,0,1,0,1,1,0,1,1,1,1,0
36980000,1,1,0,1,0,1,1,0,1,1,1,1,0
37484000,1,1,0,1,0,1,1,0,1,1,1,1,0
37988000,1,1,0,1,0,1,1,0,1,1,1,1,0
38492000,1,1,0,1,0,1,1,0,1,1,1,1,0
38996000,1,1,0,1,0,1,1,0,1,1,1,1,0
39500000,1,1,0,1,0,1,1,0,1,1,1,1,0
40004000,1,1,0,1,0,1,1,0,1,1,1,1,0
40508000,1,1,0,1,0,1,1,0,1,1,1,1,0
41012000,1,1,0,1,0,1,1,0,1,1,1,1,0
41516000,1,1,0,1,0,1,1,0,1,1,1,1,0
42020000,1,1,0,1,0,1,1,0,1,1,1,1,0
42524000,1,1,0,1,0,1,1,0,1,1,1,1,0
43028000,1,1,0,1,0,1,1,0,1,1,1,1,0
43532000,1,1,0,1,0,1,1,0,1,1,1,1,0
44036000,1,1,0,1,0,1,1,0,1,1,1,1,0
