timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3348000,3348000,3348000,0,0.0,0.0,0.25,0.25,9.449665e-09,-3.0882659e-09,0.500009,0.500009,1.9843236e-17,2.1193809e-18,3,0,0,0
3636000,3556000,3556000,0,0.0,0.0,0.25,0.25,0.00017404526,-0.00042869293,103.28185,103.28185,3.2588012e-11,1.9770885e-10,3,1,0,1
3844000,3764000,3764000,0,0.0,0.0,0.25,0.25,0.0006612564,-0.0010472331,1.9127904,1.9127909,2.5399771e-08,6.370547e-08,3,1,0,1
4052000,3972000,3972000,0,0.0,0.0,1e-04,1e-04,-0.00016775525,0.00017974897,0.12513988,0.12514001,2.4986994e-08,2.8687596e-08,3,1,0,1
4260000,4180000,4180000,0,0.0,0.0,1e-04,1e-04,-1.0601353e-05,3.1426116e-05,0.00020385369,0.00020385408,6.1257815e-08,5.3829393e-07,3,1,0,1
4468000,4388000,4388000,0,0.0,0.0,1e-04,1e-04,0.00016473731,0.00014296267,0.00033936542,0.00033940724,8.885337e-06,6.690856e-06,3,1,0,1
4676000,4596000,4596000,0,0.0,0.0,1e-04,1e-04,0.00055733597,5.471569e-05,0.0007846351,0.00078469416,4.398696e-05,4.2391696e-07,3,1,0,1
4884000,4804000,4804000,0,0.0,0.0,1e-04,1e-04,0.0005482469,-0.00037922597,0.00065959117,0.0006595984,5.063316e-05,2.422557e-05,3,1,0,1
5092000,5012000,5012000,0,0.0,0.0,1e-04,1e-04,0.00037595077,-0.0007779178,0.00053541193,0.00053541193,2.9331306e-05,0.00012558475,3,1,0,1
5300000,5220000,5220000,0,0.0,0.0,1e-04,1e-04,0.00031825012,-0.0005443073,0.00047825862,0.0004782619,2.3530538e-05,6.883035e-05,3,1,0,1
5508000,5428000,5428000,0,0.0,0.0,1e-04,1e-04,0.00048725092,-0.0002598685,0.00044435705,0.0004443616,5.9365033e-05,1.6886059e-05,3,1,0,1
5716000,5636000,5636000,0,0.0,0.0,1e-04,1e-04,0.00032457442,0.00043920334,0.0004145662,0.00041457274,2.8235287e-05,5.1699702e-05,3,1,0,1
5924000,5844000,5844000,0,0.0,0.0,1e-04,1e-04,0.0003339062,0.0005749096,0.0003865346,0.00038653964,3.2049265e-05,9.500853e-05,3,1,0,1
6132000,6052000,6052000,0,0.0,0.0,1e-04,1e-04,0.00025630463,0.00028670742,0.00036190328,0.0003619065,2.0168698e-05,2.5237072e-05,3,1,0,1
6340000,6260000,6260000,0,0.0,0.0,1e-04,1e-04,0.00024450026,9.756852e-05,0.0003415894,0.00034159105,1.9445171e-05,3.0964952e-06,3,1,0,1
6548000,6468000,6468000,0,0.0,0.0,1e-04,1e-04,-1.8274864e-05,-1.8770368e-05,0.00032533958,0.00032534002,1.14058835e-07,1.2032768e-07,3,1,0,1
6756000,6676000,6676000,0,0.0,0.0,1e-04,1e-04,-0.00063339784,5.835094e-05,0.00031248448,0.00031248495,0.00014265341,1.2106652e-06,3,1,0,1
6964000,6884000,6884000,0,0.0,0.0,1e-04,1e-04,-0.0007535931,0.00020948346,0.00030229823,0.00030229767,0.00020873522,1.6129547e-05,3,1,0,1
7172000,7092000,7092000,0,0.0,0.0,1e-04,1e-04,-0.0005750838,0.0006560079,0.00029410076,0.00029409918,0.00012494635,0.00016258551,3,1,0,1
7380000,7300000,7300000,0,0.0,0.0,1e-04,1e-04,-0.00026063182,0.0012642858,0.0002874384,0.00028743577,2.625836e-05,0.00061788433,3,1,0,1
7588000,7508000,7508000,0,0.0,0.0,1e-04,1e-04,7.096678e-05,0.0016205908,0.00028192808,0.00028192482,1.9848576e-06,0.0010350728,3,1,0,1
7796000,7716000,7716000,0,0.0,0.0,1e-04,1e-04,0.00036121477,0.0014423276,0.00027728896,0.00027728616,5.228245e-05,0.00083359896,3,1,0,1
8004000,7924000,7924000,0,0.0,0.0,1e-04,1e-04,0.0003646106,0.0009721862,0.00027334702,0.00027334437,5.403831e-05,0.0003841902,3,1,0,1
8212000,8132000,8132000,0,0.0,0.0,1e-04,1e-04,0.00018939502,0.00065651076,0.0002699678,0.00026996536,1.4763273e-05,0.00017739164,3,1,0,1
8420000,8340000,8340000,0,0.0,0.0,1e-04,1e-04,-0.00011700682,0.00026055038,0.00026702994,0.0002670278,5.6966546e-06,2.8247789e-05,3,1,0,1
8628000,8548000,8548000,0,0.0,0.0,1e-04,1e-04,-0.0003343929,0.00021324282,0.00026445166,0.00026445024,4.698133e-05,1.9105673e-05,3,1,0,1
8836000,8756000,8756000,0,0.0,0.0,1e-04,1e-04,-0.00021549515,8.957807e-05,0.00026213934,0.00026213806,1.9683408e-05,3.4011894e-06,3,1,0,1
9044000,8964000,8964000,0,0.0,0.0,1e-04,1e-04,6.121611e-05,0.0002529275,0.00026008242,0.0002600821,1.6009506e-06,2.732997e-05,3,1,0,1
9252000,9172000,9172000,0,0.0,0.0,1e-04,1e-04,0.000514236,0.0005334227,0.00025824786,0.00025824827,0.0001137747,0.000122423,3,1,0,1
9460000,9380000,9380000,0,0.0,0.0,1e-04,1e-04,0.00088954164,0.00069214776,0.00025659983,0.00025659995,0.00034263654,0.00020744292,3,1,0,1
9668000,9588000,9588000,0,0.0,0.0,1e-04,1e-04,0.00095833355,0.0007211333,0.00025512345,0.00025512197,0.00039998203,0.0002264857,3,1,0,1
9876000,9796000,9796000,0,0.0,0.0,1e-04,1e-04,0.0010149814,0.00064512866,0.00025377772,0.00025377437,0.0004510453,0.00018222266,3,1,0,1
10084000,10004000,10004000,0,0.0,0.0,1e-04,1e-04,0.001118103,0.0006784132,0.00025254724,0.0002525427,0.0005500201,0.00020249357,3,1,0,1
10292000,10212000,10212000,0,0.0,0.0,1e-04,1e-04,0.0007851768,0.00043963184,0.00025142613,0.00025141996,0.00027244698,8.541537e-05,3,1,0,1
10500000,10420000,10420000,0,0.0,0.0,1e-04,1e-04,0.00032056944,0.00015604965,0.00025039862,0.0002503914,4.560052e-05,1.0805968e-05,3,1,0,1
10708000,10628000,10628000,0,0.0,0.0,1e-04,1e-04,-6.5795604e-05,-0.00030525305,0.00024947405,0.00024946584,1.9280837e-06,4.150175e-05,3,1,0,1
10916000,10836000,10836000,0,0.0,0.0,1e-04,1e-04,-0.0003365548,-0.0005232109,0.00024861205,0.00024860373,5.0622886e-05,0.00012234985,3,1,0,1
11124000,11044000,11044000,0,0.0,0.0,1e-04,1e-04,-0.00013642995,-0.0008321806,0.00024781114,0.0002478026,8.3455725e-06,0.00031051802,3,1,0,1
11332000,11252000,11252000,0,0.0,0.0,1e-04,1e-04,-0.0002481104,-0.0010164374,0.00024706623,0.00024705852,2.768433e-05,0.00046464254,3,1,0,1
11540000,11460000,11460000,0,0.0,0.0,1e-04,1e-04,-0.0004589171,-0.0010810144,0.00024637993,0.00024637388,9.497747e-05,0.0005270184,3,1,0,1
11748000,11668000,11668000,0,0.0,0.0,1e-04,1e-04,-0.00063637237,-0.0012204942,0.00024574582,0.00024574157,0.00018310238,0.0006735197,3,1,0,1
11956000,11876000,11876000,0,0.0,0.0,1e-04,1e-04,-0.00073614734,-0.001273531,0.0002451557,0.00024515396,0.0002456094,0.0007350851,3,1,0,1
12164000,12084000,12084000,0,0.0,0.0,1e-04,1e-04,-0.0009903667,-0.00096835586,0.00024462276,0.0002446243,0.00044550508,0.00042591986,3,1,0,1
12372000,12292000,12292000,0,0.0,0.0,1e-04,1e-04,-0.0010818255,-0.000468161,0.00024413734,0.00024414159,0.0005326448,9.974845e-05,3,1,0,1
12580000,12500000,12500000,0,0.0,0.0,1e-04,1e-04,-0.0009819657,-0.00038673446,0.00024368046,0.00024368512,0.00043967259,6.8195266e-05,3,1,0,1
12788000,12708000,12708000,0,0.0,0.0,1e-04,1e-04,-0.0006819797,-0.0001996445,0.00024324504,0.0002432485,0.00021244983,1.8206316e-05,3,1,0,1
12996000,12916000,12916000,0,0.0,0.0,1e-04,1e-04,-0.00015472829,0.0005889331,0.00024282918,0.00024283008,1.0954589e-05,0.00015870368,3,1,0,1
13204000,13124000,13124000,0,0.0,0.0,1e-04,1e-04,6.505183e-05,0.0011459313,0.00024243825,0.00024243514,1.9394356e-06,0.0006018373,3,1,0,1
13412000,13332000,13332000,0,0.0,0.0,1e-04,1e-04,0.00010478882,0.0011802103,0.00024207501,0.00024206823,5.0400804e-06,0.0006393497,3,1,0,1
13620000,13540000,13540000,0,0.0,0.0,1e-04,1e-04,0.00032024577,0.0011419804,0.00024173126,0.00024172233,4.7140205e-05,0.00059945695,3,1,0,1
13828000,13748000,13748000,0,0.0,0.0,1e-04,1e-04,0.0006395509,0.001074036,0.00024141342,0.00024140341,0.00018825491,0.0005309477,3,1,0,1
14036000,13956000,13956000,0,0.0,0.0,1e-04,1e-04,0.0009027974,0.00073945057,0.00024111453,0.00024110396,0.00037559058,0.0002519831,3,1,0,1
14244000,14164000,14164000,0,0.0,0.0,1e-04,1e-04,0.000627066,0.00028758886,0.00024083219,0.00024082005,0.00018141346,3.8160055e-05,3,1,0,1
14452000,14372000,14372000,0,0.0,0.0,1e-04,1e-04,0.00051004125,-0.00016628114,0.00024055698,0.00024054325,0.0001201573,1.2771748e-05,3,1,0,1
14660000,14580000,14580000,0,0.0,0.0,1e-04,1e-04,0.0005514502,-0.00045358157,0.0002403036,0.00024028835,0.00014060792,9.513395e-05,3,1,0,1
14868000,14788000,14788000,0,0.0,0.0,1e-04,1e-04,0.0006049615,-0.00046790007,0.00024006577,0.0002400493,0.00016938802,0.000101335885,3,1,0,1
15076000,14996000,14996000,0,0.0,0.0,1e-04,1e-04,0.0008114895,-0.0004170336,0.00023984702,0.00023982953,0.00030506257,8.057437e-05,3,1,0,1
15284000,15204000,15204000,0,0.0,0.0,1e-04,1e-04,0.0006990802,-0.000105613646,0.00023963573,0.00023961696,0.0002266,5.172256e-06,3,1,0,1
15492000,15412000,15412000,0,0.0,0.0,1e-04,1e-04,0.00048189244,3.9299488e-05,0.00023942222,0.00023940174,0.00010776884,7.1680984e-07,3,1,0,1
15700000,15620000,15620000,0,0.0,0.0,1e-04,1e-04,0.0005040539,3.1987707e-05,0.00023922164,0.00023919976,0.000118007876,4.752947e-07,3,1,0,1
15908000,15828000,15828000,0,0.0,0.0,1e-04,1e-04,0.0006152044,-4.8586876e-06,0.0002390306,0.00023900764,0.00017593119,1.0974473e-08,3,1,0,1
16116000,16036000,16036000,0,0.0,0.0,1e-04,1e-04,0.00020747466,-0.00023352783,0.00023885342,0.00023882897,2.0024245e-05,2.5371593e-05,3,1,0,1
16324000,16244000,16244000,0,0.0,0.0,1e-04,1e-04,0.00010456585,-0.0005718279,0.00023868834,0.00023866247,5.089862e-06,0.00015223134,3,1,0,1
16532000,16452000,16452000,0,0.0,0.0,1e-04,1e-04,0.00016236477,-0.00067116093,0.00023852946,0.00023850228,1.228002e-05,0.0002098545,3,1,0,1
16740000,16660000,16660000,0,0.0,0.0,1e-04,1e-04,0.00014848102,-0.0010120209,0.00023837699,0.00023834757,1.027626e-05,0.00047744758,3,1,0,1
16948000,16868000,16868000,0,0.0,0.0,1e-04,1e-04,-4.5378394e-05,-0.001109299,0.0002382248,0.00023819372,9.604366e-07,0.0005740166,3,1,0,1
17156000,17076000,17076000,0,0.0,0.0,1e-04,1e-04,-0.00022640459,-0.0011998848,0.0002380856,0.00023805373,2.3921853e-05,0.0006719881,3,1,0,1
17364000,17284000,17284000,0,0.0,0.0,1e-04,1e-04,-0.00021736725,-0.0011848873,0.00023795819,0.0002379262,2.206201e-05,0.0006556458,3,1,0,1
17572000,17492000,17492000,0,0.0,0.0,1e-04,1e-04,-0.0002488224,-0.0012796492,0.0002378427,0.00023781043,2.8923221e-05,0.00076508283,3,1,0,1
17780000,17700000,17700000,0,0.0,0.0,1e-04,1e-04,-0.00039607572,-0.0010054016,0.0002377344,0.0002377023,7.33199e-05,0.00047250156,3,1,0,1
17988000,17908000,17908000,0,0.0,0.0,1e-04,1e-04,-0.0005364694,-0.0006028454,0.00023764087,0.00023760909,0.00013456319,0.00016994421,3,1,0,1
18196000,18116000,18116000,0,0.0,0.0,1e-04,1e-04,-0.0004639131,-0.00029869544,0.00023754322,0.00023751156,0.00010066723,4.1737836e-05,3,1,0,1
18404000,18324000,18324000,0,0.0,0.0,1e-04,1e-04,-2.9891617e-06,-0.00042995883,0.00023743277,0.00023740128,4.181341e-09,8.652233e-05,3,1,0,1
18612000,18532000,18532000,0,0.0,0.0,1e-04,1e-04,0.00071463076,-0.0009831253,0.00023732454,0.00023729351,0.00023909929,0.00045257376,3,1,0,1
18820000,18740000,18740000,0,0.0,0.0,1e-04,1e-04,0.0009705514,-0.0012451774,0.00023722401,0.00023719331,0.00044120045,0.0007263024,3,1,0,1
19028000,18948000,18948000,0,0.0,0.0,1e-04,1e-04,0.0010402146,-0.001581905,0.00023713091,0.00023710035,0.0005070084,0.0011726978,3,1,0,1
19236000,19156000,19156000,0,0.0,0.0,1e-04,1e-04,0.00061197655,-0.0018535843,0.00023704578,0.00023701557,0.00017554755,0.0016106652,3,1,0,1
19444000,19364000,19364000,0,0.0,0.0,1e-04,1e-04,2.9154839e-05,-0.001771185,0.00023696784,0.0002369395,3.98556e-07,0.0014711192,3,1,0,1
19652000,19572000,19572000,0,0.0,0.0,1e-04,1e-04,-7.562274e-05,-0.0015390954,0.00023689508,0.0002368695,2.682293e-06,0.0011111673,3,1,0,1
19860000,19780000,19780000,0,0.0,0.0,1e-04,1e-04,0.00011767377,-0.0013952246,0.00023683114,0.00023680826,6.496479e-06,0.00091337453,3,1,0,1
20068000,19988000,19988000,0,0.0,0.0,1e-04,1e-04,0.00017913723,-0.0010430302,0.00023676164,0.00023674135,1.5059753e-05,0.0005105957,3,1,0,1
20276000,20196000,20196000,0,0.0,0.0,1e-04,1e-04,0.00031347133,-0.00079562044,0.0002366959,0.00023667826,4.612777e-05,0.00029717415,3,1,0,1
20484000,20404000,20404000,0,0.0,0.0,1e-04,1e-04,0.00039367526,-0.0006214037,0.00023662887,0.00023661429,7.277229e-05,0.0001813277,3,1,0,1
20692000,20612000,20612000,0,0.0,0.0,1e-04,1e-04,5.246667e-05,-0.0003611567,0.00023656257,0.0002365507,1.2929403e-06,6.126672e-05,3,1,0,1
20900000,20820000,20820000,0,0.0,0.0,1e-04,1e-04,-0.0005407578,-0.00010949437,0.00023649854,0.00023648833,0.0001373835,5.6328913e-06,3,1,0,1
21108000,21028000,21028000,0,0.0,0.0,1e-04,1e-04,-0.001255334,0.00015853239,0.00023643495,0.00023642535,0.0007405671,1.1811349e-05,3,1,0,1
21316000,21236000,21236000,0,0.0,0.0,1e-04,1e-04,-0.0016622137,0.00066373777,0.00023637284,0.00023636306,0.001298774,0.00020709563,3,1,0,1
21524000,21444000,21444000,0,0.0,0.0,1e-04,1e-04,-0.0020878657,0.0009192283,0.00023631853,0.00023630861,0.0020495798,0.00039730562,3,1,0,1
21732000,21652000,21652000,0,0.0,0.0,1e-04,1e-04,-0.0022410636,0.001119423,0.00023626955,0.00023625966,0.0023618815,0.00058932696,3,1,0,1
21940000,21860000,21860000,0,0.0,0.0,1e-04,1e-04,-0.0021180746,0.00081581523,0.00023622601,0.00023621664,0.0021101448,0.0003130622,3,1,0,1
22148000,22068000,22068000,0,0.0,0.0,1e-04,1e-04,-0.0019822633,0.0005849769,0.00023618242,0.00023617357,0.0018485559,0.00016099177,3,1,0,1
22356000,22276000,22276000,0,0.0,0.0,1e-04,1e-04,-0.0021600882,0.000450055,0.00023613466,0.00023612645,0.0021955366,9.5311225e-05,3,1,0,1
22564000,22484000,22484000,0,0.0,0.0,1e-04,1e-04,-0.0022364608,0.00024324555,0.000236085,0.00023607744,0.0023540284,2.7847924e-05,3,1,0,1
22772000,22692000,22692000,0,0.0,0.0,1e-04,1e-04,-0.0022953718,0.00019685607,0.0002360343,0.00023602732,0.00248021,1.8242856e-05,3,1,0,1
22980000,22900000,22900000,0,0.0,0.0,1e-04,1e-04,-0.0019247731,-6.701248e-07,0.0002359848,0.00023597787,0.0017443456,2.1144508e-10,3,1,0,1
23188000,23108000,23108000,0,0.0,0.0,1e-04,1e-04,-0.0012098751,-0.0002833895,0.00023593812,0.00023593067,0.0006893511,3.782166e-05,3,1,0,1
23396000,23316000,23316000,0,0.0,0.0,1e-04,1e-04,-0.0005539738,-0.0004926755,0.00023589903,0.00023589056,0.00014454722,0.00011433229,3,1,0,1
23604000,23524000,23524000,0,0.0,0.0,1e-04,1e-04,-0.00015341873,-0.0003788722,0.00023586265,0.00023585223,1.1088048e-05,6.7624336e-05,3,1,0,1
23812000,23732000,23732000,0,0.0,0.0,1e-04,1e-04,7.170316e-05,-0.00010556217,0.00023583358,0.00023582048,2.4223027e-06,5.2504024e-06,3,1,0,1
24020000,23940000,23940000,0,0.0,0.0,1e-04,1e-04,0.0002581557,0.00011625542,0.00023580668,0.0002357905,3.1402542e-05,6.3688e-06,3,1,0,1
24228000,24148000,24148000,0,0.0,0.0,1e-04,1e-04,0.0003991215,0.00025373348,0.00023577973,0.00023576061,7.506911e-05,3.0341831e-05,3,1,0,1
