timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3596000,3473268,0,0,0.0,0.0,1.0,1.0,0.00011195562,-0.00030243932,103.26637,103.26637,4.85504e-12,3.5430523e-11,3,1,0,0
3988000,3873553,0,0,0.0,0.0,1.0,1.0,-0.00036860973,0.000307459,1.125376,1.1253762,4.829431e-09,3.35998e-09,3,1,0,0
4388000,4273730,0,0,0.0,0.0,1.0,1.0,4.958706e-05,6.593341e-05,1.0000994,1.0000994,9.834528e-11,1.7387129e-10,3,1,0,0
4788000,4673837,0,0,0.0,0.0075268387,1.0,1.0,0.00027956953,-0.007639316,1.00024,1.00024,3.125615e-09,2.333806e-06,3,1,0,0
5188000,5073901,0,0,0.0,0.0075268387,1.0,1.0,0.000115450086,-0.007849861,1.0001634,1.0001634,5.3306176e-10,2.46441e-06,3,1,0,0
5596000,5473941,0,0,0.0,0.0075268387,1.0,1.0,0.00020463066,-0.007448346,1.0001389,1.0001389,1.6747158e-09,2.2188062e-06,3,1,0,0
5988000,5873964,0,0,0.0,0.0075268387,1.0,1.0,0.0001241233,-0.007316348,1.0001111,1.0001111,6.1619526e-10,2.1409203e-06,3,1,0,0
6396000,6273979,0,0,0.0,0.0075268387,1.0,1.0,8.1926526e-05,-0.007519358,1.0000975,1.0000975,2.6845207e-10,2.2614092e-06,3,1,0,0
6796000,6673987,0,0,0.0,0.0075268387,1.0,1.0,-0.0003060778,-0.007488003,1.0000842,1.0000842,3.7470294e-09,2.2426188e-06,3,1,0,0
7188000,7073992,0,0,0.0,0.0075268387,1.0,1.0,-0.00021118487,-0.007243489,1.0000715,1.0000715,1.7838344e-09,2.0985751e-06,3,1,0,0
7588000,7473996,0,0,0.0,0.0075268387,1.0,1.0,7.096678e-05,-0.005906248,1.0001819,1.0001819,2.0141472e-10,1.3950968e-06,3,1,0,0
7988000,7873998,0,0,0.0,0.0075268387,1.0,1.0,0.00035103227,-0.006591063,1.0001607,1.0001607,4.9281543e-09,1.7374053e-06,3,1,0,0
8396000,8273999,0,0,0.0,0.0075268387,1.0,1.0,-7.816918e-05,-0.0072826776,1.0001494,1.0001494,2.443803e-10,2.1211788e-06,3,1,0,0
8788000,8673999,0,0,0.0,0.0075268387,1.0,1.0,-0.00021489795,-0.0074701593,1.00013,1.00013,1.847005e-09,2.2318409e-06,3,1,0,0
9188000,9074000,0,0,0.0,0.0075268387,1.0,1.0,0.00032037185,-0.0071507855,1.0001184,1.0001184,4.105039e-09,2.0451073e-06,3,1,0,0
