timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
3596000,3473268,0,0,0.0,0.0,0.02,0.09,0.09,0.20250002,0.0012072969,-0.0032024286,-0.05313043,25.1528,25.15281,10.202984,2.3179378e-09,1.6309189e-08,1.1066732e-05,3,1,0,0
3988000,3873553,0,0,0.0,0.0,-0.02,0.09,0.09,0.20250002,0.0021149465,-0.0017038311,0.010223608,0.10023292,0.10023488,0.20299897,1.7850416e-06,1.1584951e-06,2.0595608e-05,3,1,0,0
4388000,4273730,0,0,0.0,0.0,-0.04,0.09,0.09,0.20250002,0.00092815096,0.00058472785,0.03204854,0.094430394,0.09443138,0.20320658,3.6490968e-07,1.4482755e-07,0.00020218022,3,1,0,0
4788000,4673837,0,0,0.02,0.01,-0.04,0.09,0.09,0.20250002,-0.017776677,-0.012101291,0.02399464,0.09595832,0.0959584,0.20537086,0.00013172814,6.104364e-05,0.00011213718,3,1,0,0
5188000,5073901,0,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,0.001060333,-0.002174127,-0.010213865,0.09330625,0.0933063,0.20782135,4.819853e-07,2.02637e-06,2.007937e-05,3,1,0,0
5596000,5473941,0,0,-0.01,0.01,0.03,0.09,0.09,0.20250002,0.011318655,-0.0076921806,-0.050567083,0.092443824,0.092443906,0.20947182,5.5433422e-05,2.5602398e-05,0.0004882814,3,1,0,0
5988000,5873964,0,0,0.0,0.01,-0.02,0.09,0.09,0.20250002,0.0007634676,-0.009214897,-0.0040569566,0.09172823,0.09172826,0.21163167,2.541781e-07,3.702864e-05,3.1108568e-06,3,1,0,0
6396000,6273979,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.0004895714,-0.00025593094,-0.021123536,0.091325305,0.091325305,0.2115838,1.0497866e-07,2.8688936e-08,8.4355e-05,3,1,0,0
6796000,6673987,0,0,-0.01,-0.01,-0.01,0.09,0.09,0.20250002,0.0074255746,0.010332471,-0.0064070877,0.09106639,0.09106638,0.21104403,2.4219322e-05,4.6893245e-05,7.780513e-06,3,1,0,0
7188000,7073992,0,0,-0.01,-0.01,-0.01,0.09,0.09,0.20250002,0.009115489,0.013795471,-0.0022579264,0.09088152,0.09088149,0.21035734,3.6571633e-05,8.376403e-05,9.694421e-07,3,1,0,0
