timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
3348000,3315000,0,0,0.011217158,-0.20997937,0.4273909,0.0,0.0,0.0,-0.011217158,0.20997937,-0.4273909,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3468000,3386032,0,0,0.0076781046,-0.21528386,0.42834878,0.0,0.0,0.0,-0.0076781046,0.21528386,-0.42834878,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3540000,3455132,0,0,0.016584555,-0.21678011,0.42892292,0.0,0.0,0.0,-0.0055699144,0.0061988384,-0.0014752448,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3612000,3524461,0,0,0.010356781,-0.21734492,0.42832088,0.0,0.0,0.0,0.00082214456,0.00674589,-0.00088626146,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3676000,3591268,0,0,0.012662404,-0.2208443,0.42743695,0.0,0.0,0.0,-0.0013317699,0.010230094,-1.3828278e-05,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3748000,3661928,0,0,0.008857775,-0.21389131,0.4285528,0.0,0.0,0.0,0.0026353272,0.0032238513,-0.0011602044,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3820000,3735395,0,0,0.010165687,-0.21654108,0.42757124,0.0,0.0,0.0,0.0014639692,0.005821854,-0.0002078414,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3892000,3807485,0,0,0.010099129,-0.21675973,0.4295082,0.0,0.0,0.0,0.0017130142,0.0060014427,-0.0021691322,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
3964000,3879491,0,0,0.003462465,-0.21183299,0.42760217,0.0,0.0,0.0,0.008560611,0.0010804087,-0.00026613474,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
4036000,3950843,0,0,0.010888887,-0.21749772,0.42997167,0.0,0.0,0.0,0.0013000993,0.0067065805,-0.0026593506,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
