timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
3988000,3873553,0.0,0.0006988526,0.0,0,0,0,0,0,0,0,0,0,0,0
5188000,5073901,2.8903092e-05,0.00020752035,0.00085865014,1,0,0,0,0,0,0,0,0,0,0
5988000,5873964,2.6637088e-05,7.052324e-05,0.0011830649,1,0,0,0,0,0,0,0,0,0,0
7188000,7073992,2.3566789e-05,0.00063175114,0.00054511445,1,0,0,0,0,0,0,0,0,0,0
7988000,7873998,2.1719152e-05,0.00019341298,0.00038479947,1,0,0,0,0,0,0,0,0,0,0
9188000,9074000,1.9215715e-05,0.00022076539,0.0003148888,1,0,0,0,0,0,0,0,0,0,0
9988000,9874000,1.7709202e-05,0.00117728,0.00059761154,1,0,0,0,0,0,0,0,0,0,0
11188000,11074000,1.3235137e-05,0.0005533347,0.0008827995,1,0,0,0,0,0,0,0,0,0,0
11996000,11874000,0.0011120163,0.0007260087,0.0011233103,1,0,0,0,0,0,0,0,0,0,0
13188000,13074000,4.2387648e-05,0.00020436208,0.0008841347,1,0,0,0,0,0,0,0,0,0,0
13988000,13874000,0.00074369845,0.00067283714,0.0007509835,1,0,0,0,0,0,0,0,0,0,0
15188000,15074000,3.428563e-05,0.00040114744,0.0010131842,1,0,0,0,0,0,0,0,0,0,0
15988000,15874000,0.0007603519,0.00056255364,0.00093290856,1,0,0,0,0,0,0,0,0,0,0
17188000,17074000,5.731196e-05,0.00041622217,0.0005298095,1,0,0,0,0,0,0,0,0,0,0
17996000,17874000,5.28187e-05,8.992046e-05,0.0007319608,1,0,0,0,0,0,0,0,0,0,0
19196000,19074000,7.460296e-05,0.00037828108,0.00077994104,1,0,0,0,0,0,0,0,0,0,0
19988000,19874000,6.8754096e-05,0.00056200277,0.0013094692,1,0,0,0,0,0,0,0,0,0,0
21188000,21074000,6.082922e-05,0.0002404908,0.0013879767,1,0,0,0,0,0,0,0,0,0,0
21988000,21874000,0.0008063726,0.0004005562,0.001021106,1,0,0,0,0,0,0,0,0,0,0
23196000,23074000,2.454418e-05,0.000472889,0.0013809802,1,0,0,0,0,0,0,0,0,0,0
23988000,23874000,0.00070464436,0.00014968164,0.0025421665,1,0,0,0,0,0,0,0,0,0,0
25196000,25074000,7.138921e-05,0.000845755,0.00141707,1,0,0,0,0,0,0,0,0,0,0
25988000,25874000,6.5792294e-05,0.00028720274,0.001303341,1,0,0,0,0,0,0,0,0,0,0
27196000,27074000,5.8208807e-05,0.00019182812,0.0021029913,1,0,0,0,0,0,0,0,0,0,0
27988000,27874000,0.0013215045,0.0010912777,0.0026894119,1,0,0,0,0,0,0,0,0,0,0
29188000,29074000,8.15005e-05,0.00044278373,0.0021215337,1,0,0,0,0,0,0,0,0,0,0
29996000,29874000,7.511086e-05,0.00031483092,0.0014919073,1,0,0,0,0,0,0,0,0,0,0
31188000,31074000,9.0681e-05,0.0006271695,0.0019571495,1,0,0,0,0,0,0,0,0,0,0
31988000,31874000,8.3571606e-05,9.692744e-05,0.0018196257,1,0,0,0,0,0,0,0,0,0,0
33188000,33074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
33996000,33874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
35188000,35074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
35996000,35874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
37188000,37074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
37988000,37874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
39196000,39074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
39996000,39874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41196000,41074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41988000,41874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43188000,43074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43988000,43874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
45196000,45074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
45988000,45874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
47188000,47074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
47988000,47874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
49188000,49074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
49988000,49874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
51196000,51074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
51988000,51874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
53188000,53074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
53996000,53874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
55196000,55078000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
55996000,55874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
57188000,57074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
57996000,57874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
59188000,59074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
59996000,59878000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
61196000,61074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
61996000,61874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
63196000,63074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
63996000,63878000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
65188000,65074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
65996000,65874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
67196000,67074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
67996000,67874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
69188000,69074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
69988000,69874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
71196000,71074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
71996000,71874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
73188000,73074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
73996000,73874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
75188000,75074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
75996000,75874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
77188000,77074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
77996000,77874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
79196000,79074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
79988000,79874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
81196000,81074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
81988000,81874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
83196000,83074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
83988000,83874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
85196000,85074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
85996000,85874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
87188000,87074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
87988000,87874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
89188000,89074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
89988000,89874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
91196000,91074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
91988000,91874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
93188000,93074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
93996000,93874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
95196000,95074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
95996000,95874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
97188000,97074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
97996000,97874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
99188000,99074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
99988000,99874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
101188000,101074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
101996000,101874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
103188000,103074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
103996000,103874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
105188000,105074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
105996000,105874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
107188000,107074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
107988000,107874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
109188000,109074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
109996000,109874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
111188000,111074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
111996000,111878000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
113196000,113074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
113996000,113874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
115188000,115074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
115988000,115874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
117196000,117074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
117988000,117874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
119196000,119078000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
119988000,119874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
121196000,121074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
121996000,121874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
123188000,123074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
123988000,123874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
125188000,125074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
125996000,125874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
127188000,127074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
127988000,127874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
129188000,129074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
129996000,129874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
131196000,131074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
131988000,131874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
133196000,133074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
133988000,133874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
135188000,135074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
135988000,135874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
137196000,137074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
137988000,137874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
139188000,139074000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
139996000,139874000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
