timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
3444000,3364000,13421772800,0.00028196987,0.010736789,0.00059153617,0,14.166938,10.007018,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3452000,3372000,13421772800,0.00025618353,0.010579698,0.0006742755,0,14.171185,10.008221,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3644000,3564000,13421772800,2.0571899e-05,0.00478452,0.0011970578,0,0.7098272,7.094678,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
3844000,3764000,13421772800,1.1523013e-05,0.0039823204,0.0046823043,0,0.6592803,5.837909,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
4044000,3964000,13488881664,1.860925e-05,0.040918633,0.023150733,0,0.5001609,5.7735047,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
4244000,4164000,4898947585,0.002853494,0.03765372,0.016156506,0,0.0143056745,2.218035,nan,nan,nan,0.008133195,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
4444000,4364000,4898947585,0.00017732885,0.013406825,0.008680216,0,0.019054618,1.4937685,nan,nan,nan,0.0043378617,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
4644000,4564000,4898947585,0.00033579013,0.0025632204,0.005113126,0,0.031393837,1.1361777,nan,nan,nan,0.0013793348,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
4844000,4764000,4898947585,0.00047693806,0.003645748,0.0034856182,0,0.028215444,0.9904588,nan,nan,nan,0.0013449527,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5044000,4964000,4898947585,0.0003779231,0.004299677,0.002613147,0,0.024521906,0.8895813,nan,nan,nan,0.001343286,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5244000,5164000,4898947585,0.00038407862,0.003973773,0.00075092237,0,0.02238845,0.79335266,nan,nan,nan,0.0006076345,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5444000,5364000,4898947585,0.00023946418,0.0029043355,0.0038585137,0,0.020945068,0.7390087,nan,nan,nan,0.00055451534,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5644000,5564000,4898947585,0.00019216767,0.0016343674,0.00065899343,0,0.019699894,0.68147,nan,nan,nan,0.0017235695,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
5844000,5764000,4898947585,0.00022306507,0.0018257683,0.007362531,0,0.018553788,0.6465796,nan,nan,nan,0.007180988,0.0,0.0,0.0,0.0,1310988,1310988,6620172,0,0,0,164,1,1,1,1,0,0,0,0,0,0,0,0
