timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
3448000,-0.0039947433,-0.0045273746,0.000798946,4000,0,-0.21308395,0.15562329,-9.888055,4000,0,0,0,1
3452000,-0.002929478,-0.005592639,0.0010652675,4000,0,-0.20350717,0.18555082,-9.897632,4000,0,0,0,1
3460000,-0.0010652617,-0.003728427,-0.0015978968,4000,0,-0.20231007,0.20829575,-9.937136,4000,0,0,0,1
3464000,0.0013315817,-0.0029294791,-0.0021305264,4000,0,-0.20231007,0.17477691,-9.9467125,4000,0,0,0,1
3468000,0.0005326324,-0.003195793,-0.0023968462,4000,0,-0.20949265,0.16998853,-9.955093,4000,0,0,0,1
3472000,-0.003195797,-0.005060003,-0.0007989528,4000,0,-0.22146368,0.17238271,-9.953894,4000,0,0,0,1
3476000,-0.0042610625,-0.007989484,0.0010652657,4000,0,-0.21667528,0.16639723,-9.927559,4000,0,0,0,1
3480000,-0.0018642131,-0.007723167,0.0010652705,4000,0,-0.21667528,0.18195954,-9.91439,4000,0,0,0,1
3484000,0.00079895096,-0.005060006,-0.00026631102,4000,0,-0.21787238,0.20231025,-9.926363,4000,0,0,0,1
3488000,0.0015978963,-0.00479369,1.3348199e-09,4000,0,-0.21547818,0.21188705,-9.9383335,4000,0,0,0,1
3492000,0.0018642126,-0.007456852,0.00026631507,4000,0,-0.21547818,0.22146386,-9.950302,4000,0,0,0,1
3496000,0.00079894933,-0.009853696,-4.309229e-09,4000,0,-0.22146368,0.21428125,-9.957487,4000,0,0,0,1
3500000,-0.0015979011,-0.008255801,0.0013315731,4000,0,-0.22385788,0.19033922,-9.944317,4000,0,0,0,1
3504000,-0.0021305294,-0.0031957945,0.00053262804,4000,0,-0.20829557,0.17238271,-9.925163,4000,0,0,0,1
3512000,0.0010652624,-0.005858955,0.0007989496,4000,0,-0.22744915,0.21308415,-9.928757,4000,0,0,0,1
3516000,0.0010652641,-0.007456852,0.0013315801,4000,0,-0.21308395,0.19752185,-9.958684,4000,0,0,0,1
3520000,-0.0007989474,-0.0053263227,0.00053262827,4000,0,-0.20111297,0.19393054,-9.970654,4000,0,0,0,1
3524000,-0.0034621118,-0.002929478,0.0015978914,4000,0,-0.19033906,0.23822328,-9.935939,4000,0,0,0,1
3528000,-0.0021305287,-0.002929478,0.00079894974,4000,0,-0.19632454,0.24660295,-9.92277,4000,0,0,0,1
3532000,0.00026631902,-0.005060007,-0.0015978932,4000,0,-0.21428105,0.19273342,-9.9383335,4000,0,0,0,1
3540000,-0.0013315842,-0.0061252713,0.0013315778,4000,0,-0.21667528,0.19393052,-9.908405,4000,0,0,0,1
3544000,-0.001597894,-0.005326323,-0.00026631716,4000,0,-0.22146368,0.19632472,-9.900026,4000,0,0,0,1
3548000,-0.0005326288,-0.0037284272,-0.0021305282,4000,0,-0.20231007,0.21906966,-9.901223,4000,0,0,0,1
3552000,0.00026631495,-0.0026631614,-0.00053263153,4000,0,-0.18435356,0.24660295,-9.903616,4000,0,0,0,1
3556000,0.0005326304,-0.0055926396,0.0010652646,4000,0,-0.18195936,0.22266094,-9.914389,4000,0,0,0,1
3560000,-0.0010652592,-0.0085221175,-0.0013315844,4000,0,-0.19393033,0.19512762,-9.914389,4000,0,0,0,1
3564000,-0.0037284247,-0.0069242185,-0.0015979051,4000,0,-0.20470427,0.1747769,-9.908405,4000,0,0,0,1
3568000,-0.0023968497,-0.0058589536,0.0005326339,4000,0,-0.21188685,0.15801749,-9.916786,4000,0,0,0,1
3572000,0.00026631565,-0.0061252704,0.00079895376,4000,0,-0.22266078,0.17836823,-9.917982,4000,0,0,0,1
3576000,0.0002663179,-0.004527375,-0.0002663161,4000,0,-0.22385788,0.18914212,-9.90601,4000,0,0,0,1
3580000,0.00079894986,-0.0029294777,-0.0010652638,4000,0,-0.22146368,0.18794502,-9.913193,4000,0,0,0,1
3588000,-0.00053263304,-0.0071905353,-0.00079895055,4000,0,-0.22266078,0.19273342,-9.91918,4000,0,0,0,1
3592000,-0.00026631745,-0.007190536,-0.00026631562,4000,0,-0.2406173,0.17717113,-9.917982,4000,0,0,0,1
3596000,-0.00026631582,-0.003728426,-0.0002663165,4000,0,-0.23463179,0.16998851,-9.928757,4000,0,0,0,1
3600000,-0.001065262,-0.0021305294,-0.0021305305,4000,0,-0.20829557,0.17118563,-9.932346,4000,0,0,0,1
3604000,-0.0018642143,-0.0042610583,-0.0021305291,4000,0,-0.21667528,0.1915363,-9.91918,4000,0,0,0,1
3608000,-0.0018642173,-0.0066579017,-0.0002663148,4000,0,-0.23223759,0.19273342,-9.925163,4000,0,0,0,1
3612000,-0.0018642143,-0.0074568517,0.0002663165,4000,0,-0.22505498,0.17357981,-9.9383335,4000,0,0,0,1
3620000,-0.00079895084,-0.003994742,0.0010652653,4000,0,-0.19871877,0.17956533,-9.93594,4000,0,0,0,1
3624000,-0.0007989503,-0.0015978967,0.0018642123,4000,0,-0.19153613,0.18195954,-9.93594,4000,0,0,0,1
3628000,-0.0013315795,-0.0023968457,0.0005326322,4000,0,-0.20231009,0.18914212,-9.913193,4000,0,0,0,1
3632000,-0.0007989472,-0.0037284265,-0.00079894747,4000,0,-0.20590138,0.19273342,-9.923965,4000,0,0,0,1
3636000,-0.00079894916,-0.0037284258,-0.00026631623,4000,0,-0.21308395,0.19393052,-9.9467125,4000,0,0,0,1
3640000,-0.0005326343,-0.0037284256,0.0013315808,4000,0,-0.2346318,0.19991605,-9.937136,4000,0,0,0,1
3644000,-0.00079894875,-0.004527375,0.0018642127,4000,0,-0.22026658,0.20829575,-9.93474,4000,0,0,0,1
3648000,-0.002396842,-0.007989486,0.0013315792,4000,0,-0.18674776,0.21906966,-9.94791,4000,0,0,0,1
3652000,-0.0034621076,-0.009853697,0.00079894694,4000,0,-0.18674776,0.21787256,-9.956289,4000,0,0,0,1
3656000,-0.003994739,-0.007989487,-0.0002663202,4000,0,-0.19512744,0.20470445,-9.9383335,4000,0,0,0,1
3660000,-0.003195793,-0.0074568526,-0.00053263095,4000,0,-0.19393034,0.20350735,-9.908405,4000,0,0,0,1
3664000,-0.0015978968,-0.006924219,-0.00053262897,4000,0,-0.20949265,0.20350735,-9.913193,4000,0,0,0,1
3672000,-0.0034621132,-0.0069242176,0.00053263037,4000,0,-0.21188685,0.18674792,-9.92277,4000,0,0,0,1
3676000,-0.00292948,-0.006657901,0.0015978977,4000,0,-0.20829557,0.21428125,-9.928757,4000,0,0,0,1
3680000,-0.002396842,-0.00426106,-0.00026631742,4000,0,-0.22026658,0.20590155,-9.94312,4000,0,0,0,1
3684000,-0.0023968432,-0.004527376,-0.0015978968,4000,0,-0.22864626,0.18435374,-9.96467,4000,0,0,0,1
3688000,-0.0013315828,-0.0061252713,-0.0007989456,4000,0,-0.237026,0.20111316,-9.968261,4000,0,0,0,1
