timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
4132000,4000000.0,1.0,0.0,0.0,101,0,0.0,1,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5136000,4000000.0,1.0,8453.1875,0.0,432,0,20.916336,2,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6132000,4000000.0,1.0,15088.6455,0.0,763,0,20.916336,3,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7136000,4000000.0,1.0,15218.128,0.0,1093,0,20.916336,4,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8132000,4000000.0,1.0,15199.204,0.0,1419,0,20.916336,5,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9128000,4000000.0,1.0,14881.475,0.0,1765,0,20.916336,6,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10128000,4000000.0,1.0,16543.824,0.0,2145,0,20.916336,7,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11136000,4000000.0,1.0,16873.506,0.0,2533,0,20.916336,8,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12132000,4000000.0,1.0,17427.291,0.0,2909,0,20.916336,9,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13136000,4000000.0,1.0,17036.854,0.0,3289,0,20.916336,10,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14132000,4000000.0,1.0,17183.268,0.0,3667,0,46.81275,12,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15124000,4000000.0,1.0,16873.506,0.0,4040,0,20.916336,13,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16124000,4000000.0,1.0,17136.455,0.0,4419,0,20.916336,14,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17124000,4000000.0,1.0,17045.816,0.0,4796,0,20.916336,15,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18124000,4000000.0,1.0,17273.904,0.0,5174,0,20.916336,16,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19124000,4000000.0,1.0,16886.455,0.0,5552,0,20.916336,17,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20124000,4000000.0,1.0,17136.455,0.0,5931,0,20.916336,18,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21124000,4000000.0,1.0,16860.559,0.0,6307,0,20.916336,19,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22124000,4000000.0,1.0,17321.713,0.0,6687,0,20.916336,20,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23124000,4000000.0,1.0,17023.904,0.0,7063,0,20.916336,21,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24124000,4000000.0,1.0,17176.295,0.0,7444,0,46.81275,23,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25124000,4000000.0,1.0,16886.455,0.0,7821,0,20.916336,24,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26124000,4000000.0,1.0,17123.506,0.0,8200,0,20.916336,25,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27120000,4000000.0,1.0,17045.816,0.0,8576,0,20.916336,26,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28120000,4000000.0,1.0,17286.854,0.0,8956,0,20.916336,27,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29124000,4000000.0,1.0,16873.506,0.0,9332,0,20.916336,28,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30184000,4000000.0,1.0,17158.367,0.0,9734,0,38.844624,30,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31148000,4000000.0,1.0,17165.34,0.0,10105,0,64.741035,32,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32120000,4000000.0,1.0,17452.191,0.0,10477,0,20.916336,33,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33124000,4000000.0,1.0,17186.256,0.0,10857,0,20.916336,34,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34120000,4000000.0,1.0,17289.842,0.0,11239,0,46.81275,36,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35124000,4000000.0,1.0,16960.16,0.0,11617,0,20.916336,37,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36120000,4000000.0,1.0,17211.156,0.0,11996,0,20.916336,38,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37120000,4000000.0,1.0,17145.418,0.0,12375,0,20.916336,39,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38120000,4000000.0,1.0,17361.555,0.0,12754,0,20.916336,40,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39120000,4000000.0,1.0,16960.16,0.0,13132,0,20.916336,41,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40120000,4000000.0,1.0,17237.053,0.0,13513,0,20.916336,42,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41120000,4000000.0,1.0,16947.21,0.0,13890,0,20.916336,43,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42120000,4000000.0,1.0,17396.414,0.0,14270,0,20.916336,44,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43132000,4000000.0,1.0,17123.506,0.0,14657,0,20.916336,45,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44116000,4000000.0,1.0,17354.582,0.0,15042,0,46.81275,47,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45120000,4000000.0,1.0,17024.9,0.0,15420,0,20.916336,48,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46120000,4000000.0,1.0,17237.053,0.0,15800,0,20.916336,49,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47120000,4000000.0,1.0,17119.521,0.0,16178,0,20.916336,50,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48120000,4000000.0,1.0,17374.502,0.0,16558,0,20.916336,51,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49116000,4000000.0,1.0,16973.107,0.0,16936,0,20.916336,52,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50116000,4000000.0,1.0,17211.156,0.0,17316,0,20.916336,53,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51116000,4000000.0,1.0,16960.16,0.0,17693,0,20.916336,54,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52116000,4000000.0,1.0,17409.363,0.0,18074,0,20.916336,55,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53116000,4000000.0,1.0,17097.61,0.0,18452,0,20.916336,56,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54116000,4000000.0,1.0,17276.893,0.0,18833,0,46.81275,58,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55116000,4000000.0,1.0,16973.107,0.0,19212,0,20.916336,59,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56116000,4000000.0,1.0,17242.033,0.0,19592,0,20.916336,60,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57116000,4000000.0,1.0,17132.47,0.0,19969,0,20.916336,61,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58116000,4000000.0,1.0,17374.502,0.0,20350,0,20.916336,62,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59116000,4000000.0,1.0,16960.16,0.0,20727,0,20.916336,63,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60112000,4000000.0,1.0,17224.104,0.0,21104,0,20.916336,64,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61116000,4000000.0,1.0,16973.107,0.0,21486,0,20.916336,65,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62116000,4000000.0,1.0,17383.467,0.0,21865,0,20.916336,66,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63112000,4000000.0,1.0,17110.559,0.0,22240,0,20.916336,67,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64112000,4000000.0,1.0,17289.842,0.0,22622,0,46.81275,69,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65112000,4000000.0,1.0,16986.057,0.0,23008,0,20.916336,70,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
