timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3612000,3612000,1310988,1310988,-7.456857e-06,-2.9827406e-05,1.065266e-06,-0.0009002199,0.00069431926,-0.039753333,4000,4000,0,0,0,1
4112000,4112000,1310988,1310988,-1.0652593e-06,-3.3023203e-05,7.4568493e-06,-0.0009050083,0.00091937423,-0.03973417,4000,4000,0,0,0,1
4612000,4612000,1310988,1310988,-3.1957888e-06,-2.8762142e-05,5.326327e-06,-0.00084754743,0.0007086845,-0.039576158,4000,4000,0,0,0,1
5112000,5112000,1310988,1310988,-2.1305293e-06,-2.130529e-05,-1.7582807e-11,-0.0008044519,0.0007709337,-0.039839517,4000,4000,0,0,0,1
5612000,5612000,1310988,1310988,-4.261059e-06,-2.1305288e-05,-3.1958034e-06,-0.0008954315,0.0006799541,-0.039839517,4000,4000,0,0,0,1
6112000,6112000,1310988,1310988,-4.2610554e-06,-2.3435821e-05,1.0652703e-06,-0.0009002199,0.0007182613,-0.039796427,4000,4000,0,0,0,1
6612000,6612000,1310988,1310988,1.98588e-12,-2.2370557e-05,7.5530806e-12,-0.0008858547,0.0007805105,-0.03973896,4000,4000,0,0,0,1
7112000,7112000,1310988,1310988,-3.195808e-06,-4.048005e-05,2.1305036e-06,-0.0008714895,0.0007757221,-0.039782062,4000,4000,0,0,0,1
7612000,7612000,1310988,1310988,-1.0652783e-06,-3.1957938e-05,-1.0652572e-06,-0.00084275904,0.0007086845,-0.039681505,4000,4000,0,0,0,1
8112000,8112000,1310988,1310988,-2.0142495e-11,-2.556635e-05,-7.45685e-06,-0.0008858547,0.00059855124,-0.039868254,4000,4000,0,0,0,1
8612000,8612000,1310988,1310988,-2.1305377e-06,-3.1957938e-05,-7.4568516e-06,-0.0007900867,0.0006368584,-0.0396432,4000,4000,0,0,0,1
9112000,9112000,1310988,1310988,-1.5978974e-05,-2.7696873e-05,-3.1958132e-06,-0.00062728085,0.00059855124,-0.039576158,4000,4000,0,0,0,1
9612000,9612000,1310988,1310988,-3.7826296e-13,-4.261057e-06,7.456853e-06,-0.00073262583,0.0006368584,-0.039609674,4000,4000,0,0,0,1
10112000,10112000,1310988,1310988,1.3239201e-12,-2.982741e-05,-1.4913702e-05,-0.0008236055,0.0006416468,-0.03974376,4000,4000,0,0,0,1
10612000,10612000,1310988,1310988,-3.1957952e-06,-2.2370557e-05,1.0652603e-06,-0.00092895044,0.0006751657,-0.03963841,4000,4000,0,0,0,1
