timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
3124000,3124000,3124000,0,0.0,0.0,0.25,0.25,1.320013e-08,-4.7660436e-09,0.500009,0.500009,3.8720063e-17,5.0477245e-18,3,0,0,0
3412000,3332000,3332000,0,0.0,0.0,1e-04,1e-04,0.00022340707,-0.00042111138,100.00032,100.00032,5.545618e-11,1.9703804e-10,3,1,0,1
3620000,3540000,3540000,0,0.0,0.0,1e-04,1e-04,9.073249e-05,2.0261525e-05,0.00021770655,0.00021770634,4.201571e-06,2.0952248e-07,3,1,0,1
3828000,3748000,3748000,0,0.0,0.0,1e-04,1e-04,0.0005126908,2.9461913e-05,0.0006050982,0.0006050956,4.8266156e-05,1.5938792e-07,3,1,0,1
4036000,3956000,3956000,0,0.0,0.0,1e-04,1e-04,0.00063310564,-6.4023654e-05,0.0009249903,0.0009249931,4.8147383e-05,4.9237946e-07,3,1,0,1
4244000,4164000,4164000,0,0.0,0.0,1e-04,1e-04,0.0003947017,-9.5560965e-05,0.0006729154,0.0006729182,2.5723792e-05,1.5078434e-06,3,1,0,1
4452000,4372000,4372000,0,0.0,0.0,1e-04,1e-04,0.00045084365,-7.645384e-05,0.0005498511,0.00054985425,4.107375e-05,1.1811595e-06,3,1,0,1
4660000,4580000,4580000,0,0.0,0.0,1e-04,1e-04,0.00048625836,-0.00034935918,0.0004941998,0.00049420167,5.3160504e-05,2.7440852e-05,3,1,0,1
4868000,4788000,4788000,0,0.0,0.0,1e-04,1e-04,0.00032515463,-0.00078977656,0.000455934,0.0004559337,2.5765312e-05,0.00015200724,3,1,0,1
5076000,4996000,4996000,0,0.0,0.0,1e-04,1e-04,0.00012018961,-0.000711122,0.0004211642,0.00042116322,3.8110081e-06,0.00013341212,3,1,0,1
5284000,5204000,5204000,0,0.0,0.0,1e-04,1e-04,0.00028953137,-0.0004957054,0.0003900468,0.0003900448,2.3879873e-05,6.999875e-05,3,1,0,1
5492000,5412000,5412000,0,0.0,0.0,1e-04,1e-04,0.00021485373,0.00016795196,0.0003640112,0.00036400816,1.4090569e-05,8.6102655e-06,3,1,0,1
5700000,5620000,5620000,0,0.0,0.0,1e-04,1e-04,0.0002024372,0.00048223822,0.00034324435,0.0003432409,1.326584e-05,7.528037e-05,3,1,0,1
5908000,5828000,5828000,0,0.0,0.0,1e-04,1e-04,0.00018620328,0.00031985075,0.00032690764,0.00032690534,1.1784388e-05,3.477204e-05,3,1,0,1
