timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
3404000,3289297,0,0,-488.10403,1.0,488.10257,101.00001,94.3541,3,0,1,0
3804000,3689575,0,0,-488.11102,1.0,488.10992,34.333336,277.5743,3,0,1,0
4204000,4089743,0,0,-0.04449463,1.0,-0.00012370944,2.887639,2.1199359e-10,3,0,0,0
4604000,4489845,0,0,-0.04550171,1.0,0.011742603,1.9087505,2.8896122e-06,3,0,0,0
5004000,4889906,0,0,-0.04550171,1.0,0.008808583,1.5995045,1.9403794e-06,3,0,0,0
5412000,5289944,0,0,-0.040496826,1.0,0.006841317,1.4655571,1.2774286e-06,3,0,0,0
5812000,5689966,0,0,-0.04650879,1.0,0.014653124,1.3700988,6.268571e-06,3,0,0,0
6212000,6089980,0,0,-0.041503906,1.0,0.011047484,1.3079995,3.7323232e-06,3,0,0,0
6604000,6489988,0,0,-0.052490234,1.0,0.022347538,1.2702069,1.5726962e-05,3,0,0,0
7012000,6889993,0,0,-0.053497314,1.0,0.025709225,1.2368557,2.1375628e-05,3,0,0,0
7404000,7289996,0,0,-0.04751587,1.0,0.0247276,1.2112358,2.019274e-05,3,0,0,0
7804000,7689998,0,0,-0.04550171,1.0,0.020022625,1.192574,1.344673e-05,3,0,0,0
8204000,8089999,0,0,-0.04650879,1.0,0.017298415,1.179025,1.0151953e-05,3,0,0,0
8612000,8490000,8532000,0,-0.04650879,1.0,0.016131366,1.165552,8.930394e-06,3,0,0,0
9012000,8894000,8932000,0,-0.04949951,1.0,0.0060367137,1.6369723,8.904711e-07,3,1,0,1
9412000,9294000,9332000,0,-0.04449463,1.0,-0.0008756928,1.3280392,2.3096845e-08,3,1,0,1
9804000,9690000,9724000,0,-0.035491943,1.0,-0.0036866963,1.2180586,4.4634075e-07,3,1,0,1
10212000,10090000,10132000,0,-0.03451538,1.0,-0.0015548654,1.1644309,8.304851e-08,3,1,0,1
10604000,10490000,10524000,0,-0.039489746,1.0,0.0036150105,1.1328403,4.614349e-07,3,1,0,1
11012000,10890000,10932000,0,-0.040496826,1.0,0.006007366,1.1123861,1.2976949e-06,3,1,0,1
11412000,11290000,11332000,0,-0.056518555,1.0,0.023545694,1.0980862,2.0195124e-05,3,1,0,1
11812000,11690000,11732000,0,-0.053497314,1.0,0.020371169,1.0882804,1.5252853e-05,3,1,0,1
12212000,12094000,12132000,0,-0.04449463,1.0,0.010519516,1.0802907,4.0974237e-06,3,1,0,1
12604000,12490000,12524000,0,-0.04650879,1.0,0.011714794,1.074008,5.111187e-06,3,1,0,1
13012000,12890000,12932000,0,-0.04849243,1.0,0.013271868,1.069217,6.589588e-06,3,1,0,1
13404000,13290000,13324000,0,-0.052490234,1.0,0.019721638,1.0666668,1.458536e-05,3,1,0,1
13804000,13690000,13724000,0,-0.053497314,1.0,0.018368274,1.0634617,1.2690386e-05,3,1,0,1
14204000,14090000,14124000,0,-0.055511475,1.0,0.020492569,1.0608238,1.5834688e-05,3,1,0,1
14604000,14490000,14524000,0,-0.05050659,1.0,0.016842488,1.058623,1.07184305e-05,3,1,0,1
15004000,14890000,14924000,0,-0.051513672,1.0,0.016470388,1.0570304,1.02655e-05,3,1,0,1
15404000,15290000,15324000,0,-0.059509277,1.0,0.023000672,1.0554402,2.0049678e-05,3,1,0,1
15804000,15690000,15724000,0,-0.042510986,1.0,0.004501462,1.0540812,7.6894116e-07,3,1,0,1
16204000,16090000,16124000,0,-0.04751587,1.0,0.008715786,1.0529141,2.8858926e-06,3,1,0,1
16604000,16490000,16524000,0,-0.042510986,1.0,0.0034528002,1.0521226,4.5324867e-07,3,1,0,1
17012000,16890000,16932000,0,-0.043518066,1.0,0.0043683983,1.0513555,7.2603046e-07,3,1,0,1
17404000,17290000,17324000,0,-0.04949951,1.0,0.010089863,1.0504594,3.8766025e-06,3,1,0,1
17804000,17690000,17724000,0,-0.04849243,1.0,0.009450994,1.0497786,3.4034335e-06,3,1,0,1
18212000,18090000,18132000,0,-0.04650879,1.0,0.008023988,1.0494877,2.4539358e-06,3,1,0,1
18604000,18486000,18524000,0,-0.040496826,1.0,0.004883174,1.0502496,9.0817986e-07,3,1,0,1
19012000,18894000,18932000,0,-0.043518066,1.0,0.007766567,1.0498741,2.298164e-06,3,1,0,1
19412000,19290000,19332000,0,-0.04650879,1.0,0.0113091655,1.0494153,4.8749894e-06,3,1,0,1
19804000,19690000,19724000,0,-0.041503906,1.0,0.0051420145,1.0488784,1.0083271e-06,3,1,0,1
20204000,20090000,20124000,0,-0.055511475,1.0,0.023469925,1.0487056,2.101018e-05,3,1,0,1
20612000,20494000,20532000,0,-0.043518066,1.0,0.019203149,1.048493,1.4068226e-05,3,1,0,1
21012000,20890000,20932000,0,-0.04949951,1.0,0.09547185,1.0497907,0.00034730253,3,1,0,1
21412000,21290000,21332000,0,-0.055511475,1.0,0.27145562,1.0535196,0.0027977894,3,1,0,1
21804000,21690000,21724000,0,-0.043518066,1.0,0.4607638,1.0590645,0.008018522,3,1,0,1
22212000,22090000,22132000,0,-0.040496826,1.0,0.6786974,1.0665098,0.017276172,3,1,0,1
22604000,22490000,22524000,0,-0.06851196,1.0,0.8694025,1.0749041,0.02812756,3,1,0,1
23012000,22890000,22932000,0,-0.12649536,1.0,1.0463604,1.0852244,0.04035553,3,1,0,1
23404000,23290000,23324000,0,-0.1335144,1.0,1.1433408,1.0958197,0.04771691,3,1,0,1
23804000,23690000,23724000,0,-0.2545166,1.0,1.1528481,1.1063895,0.0480503,3,1,0,1
24212000,24090000,24132000,0,-0.45651245,1.0,1.0731478,1.1173495,0.041227788,3,1,0,1
24604000,24490000,24524000,0,-0.68151855,1.0,0.8932501,1.1261672,0.028340224,3,1,0,1
25004000,24890000,24924000,0,-0.9135132,1.0,0.62236,1.1357319,0.0136416685,3,1,0,1
25404000,25290000,25324000,0,-1.1445007,1.0,0.31453222,1.1423316,0.003464161,3,1,0,1
25804000,25690000,25724000,0,-1.3095093,1.0,-0.05285585,1.1472702,9.74048e-05,3,1,0,1
26204000,26090000,26124000,0,-1.4234924,1.0,-0.4598266,1.1526105,0.0073377946,3,1,0,1
26604000,26490000,26524000,0,-1.5305176,1.0,-0.84890366,1.1550004,0.024957132,3,1,0,1
27004000,26890000,26924000,0,-1.6224976,1.0,-1.2252333,1.1565077,0.051921714,3,1,0,1
27412000,27290000,27332000,0,-1.7204895,1.0,-1.5706644,1.1580746,0.085209936,3,1,0,1
27804000,27690000,27724000,0,-1.8454895,1.0,-1.8226953,1.1595845,0.114600286,3,1,0,1
28204000,28090000,28124000,0,-2.0385132,1.0,-1.9933853,1.1594298,0.13708757,3,1,0,1
28612000,28490000,28532000,0,-2.2755127,1.0,-2.1352997,1.1594858,0.15729402,3,1,0,1
29004000,28890000,28924000,0,-2.6315002,1.0,-2.1440663,1.1575383,0.15885507,3,1,0,1
29412000,29290000,29332000,0,-3.1075134,1.0,-2.088747,1.1568376,0.15085484,3,1,0,1
29812000,29690000,29732000,0,-3.6904907,1.0,-1.9367261,1.1572231,0.12965202,3,1,0,1
30204000,30090000,30124000,0,-4.415497,1.0,-1.6553617,1.1550887,0.09489219,3,1,0,1
30612000,30490000,30532000,0,-5.208496,1.0,-1.3931909,1.1546503,0.06724047,3,1,0,1
31012000,30890000,30932000,0,-6.0255127,1.0,-1.1107607,1.1537887,0.042773493,3,1,0,1
31404000,31290000,31324000,0,-6.840515,1.0,-0.8322811,1.1525519,0.024040284,3,1,0,1
31804000,31690000,31724000,0,-7.6644897,1.0,-0.57711124,1.1542035,0.011542413,3,1,0,1
32204000,32090000,32124000,0,-8.44751,1.0,-0.33501434,1.1540797,0.0038900124,3,1,0,1
32604000,32490000,32524000,0,-9.124512,1.0,-0.14519691,1.1539805,0.0007307626,3,1,0,1
33004000,32890000,32924000,0,-9.728516,1.0,0.024788857,1.1538552,2.1302063e-05,3,1,0,1
33412000,33290000,33332000,0,-10.206512,1.0,0.16844368,1.1544183,0.0009831192,3,1,0,1
33812000,33690000,33732000,0,-10.519501,1.0,0.3065586,1.1542311,0.0032568236,3,1,0,1
34212000,34090000,34132000,0,-10.704498,1.0,0.449049,1.1549752,0.0069835265,3,1,0,1
34612000,34494000,34532000,0,-10.7535095,1.0,0.52635956,1.1524699,0.009616022,3,1,0,1
35012000,34890000,34932000,0,-10.780518,1.0,0.5902567,1.149188,0.012126925,3,1,0,1
35404000,35290000,35324000,0,-10.765503,1.0,0.6565275,1.1466296,0.015036361,3,1,0,1
35812000,35690000,35732000,0,-10.724518,1.0,0.7091503,1.1432251,0.01759563,3,1,0,1
36212000,36090000,36132000,0,-10.693512,1.0,0.746891,1.1375943,0.019614942,3,1,0,1
36604000,36490000,36524000,0,-10.643494,1.0,0.7760706,1.1347429,0.021230733,3,1,0,1
37004000,36890000,36924000,0,-10.598511,1.0,0.80531883,1.1312395,0.022931958,3,1,0,1
37404000,37290000,37324000,0,-10.554504,1.0,0.83342457,1.1282557,0.0246255,3,1,0,1
37804000,37690000,37724000,0,-10.508514,1.0,0.8673601,1.1272944,0.026694484,3,1,0,1
38212000,38090000,38132000,0,-10.471497,1.0,0.89903927,1.1250317,0.028737735,3,1,0,1
38604000,38490000,38524000,0,-10.419495,1.0,0.918417,1.1252593,0.029983837,3,1,0,1
39004000,38890000,38924000,0,-10.386505,1.0,0.95357513,1.1255642,0.03231466,3,1,0,1
39412000,39290000,39332000,0,-10.343506,1.0,0.97489357,1.127181,0.033727232,3,1,0,1
39804000,39690000,39724000,0,-10.30249,1.0,0.991724,1.1297959,0.034821033,3,1,0,1
40212000,40090000,40132000,0,-10.26651,1.0,1.0081129,1.1328477,0.035884492,3,1,0,1
40604000,40490000,40524000,0,-10.226501,1.0,1.0079193,1.1351788,0.03579705,3,1,0,1
41004000,40890000,40924000,0,-10.194519,1.0,1.0065279,1.1383358,0.03559928,3,1,0,1
41404000,41290000,41324000,0,-10.173492,1.0,1.0128975,1.1431652,0.03589897,3,1,0,1
41812000,41690000,41732000,0,-10.16452,1.0,1.0190086,1.1469405,0.036213864,3,1,0,1
42204000,42090000,42124000,0,-10.14151,1.0,0.9923897,1.1489044,0.034287877,3,1,0,1
42612000,42490000,42532000,0,-10.117493,1.0,0.9671688,1.1518857,0.032482926,3,1,0,1
43012000,42890000,42932000,0,-10.1185,1.0,0.9656582,1.1554985,0.032280292,3,1,0,1
43412000,43290000,43332000,0,-10.097504,1.0,0.928298,1.1566867,0.029800195,3,1,0,1
43804000,43690000,43724000,0,-10.084503,1.0,0.9003048,1.1586461,0.027982617,3,1,0,1
44204000,44090000,44124000,0,-10.074493,1.0,0.8673191,1.1570168,0.026006276,3,1,0,1
44612000,44490000,44532000,0,-10.071503,1.0,0.85170746,1.1598825,0.025016518,3,1,0,1
45004000,44890000,44924000,0,-10.063507,1.0,0.816,1.1587884,0.022984559,3,1,0,1
45404000,45290000,45324000,0,-10.061493,1.0,0.7933302,1.1582628,0.02173506,3,1,0,1
45804000,45690000,45724000,0,-10.053497,1.0,0.76288986,1.1595806,0.020076258,3,1,0,1
46204000,46090000,46124000,0,-10.05249,1.0,0.7441969,1.1586909,0.019119129,3,1,0,1
