timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3696000,3696000,0.99998665,-0.0049796402,-0.0013987942,5.733826e-05,1.0,0.0,0.0,0.0,0
4196000,4196000,0.99998575,-0.0052388604,-0.0010634804,6.490986e-05,1.0,0.0,0.0,0.0,0
4696000,4696000,0.99998605,-0.00520506,-0.00084374903,0.00017653835,1.0,0.0,0.0,0.0,0
5196000,5196000,0.99998933,-0.0045945146,-0.0004809449,6.641723e-05,1.0,0.0,0.0,0.0,0
5696000,5696000,0.9999904,-0.0043779346,-0.00028674636,0.00011931477,1.0,0.0,0.0,0.0,0
6196000,6196000,0.9999904,-0.0043956363,-0.00016481777,7.379644e-05,1.0,0.0,0.0,0.0,0
6696000,6696000,0.99999166,-0.0040877094,-0.00018919655,0.00013729981,1.0,0.0,0.0,0.0,0
7196000,7196000,0.999992,-0.0039909114,-0.00024228208,2.0386013e-05,1.0,0.0,0.0,0.0,0
7696000,7696000,0.99999136,-0.004167344,-0.00022867913,-0.00011587227,1.0,0.0,0.0,0.0,0
8196000,8196000,0.9999913,-0.0041732234,-0.0001117673,-0.000201343,1.0,0.0,0.0,0.0,0
8696000,8696000,0.99999183,-0.0040317,-3.9754785e-05,-0.00019531618,1.0,0.0,0.0,0.0,0
9196000,9196000,0.99999183,-0.0040515964,5.84554e-05,-0.00022355963,1.0,0.0,0.0,0.0,0
9696000,9696000,0.9999918,-0.0040457244,0.00028193565,-0.00012862009,1.0,0.0,0.0,0.0,0
10196000,10196000,0.99999166,-0.0040720925,0.00040015313,-0.0001880087,1.0,0.0,0.0,0.0,0
10696000,10696000,0.9999917,-0.004052723,0.0005087094,-0.00022816833,1.0,0.0,0.0,0.0,0
11196000,11196000,0.9999924,-0.0038815718,0.0005976333,-0.00021072783,1.0,0.0,0.0,0.0,0
11696000,11696000,0.9999929,-0.003732886,0.00061796786,-0.00017777862,1.0,0.0,0.0,0.0,0
12196000,12196000,0.9999935,-0.0035239565,0.00072961475,-0.00020155868,1.0,0.0,0.0,0.0,0
12696000,12696000,0.99999374,-0.0034757275,0.0006065179,-0.00016888836,1.0,0.0,0.0,0.0,0
13196000,13196000,0.9999939,-0.0034249346,0.00064313685,-0.0001568133,1.0,0.0,0.0,0.0,0
13696000,13696000,0.99999356,-0.0035238399,0.00071116275,-0.00013304324,1.0,0.0,0.0,0.0,0
14196000,14196000,0.9999933,-0.0035638842,0.00084172335,-9.051364e-05,1.0,0.0,0.0,0.0,0
14696000,14696000,0.9999933,-0.0035027852,0.0010617734,-0.00012763854,1.0,0.0,0.0,0.0,0
15196000,15196000,0.9999936,-0.0033712615,0.0012129776,-8.453836e-05,1.0,0.0,0.0,0.0,0
15696000,15696000,0.9999935,-0.0033122771,0.0014853319,-1.8465149e-05,1.0,0.0,0.0,0.0,0
16196000,16196000,0.999993,-0.003333134,0.0017118405,2.5354215e-05,1.0,0.0,0.0,0.0,0
16696000,16696000,0.999993,-0.0033038277,0.0017855187,4.5640954e-05,1.0,0.0,0.0,0.0,0
17196000,17196000,0.999993,-0.0032795274,0.0018395277,0.0001559717,1.0,0.0,0.0,0.0,0
17696000,17696000,0.99999344,-0.0030858738,0.0018904861,9.841916e-05,1.0,0.0,0.0,0.0,0
18196000,18196000,0.9999933,-0.0030570454,0.0020099708,0.00018730942,1.0,0.0,0.0,0.0,0
18696000,18696000,0.9999932,-0.00299221,0.0021613599,0.00026766013,1.0,0.0,0.0,0.0,0
19196000,19196000,0.9999931,-0.002911204,0.0023288014,0.00020078779,1.0,0.0,0.0,0.0,0
19696000,19696000,0.99999315,-0.0027997817,0.0024217407,0.00013607657,1.0,0.0,0.0,0.0,0
20196000,20196000,0.9999932,-0.0026394445,0.0025954447,0.0002862133,1.0,0.0,0.0,0.0,0
20696000,20696000,0.99999326,-0.0025215133,0.0026526083,0.00034591227,1.0,0.0,0.0,0.0,0
21196000,21196000,0.9999916,-0.002706642,0.0030601749,0.00039058027,1.0,0.0,0.0,0.0,0
21696000,21696000,0.99999124,-0.002838308,0.0030701596,0.00036883543,1.0,0.0,0.0,0.0,0
22196000,22196000,0.9999598,-0.008296824,0.0033083698,0.000731094,1.0,0.0,0.0,0.0,0
22696000,22696000,0.9961695,-0.064163975,0.0589356,-0.0074858624,1.0,0.0,0.0,0.0,0
23196000,23196000,0.9975241,-0.04507569,0.050800208,-0.018255107,1.0,0.0,0.0,0.0,0
23696000,23696000,0.99917436,0.028369717,-0.025638318,-0.013727364,1.0,0.0,0.0,0.0,0
24196000,24196000,0.9982556,0.041951623,-0.04109305,-0.006090206,1.0,0.0,0.0,0.0,0
24696000,24696000,0.9988317,0.033227377,-0.035076126,-0.0009254124,1.0,0.0,0.0,0.0,0
25196000,25196000,0.99973154,0.014306979,-0.018047417,0.0025891473,1.0,0.0,0.0,0.0,0
25696000,25696000,0.99995726,-0.006848671,0.0032958314,0.0052797436,1.0,0.0,0.0,0.0,0
26196000,26196000,0.9996674,-0.020567598,0.014249541,0.0062528257,1.0,0.0,0.0,0.0,0
26696000,26696000,0.99852777,-0.03908336,0.03671361,0.008192595,1.0,0.0,0.0,0.0,0
27196000,27196000,0.9952786,-0.06777756,0.06900879,0.008028474,1.0,0.0,0.0,0.0,0
27696000,27696000,0.99542546,-0.066260286,0.06882899,0.00065331283,1.0,0.0,0.0,0.0,0
28196000,28196000,0.99826497,-0.040388905,0.042234544,-0.007221327,1.0,0.0,0.0,0.0,0
28696000,28696000,0.99967897,-0.0182282,0.013115277,-0.011729734,1.0,0.0,0.0,0.0,0
29196000,29196000,0.9998838,0.002150523,-0.0069517577,-0.013399158,1.0,0.0,0.0,0.0,0
29696000,29696000,0.99967283,0.013615601,-0.017093584,-0.013292402,1.0,0.0,0.0,0.0,0
30196000,30196000,0.9995515,0.018849852,-0.019877495,-0.012104536,1.0,0.0,0.0,0.0,0
30696000,30696000,0.99929386,0.026480848,-0.024748845,-0.009908374,1.0,0.0,0.0,0.0,0
31196000,31196000,0.99956757,0.019895343,-0.019845137,-0.0086714765,1.0,0.0,0.0,0.0,0
31696000,31696000,0.99984604,0.010300002,-0.01176528,-0.00796741,1.0,0.0,0.0,0.0,0
32196000,32196000,0.99996907,-0.0010496315,-0.0024041366,-0.007420719,1.0,0.0,0.0,0.0,0
32696000,32696000,0.9999235,-0.009071639,0.0049885004,-0.0067686457,1.0,0.0,0.0,0.0,0
33196000,33196000,0.99712,-0.044179928,-0.01932071,-0.058536533,1.0,0.0,0.0,0.0,0
33696000,33696000,0.943024,-0.11364889,-0.06862965,-0.30508992,1.0,0.0,0.0,0.0,0
34196000,34196000,0.8492421,-0.13666151,-0.12961823,-0.49326536,1.0,0.0,0.0,0.0,0
34696000,34696000,0.7716447,-0.10315278,-0.16748725,-0.60487354,1.0,0.0,0.0,0.0,0
35196000,35196000,0.8097579,-0.06406348,-0.13423644,-0.56759894,1.0,0.0,0.0,0.0,0
35696000,35696000,0.83083445,-0.034682967,-0.061209887,-0.55205494,1.0,0.0,0.0,0.0,0
36196000,36196000,0.8306809,-0.043892447,-0.0713096,-0.550416,1.0,0.0,0.0,0.0,0
36696000,36696000,0.8304173,-0.05178876,-0.071212426,-0.55013996,1.0,0.0,0.0,0.0,0
37196000,37196000,0.83025885,-0.055084635,-0.07264026,-0.5498721,1.0,0.0,0.0,0.0,0
37696000,37696000,0.83060294,-0.05486741,-0.0706962,-0.5496276,1.0,0.0,0.0,0.0,0
38196000,38196000,0.83106446,-0.05235662,-0.06841727,-0.54946315,1.0,0.0,0.0,0.0,0
